table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_performed_by_the_company_total,field_performed_by_the_company_paid_for_by_the_company,field_performed_by_the_company_paid_for_by_others,field_performed_by_others_total,field_performed_by_others_paid_for_by_the_company,field_performed_by_others_paid_for_by_others
6589,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['492,956', '']","['428,968', '']","['63,989', '']","['45,879', '']","['37,537', '']","['8,342', '']"
6589,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['285,674', '']","['248,109', '']","['37,564', '']","['40,561', '']","['33,886', '']","['6,675', '']"
6589,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['4,180', '']","['3,937', '']","['243', '']","['193', '']","['190', '']","['3', '']"
6589,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,082', '']","['971', '']","['111', 'i']","['179', '']","['176', '']","['3', '']"
6589,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['904', '']","['873', '']","['31', '']","['16', '']","['16', '']","['0', '']"
6589,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['186', '']","['180', '']","['6', '']","['11', '']","['11', '']","['*', '']"
6589,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1,064', '']","['1,064', '']","['*', '']","['4', '']","['4', '']","['0', '']"
6589,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['420', 'i']","['420', 'i']","['0', '']","['6', 'i']","['6', 'i']","['0', '']"
6589,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,306', '']","['1,203', '']","['103', '']","['248 - 350', '']","['248 - 347', '']","['0 - 3', '']"
6589,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['97,063', '']","['87,288', '']","['9,775', '']","['30,566', '']","['25,666', '']","['4,901', '']"
