table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_employees_total,field_worldwide_employees_r_d,field_worldwide_employees_r_d_employees_,field_domestic_employees_total,field_domestic_employees_r_d,field_domestic_employees_r_d_employees_,field_foreign_employees_total,field_foreign_employees_r_d,field_foreign_employees_r_d_employees_
6595,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['32,296', '']","['2,676', '']","['8.3', '']","['21,213', '']","['1,832', '']","['8.6', '']","['11,083', '']","['844', '']","['7.6', '']"
6595,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['17,529', '']","['1,409', '']","['8.0', '']","['10,100', '']","['962', '']","['9.5', '']","['7,429', '']","['447', '']","['6.0', '']"
6595,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,558', '']","['35', '']","['2.2', '']","['985', '']","['23', '']","['2.3', '']","['573', '']","['12', '']","['2.2', '']"
6595,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['849', '']","['8', '']","['1.0', '']","['391', '']","['6', '']","['1.5', '']","['458', '']","['3', '']","['0.6', '']"
6595,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['401', '']","['8', '']","['2.1', '']","['220', '']","['7', '']","['3.1', '']","['181', '']","['1', '']","['0.8', '']"
6595,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['115', '']","['3', '']","['2.5', '']","['105', '']","['3', '']","['2.7', '']","['11', '']","['*', '']","['1.0', '']"
6595,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['307', '']","['7', '']","['2.4', '']","['193', '']","['5', '']","['2.8', '']","['114', '']","['2', '']","['1.7', '']"
6595,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['305', 'i']","['5', 'i']","['1.5', '']","['262', 'i']","['5', 'i']","['1.7', '']","['43', 'i']","['*', 'i']","['0.2', '']"
6595,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['155', '']","['9', '']","['5.8', '']","['91', '']","['6', '']","['7.1', '']","['64', '']","['3', '']","['3.9', '']"
6595,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,439', '']","['255', '']","['10.5', '']","['1,451', '']","['186', '']","['12.8', '']","['988', '']","['70', '']","['7.1', '']"
6595,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['361', '']","['17', '']","['4.8', '']","['246', '']","['12', '']","['4.7', '']","['115', '']","['6', '']","['5.0', '']"
6595,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['156', '']","['10', '']","['6.5', '']","['83', '']","['6', '']","['7.5', '']","['74', '']","['4', '']","['5.4', '']"
6595,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['101', '']","['10', '']","['9.8', '']","['69', '']","['7', '']","['10.8', '']","['31', '']","['2', '']","['7.4', '']"
6595,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,068', '']","['184', '']","['17.3', '']","['648', '']","['139', '']","['21.5', '']","['421', '']","['45', '']","['10.8', '']"
6595,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['459', '']","['17', '']","['3.6', '']","['245', '']","['11', '']","['4.5', '']","['214', '']","['6', '']","['2.7', '']"
6595,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['293', '']","['17', '']","['5.8', '']","['160', '']","['10', '']","['6.4', '']","['134', '']","['7', '']","['4.9', '']"
6595,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['694', '']","['31', '']","['4.4', '']","['495', '']","['25', '']","['5.0', '']","['199', '']","['6', '']","['3.1', '']"
6595,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['206', '']","['7', 'i']","['3.6', '']","['139', '']","['7', 'i']","['4.9', '']","['67', 'i']","['1', 'i']","['1.1', '']"
6595,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['298', '']","['9', '']","['2.9', '']","['216', '']","['8', '']","['3.7', '']","['83', '']","['1', '']","['0.9', '']"
6595,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['558', '']","['36', '']","['6.4', '']","['387', '']","['34', '']","['8.7', '']","['171', '']","['2', '']","['1.2', '']"
6595,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,599', '']","['138', '']","['8.7', '']","['869', '']","['95', '']","['10.9', '']","['729', '']","['43', '']","['6.0', '']"
6595,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['180', '']","['22', '']","['12.1', '']","['100', '']","['13', '']","['12.8', '']","['80', '']","['9', '']","['11.1', '']"
6595,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['96', '']","['20', '']","['21.2', '']","['37', '']","['12', '']","['34.1', '']","['59', '']","['8', '']","['13.2', '']"
