table_id,row_id,class_prevalence_2015_2017_2019_full_path,class_prevalence_2015_2017_2019_level_1,class_prevalence_2015_2017_2019_level_2,class_prevalence_2015_2017_2019_hierarchy_depth,field_response_very_satisfied_2015,field_response_very_satisfied_2017,field_response_very_satisfied_2019,field_response_somewhat_satisfied_2015,field_response_somewhat_satisfied_2017,field_response_somewhat_satisfied_2019,field_response_dissatisfied_2015,field_response_dissatisfied_2017,field_response_dissatisfied_2019
6776,r001,"Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility","Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility",,1,,,,,,,,,
6776,r002,"Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility -> Salary","Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility",Salary,2,0.102,0.104,0.098,0.612,0.614,0.611,0.286,0.282,0.29
6776,r003,"Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility -> Benefits","Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility",Benefits,2,0.198,0.191,0.176,0.56,0.561,0.571,0.242,0.247,0.253
6776,r004,"Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility -> Security","Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility",Security,2,0.46,0.436,0.448,0.368,0.378,0.377,0.172,0.186,0.175
6776,r005,"Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility -> Location","Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility",Location,2,0.609,0.576,0.57,0.295,0.319,0.321,0.096,0.105,0.108
6776,r006,"Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility -> Advancement","Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility",Advancement,2,0.249,0.236,0.223,0.535,0.528,0.539,0.216,0.235,0.238
6776,r007,"Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility -> Challenge","Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility",Challenge,2,0.815,0.806,0.792,0.175,0.182,0.194,0.009,0.013,0.014
6776,r008,"Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility -> Responsibility","Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility",Responsibility,2,0.802,0.801,0.764,0.189,0.192,0.225,0.009,0.008,0.011
6776,r009,"Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility -> Independence","Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility",Independence,2,0.877,0.873,0.879,0.111,0.116,0.107,0.012,0.012,0.014
6776,r010,"Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility -> Contribution","Class 1 (30.5, 27.8, 26.2%): Very Satisfied With Independence, Challenge, and Responsibility",Contribution,2,0.747,0.746,0.735,0.233,0.23,0.244,0.02,0.024,0.021
