table_id,row_id,time_period,sample_level_1,sample_level_2,sample_hierarchy_depth,value
6793,r001,Gender -> Male,Sample,Frequency,2,50409
6793,r002,Gender -> Male,Sample,%,2,58.8
6793,r003,Gender -> Male,Population,Frequency,2,730933
6793,r004,Gender -> Male,Population,%,2,66.3
6793,r005,Gender -> Female,Sample,Frequency,2,35311
6793,r006,Gender -> Female,Sample,%,2,41.2
6793,r007,Gender -> Female,Population,Frequency,2,371897
6793,r008,Gender -> Female,Population,%,2,33.7
6793,r009,Physical disability -> No,Sample,Frequency,2,77191
6793,r010,Physical disability -> No,Sample,%,2,90.0
6793,r011,Physical disability -> No,Population,Frequency,2,991362
6793,r012,Physical disability -> No,Population,%,2,89.9
6793,r013,Physical disability -> Yes,Sample,Frequency,2,8529
6793,r014,Physical disability -> Yes,Sample,%,2,10.0
6793,r015,Physical disability -> Yes,Population,Frequency,2,111468
6793,r016,Physical disability -> Yes,Population,%,2,10.1
6793,r017,Race or ethnicity -> Asian,Sample,Frequency,2,18259
6793,r018,Race or ethnicity -> Asian,Sample,%,2,21.3
6793,r019,Race or ethnicity -> Asian,Population,Frequency,2,282390
6793,r020,Race or ethnicity -> Asian,Population,%,2,25.6
6793,r021,Race or ethnicity -> Black,Sample,Frequency,2,4695
6793,r022,Race or ethnicity -> Black,Sample,%,2,5.5
6793,r023,Race or ethnicity -> Black,Population,Frequency,2,37176
6793,r024,Race or ethnicity -> Black,Population,%,2,3.4
6793,r025,Race or ethnicity -> Hispanic,Sample,Frequency,2,7142
6793,r026,Race or ethnicity -> Hispanic,Sample,%,2,8.3
6793,r027,Race or ethnicity -> Hispanic,Population,Frequency,2,53334
6793,r028,Race or ethnicity -> Hispanic,Population,%,2,4.8
6793,r029,Race or ethnicity -> White,Sample,Frequency,2,53685
6793,r030,Race or ethnicity -> White,Sample,%,2,62.6
6793,r031,Race or ethnicity -> White,Population,Frequency,2,713598
6793,r032,Race or ethnicity -> White,Population,%,2,64.7
6793,r033,Race or ethnicity -> Other,Sample,Frequency,2,1939
6793,r034,Race or ethnicity -> Other,Sample,%,2,2.3
6793,r035,Race or ethnicity -> Other,Population,Frequency,2,16331
6793,r036,Race or ethnicity -> Other,Population,%,2,1.5
6793,r037,Age -> Under 30,Sample,Frequency,2,858
6793,r038,Age -> Under 30,Sample,%,2,1.0
6793,r039,Age -> Under 30,Population,Frequency,2,8891
6793,r040,Age -> Under 30,Population,%,2,0.8
6793,r041,Age -> 30&#8211;39 ,Sample,Frequency,2,21694
6793,r042,Age -> 30&#8211;39 ,Sample,%,2,25.3
6793,r043,Age -> 30&#8211;39 ,Population,Frequency,2,233737
6793,r044,Age -> 30&#8211;39 ,Population,%,2,21.2
6793,r045,Age -> 40&#8211;49 ,Sample,Frequency,2,20750
6793,r046,Age -> 40&#8211;49 ,Sample,%,2,24.2
6793,r047,Age -> 40&#8211;49 ,Population,Frequency,2,259631
6793,r048,Age -> 40&#8211;49 ,Population,%,2,23.5
6793,r049,Age -> 50&#8211;59 ,Sample,Frequency,2,18553
6793,r050,Age -> 50&#8211;59 ,Sample,%,2,21.6
6793,r051,Age -> 50&#8211;59 ,Population,Frequency,2,250586
6793,r052,Age -> 50&#8211;59 ,Population,%,2,22.7
6793,r053,Age -> 60&#8211;69 ,Sample,Frequency,2,16421
6793,r054,Age -> 60&#8211;69 ,Sample,%,2,19.2
6793,r055,Age -> 60&#8211;69 ,Population,Frequency,2,234986
6793,r056,Age -> 60&#8211;69 ,Population,%,2,21.3
6793,r057,Age -> Over 70 ,Sample,Frequency,2,7444
6793,r058,Age -> Over 70 ,Sample,%,2,8.7
6793,r059,Age -> Over 70 ,Population,Frequency,2,114999
6793,r060,Age -> Over 70 ,Population,%,2,10.4
6793,r061,Years since first PhD -> < 7 (2010 or later) ,Sample,Frequency,2,21416
6793,r062,Years since first PhD -> < 7 (2010 or later) ,Sample,%,2,25.0
6793,r063,Years since first PhD -> < 7 (2010 or later) ,Population,Frequency,2,211430
6793,r064,Years since first PhD -> < 7 (2010 or later) ,Population,%,2,19.2
6793,r065,Years since first PhD -> 8&#8211;17 (2000&#8211;09) ,Sample,Frequency,2,24337
6793,r066,Years since first PhD -> 8&#8211;17 (2000&#8211;09) ,Sample,%,2,28.4
6793,r067,Years since first PhD -> 8&#8211;17 (2000&#8211;09) ,Population,Frequency,2,303699
6793,r068,Years since first PhD -> 8&#8211;17 (2000&#8211;09) ,Population,%,2,27.5
6793,r069,Years since first PhD -> 18&#8211;27 (1990&#8211;99) ,Sample,Frequency,2,18708
6793,r070,Years since first PhD -> 18&#8211;27 (1990&#8211;99) ,Sample,%,2,21.8
6793,r071,Years since first PhD -> 18&#8211;27 (1990&#8211;99) ,Population,Frequency,2,264757
6793,r072,Years since first PhD -> 18&#8211;27 (1990&#8211;99) ,Population,%,2,24.0
6793,r073,Years since first PhD -> 28&#8211;37 (1980&#8211;89) ,Sample,Frequency,2,12314
