table_id,row_id,time_period,p1_level_1,p1_level_2,p1_hierarchy_depth,value
6800,r001_1,0.2,P1,0.05,2,0.053
6800,r001_2,0.2,P1,0.10,2,0.068
6800,r001_3,0.2,P1,0.20,2,0.086
6800,r001_4,0.2,P1,0.30,2,0.096
6800,r001_5,0.2,P1,0.40,2,0.1
6800,r001_6,0.2,P1,0.50,2,0.1
6800,r001_7,0.2,P1,0.60,2,0.096
6800,r001_8,0.2,P1,0.70,2,0.088
6800,r001_9,0.2,P1,0.80,2,0.074
6800,r001_10,0.2,P1,0.90,2,0.052
6800,r002_1,0.5,P1,0.05,2,0.16
6800,r002_2,0.5,P1,0.10,2,0.193
6800,r002_3,0.5,P1,0.20,2,0.229
6800,r002_4,0.5,P1,0.30,2,0.245
6800,r002_5,0.5,P1,0.40,2,0.248
6800,r002_6,0.5,P1,0.50,2,0.24
6800,r002_7,0.5,P1,0.60,2,0.223
6800,r002_8,0.5,P1,0.70,2,0.196
6800,r002_9,0.5,P1,0.80,2,0.156
6800,r002_10,0.5,P1,0.90,2,0.095
6800,r003_1,0.8,P1,0.05,2,0.293
6800,r003_2,0.8,P1,0.10,2,0.337
6800,r003_3,0.8,P1,0.20,2,0.378
6800,r003_4,0.8,P1,0.30,2,0.39
6800,r003_5,0.8,P1,0.40,2,0.382
6800,r003_6,0.8,P1,0.50,2,0.359
6800,r003_7,0.8,P1,0.60,2,0.322
6800,r003_8,0.8,P1,0.70,2,0.269
6800,r003_9,0.8,P1,0.80,2,0.196
6800,r003_10,0.8,P1,0.90,2,na
