table_id,row_id,level_of_highest_degree_and_occupation_full_path,level_of_highest_degree_and_occupation_level_1,level_of_highest_degree_and_occupation_level_2,level_of_highest_degree_and_occupation_level_3,level_of_highest_degree_and_occupation_level_4,level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_obtained_a_certification_or_license_for_work_related_reasons,field_primary_field_of_certification_or_license_computer_applications_and_design,field_primary_field_of_certification_or_license_computer_networking_administration_and_security,field_primary_field_of_certification_or_license_other_information_technologies_and_computers,field_primary_field_of_certification_or_license_mathematics_statistics_and_data_analytics,field_primary_field_of_certification_or_license_life_sciences,field_primary_field_of_certification_or_license_physical_sciences,field_primary_field_of_certification_or_license_social_sciences,field_primary_field_of_certification_or_license_engineering,field_primary_field_of_certification_or_license_s_e_related,field_primary_field_of_certification_or_license_non_s_e,field_primary_field_of_certification_or_license_uncodeable_or_missing
6845,r001,All degree levels,All degree levels,,,,1,48223000,19714000,175000,302000,181000,37000,101000,91000,233000,588000,5391000,12167000,449000
6845,r002,All degree levels -> S&E occupations,All degree levels,S&E occupations,,,2,6769000,1507000,119000,220000,116000,4000,23000,43000,124000,350000,122000,354000,31000
6845,r003,"All degree levels -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,S&E occupations,"Biological, agricultural, and other life scientists",,3,610000,93000,,,,,15000,11000,,S,43000,19000,2000
6845,r004,All degree levels -> S&E occupations -> Computer and mathematical scientists,All degree levels,S&E occupations,Computer and mathematical scientists,,3,3419000,682000,112000,206000,110000,1000,,2000,6000,12000,49000,164000,19000
6845,r005,All degree levels -> S&E occupations -> Physical and related scientists,All degree levels,S&E occupations,Physical and related scientists,,3,366000,52000,,,,,7000,22000,,3000,10000,8000,1000
6845,r006,All degree levels -> S&E occupations -> Social and related scientists,All degree levels,S&E occupations,Social and related scientists,,3,646000,230000,,,,,,,115000,,12000,99000,2000
6845,r007,All degree levels -> S&E occupations -> Engineers,All degree levels,S&E occupations,Engineers,,3,1728000,449000,4000,14000,5000,,,8000,2000,334000,8000,64000,8000
6845,r008,All degree levels -> S&E-related occupations,All degree levels,S&E-related occupations,,,2,8271000,6134000,24000,29000,19000,29000,18000,21000,29000,124000,4580000,1142000,119000
6845,r009,All degree levels -> Non-S&E occupations,All degree levels,Non-S&E occupations,,,2,33183000,12073000,32000,52000,46000,4000,59000,27000,80000,114000,688000,10670000,300000
6845,r010,All degree levels -> Bachelor's,All degree levels,Bachelor's,,,2,30131000,10178000,115000,221000,121000,32000,71000,43000,51000,384000,2720000,6166000,254000
6845,r011,All degree levels -> Bachelor's -> S&E occupations,All degree levels,Bachelor's,S&E occupations,,3,3846000,824000,83000,162000,79000,,10000,18000,6000,223000,77000,148000,13000
6845,r012,"All degree levels -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",4,230000,41000,,,,,7000,4000,,,22000,8000,S
6845,r013,All degree levels -> Bachelor's -> S&E occupations -> Computer and mathematical scientists,All degree levels,Bachelor's,S&E occupations,Computer and mathematical scientists,4,2219000,446000,80000,154000,74000,,,S,,7000,39000,82000,7000
6845,r014,All degree levels -> Bachelor's -> S&E occupations -> Physical and related scientists,All degree levels,Bachelor's,S&E occupations,Physical and related scientists,4,164000,25000,,,,,4000,8000,,1000,9000,3000,
6845,r015,All degree levels -> Bachelor's -> S&E occupations -> Social and related scientists,All degree levels,Bachelor's,S&E occupations,Social and related scientists,4,172000,21000,,,,,,,4000,,,16000,
6845,r016,All degree levels -> Bachelor's -> S&E occupations -> Engineers,All degree levels,Bachelor's,S&E occupations,Engineers,4,1061000,290000,3000,9000,4000,,,5000,,215000,7000,39000,5000
6845,r017,All degree levels -> Bachelor's -> S&E-related occupations,All degree levels,Bachelor's,S&E-related occupations,,3,4338000,3000000,10000,19000,11000,26000,13000,9000,S,88000,2243000,524000,52000
6845,r018,All degree levels -> Bachelor's -> Non-S&E occupations,All degree levels,Bachelor's,Non-S&E occupations,,3,21946000,6355000,21000,40000,32000,S,48000,16000,38000,73000,400000,5494000,190000
6845,r019,All degree levels -> Master's,All degree levels,Master's,,,2,13260000,6363000,57000,77000,56000,5000,25000,39000,86000,182000,1180000,4520000,136000
6845,r020,All degree levels -> Master's -> S&E occupations,All degree levels,Master's,S&E occupations,,3,2069000,520000,34000,56000,34000,S,12000,19000,41000,110000,24000,173000,15000
6845,r021,"All degree levels -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists",All degree levels,Master's,S&E occupations,"Biological, agricultural, and other life scientists",4,149000,31000,,,,,8000,4000,,,8000,9000,0.05
6845,r022,All degree levels -> Master's -> S&E occupations -> Computer and mathematical scientists,All degree levels,Master's,S&E occupations,Computer and mathematical scientists,4,1039000,219000,31000,51000,33000,S,,S,,2000,7000,78000,11000
6845,r023,All degree levels -> Master's -> S&E occupations -> Physical and related scientists,All degree levels,Master's,S&E occupations,Physical and related scientists,4,98000,21000,,,,,3000,11000,,S,1000,4000,
6845,r024,All degree levels -> Master's -> S&E occupations -> Social and related scientists,All degree levels,Master's,S&E occupations,Social and related scientists,4,235000,106000,,,,,,,35000,,S,61000,1000
6845,r025,All degree levels -> Master's -> S&E occupations -> Engineers,All degree levels,Master's,S&E occupations,Engineers,4,548000,143000,S,5000,,,,3000,2000,106000,1000,22000,2000
6845,r026,All degree levels -> Master's -> S&E-related occupations,All degree levels,Master's,S&E-related occupations,,3,2262000,1648000,13000,10000,8000,S,6000,10000,12000,34000,951000,567000,34000
6845,r027,All degree levels -> Master's -> Non-S&E occupations,All degree levels,Master's,Non-S&E occupations,,3,8929000,4196000,10000,12000,14000,,7000,S,33000,38000,204000,3779000,87000
