table_id,row_id,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_full_path,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_1,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_2,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_3,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_4,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_level_5,age_sex_ethnicity_race_disability_status_and_age_at_onset_of_disability_hierarchy_depth,field_total,field_employed_in_all_occupations_employed,field_employed_in_all_occupations_full_time,field_employed_in_all_occupations_part_time,field_employed_in_s_e_occupations_full_time,field_employed_in_s_e_occupations_part_time,field_employed_in_s_e_related_occupations_full_time,field_employed_in_s_e_related_occupations_part_time,field_employed_in_non_s_e_occupations_full_time,field_employed_in_non_s_e_occupations_part_time,field_unemployeda,field_not_in_labor_forceb_total,field_not_in_labor_forceb_student,field_not_in_labor_forceb_retired,field_not_in_labor_forceb_not_seeking_employment_all_other_reasons,field_full_time_employed_salary_
6853,r001,75 and younger,75 and younger,,,,,1,61220000,48223000,40172000,8051000,6169000,600000,6803000,1468000,27200000,5983000,1513000,11483000,591000,7544000,3349000,70000
6853,r002,75 and younger -> Female,75 and younger,Female,,,,2,32719000,24900000,19471000,5429000,1695000,271000,3632000,1133000,14144000,4026000,889000,6929000,331000,3889000,2710000,60000
6853,r003,75 and younger -> Male,75 and younger,Male,,,,2,28501000,23323000,20701000,2622000,4474000,329000,3172000,335000,13056000,1957000,624000,4554000,260000,3655000,639000,85000
6853,r004,75 and younger -> Hispanic or Latino,75 and younger,Hispanic or Latino,,,,2,5142000,4280000,3592000,688000,459000,46000,595000,107000,2538000,535000,181000,681000,62000,299000,320000,60000
6853,r005,75 and younger -> Not Hispanic or Latino,75 and younger,Not Hispanic or Latino,,,,2,,,,,,,,,,,,,,,,
6853,r006,75 and younger -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,Not Hispanic or Latino,American Indian or Alaska Native,,,3,171000,121000,107000,14000,12000,S,21000,S,75000,5000,S,37000,,34000,S,59000
6853,r007,75 and younger -> Not Hispanic or Latino -> Asian,75 and younger,Not Hispanic or Latino,Asian,,,3,5718000,4498000,3871000,627000,1242000,96000,890000,151000,1739000,380000,203000,1016000,147000,357000,513000,86000
6853,r008,75 and younger -> Not Hispanic or Latino -> Black or African American,75 and younger,Not Hispanic or Latino,Black or African American,,,3,4662000,3805000,3245000,561000,357000,25000,539000,72000,2349000,463000,213000,644000,50000,461000,133000,56000
6853,r009,75 and younger -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,3,171000,137000,124000,S,23000,S,15000,,87000,S,S,27000,S,17000,8000,85000
6853,r010,75 and younger -> Not Hispanic or Latino -> White,75 and younger,Not Hispanic or Latino,White,,,3,44243000,34435000,28421000,6014000,3976000,421000,4619000,1107000,19826000,4486000,854000,8953000,308000,6305000,2341000,72000
6853,r011,75 and younger -> Not Hispanic or Latino -> More than one race,75 and younger,Not Hispanic or Latino,More than one race,,,3,1114000,946000,811000,135000,100000,9000,124000,23000,586000,103000,44000,125000,22000,71000,31000,64000
6853,r012,75 and younger -> Without disability,75 and younger,Without disability,,,,2,52648000,42610000,35666000,6944000,5592000,527000,6217000,1315000,23856000,5102000,1278000,8760000,553000,5709000,2499000,71000
6853,r013,75 and younger -> With disability,75 and younger,With disability,,,,2,8572000,5613000,4506000,1107000,577000,72000,586000,153000,3344000,882000,236000,2723000,38000,1835000,850000,64000
6853,r014,75 and younger -> With disability -> Age at onset of disability,75 and younger,With disability,Age at onset of disability,,,3,,,,,,,,,,,,,,,,
6853,r015,75 and younger -> With disability -> Age at onset of disability -> Since birth,75 and younger,With disability,Age at onset of disability,Since birth,,4,631000,433000,369000,64000,54000,6000,48000,4000,268000,53000,14000,184000,S,76000,95000,48000
6853,r016,75 and younger -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,With disability,Age at onset of disability,1&#8211;9,,4,684000,534000,419000,115000,86000,8000,43000,9000,290000,98000,7000,144000,3000,71000,70000,57000
6853,r017,75 and younger -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,With disability,Age at onset of disability,10&#8211;19,,4,1230000,991000,837000,155000,89000,10000,84000,37000,664000,108000,27000,212000,5000,89000,117000,53000
6853,r018,75 and younger -> With disability -> Age at onset of disability -> 20&#8211;29,75 and younger,With disability,Age at onset of disability,20&#8211;29,,4,866000,632000,539000,93000,75000,7000,65000,19000,399000,67000,30000,204000,S,113000,84000,64000
6853,r019,75 and younger -> With disability -> Age at onset of disability -> 30&#8211;39,75 and younger,With disability,Age at onset of disability,30&#8211;39,,4,935000,684000,576000,108000,73000,7000,60000,11000,444000,91000,44000,207000,,94000,112000,71000
6853,r020,75 and younger -> With disability -> Age at onset of disability -> 40&#8211;49,75 and younger,With disability,Age at onset of disability,40&#8211;49,,4,1542000,1092000,896000,196000,112000,7000,127000,30000,657000,159000,41000,409000,,204000,198000,80000
6853,r021,75 and younger -> With disability -> Age at onset of disability -> 50&#8211;59,75 and younger,With disability,Age at onset of disability,50&#8211;59,,4,1450000,846000,631000,215000,71000,16000,117000,28000,444000,171000,46000,558000,,408000,149000,65000
6853,r022,75 and younger -> With disability -> Age at onset of disability -> 60&#8211;75,75 and younger,With disability,Age at onset of disability,60&#8211;75,,4,1234000,402000,239000,163000,17000,12000,43000,16000,179000,134000,28000,805000,,780000,24000,69000
6853,r023,75 and younger -> 29 and younger,75 and younger,29 and younger,,,,2,7596000,6679000,5614000,1065000,1066000,147000,987000,182000,3562000,737000,265000,652000,402000,,249000,48000
6853,r024,75 and younger -> 29 and younger -> Female,75 and younger,29 and younger,Female,,,3,4492000,3892000,3142000,750000,321000,59000,695000,152000,2126000,538000,168000,432000,230000,,202000,43000
6853,r025,75 and younger -> 29 and younger -> Male,75 and younger,29 and younger,Male,,,3,3105000,2788000,2472000,315000,745000,88000,291000,29000,1436000,199000,98000,219000,172000,,47000,52000
6853,r026,75 and younger -> 29 and younger -> Hispanic or Latino,75 and younger,29 and younger,Hispanic or Latino,,,3,939000,795000,669000,126000,115000,13000,96000,20000,459000,92000,48000,95000,44000,,52000,45000
6853,r027,75 and younger -> 29 and younger -> Not Hispanic or Latino,75 and younger,29 and younger,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,
6853,r028,75 and younger -> 29 and younger -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,29 and younger,Not Hispanic or Latino,American Indian or Alaska Native,,4,17000,S,S,S,S,,1000,,S,,,0.05,,,,S
6853,r029,75 and younger -> 29 and younger -> Not Hispanic or Latino -> Asian,75 and younger,29 and younger,Not Hispanic or Latino,Asian,,4,918000,706000,579000,127000,219000,39000,135000,26000,224000,62000,41000,171000,120000,,51000,57000
6853,r030,75 and younger -> 29 and younger -> Not Hispanic or Latino -> Black or African American,75 and younger,29 and younger,Not Hispanic or Latino,Black or African American,,4,555000,482000,353000,129000,41000,6000,71000,14000,241000,110000,37000,36000,28000,,9000,40000
6853,r031,75 and younger -> 29 and younger -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,29 and younger,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,22000,20000,19000,,4000,,S,,15000,,,S,,,,28000
6853,r032,75 and younger -> 29 and younger -> Not Hispanic or Latino -> White,75 and younger,29 and younger,Not Hispanic or Latino,White,,4,4868000,4420000,3801000,619000,659000,84000,658000,114000,2484000,421000,121000,327000,192000,,135000,48000
6853,r033,75 and younger -> 29 and younger -> Not Hispanic or Latino -> More than one race,75 and younger,29 and younger,Not Hispanic or Latino,More than one race,,4,278000,248000,186000,62000,27000,5000,25000,6000,134000,51000,S,20000,S,,3000,50000
6853,r034,75 and younger -> 29 and younger -> Without disability,75 and younger,29 and younger,Without disability,,,3,6913000,6073000,5114000,959000,991000,136000,945000,172000,3179000,651000,251000,589000,381000,,207000,50000
6853,r035,75 and younger -> 29 and younger -> With disability,75 and younger,29 and younger,With disability,,,3,684000,606000,500000,106000,75000,11000,42000,10000,383000,86000,15000,63000,21000,,42000,34000
6853,r036,75 and younger -> 29 and younger -> With disability -> Age at onset of disability,75 and younger,29 and younger,With disability,Age at onset of disability,,4,,,,,,,,,,,,,,,,
6853,r037,75 and younger -> 29 and younger -> With disability -> Age at onset of disability -> Since birth,75 and younger,29 and younger,With disability,Age at onset of disability,Since birth,5,102000,86000,84000,2000,5000,,11000,,S,,3000,S,S,,1000,35000
6853,r038,75 and younger -> 29 and younger -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,29 and younger,With disability,Age at onset of disability,1&#8211;9,5,143000,134000,83000,51000,S,S,8000,,38000,46000,,8000,3000,,S,S
6853,r039,75 and younger -> 29 and younger -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,29 and younger,With disability,Age at onset of disability,10&#8211;19,5,304000,268000,250000,18000,22000,2000,17000,,211000,11000,5000,S,S,,S,34000
6853,r040,75 and younger -> 29 and younger -> With disability -> Age at onset of disability -> 20&#8211;29,75 and younger,29 and younger,With disability,Age at onset of disability,20&#8211;29,5,135000,118000,84000,35000,11000,4000,7000,,66000,27000,5000,12000,,,8000,35000
6853,r041,75 and younger -> 30&#8211;39,75 and younger,30&#8211;39,,,,2,14109000,12589000,11016000,1573000,1857000,120000,1943000,360000,7216000,1093000,360000,1159000,114000,S,1022000,67000
6853,r042,75 and younger -> 30&#8211;39 -> Female,75 and younger,30&#8211;39,Female,,,3,7941000,6745000,5552000,1193000,527000,62000,1036000,294000,3989000,836000,249000,946000,54000,S,874000,60000
6853,r043,75 and younger -> 30&#8211;39 -> Male,75 and younger,30&#8211;39,Male,,,3,6168000,5844000,5464000,380000,1330000,57000,907000,66000,3226000,257000,111000,213000,59000,S,148000,75000
6853,r044,75 and younger -> 30&#8211;39 -> Hispanic or Latino,75 and younger,30&#8211;39,Hispanic or Latino,,,3,1430000,1287000,1114000,173000,164000,16000,150000,28000,800000,129000,46000,98000,14000,,84000,60000
6853,r045,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino,75 and younger,30&#8211;39,Not Hispanic or Latino,,,3,,,,,,,,,,,,,,,,
6853,r046,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> American Indian or Alaska Native,75 and younger,30&#8211;39,Not Hispanic or Latino,American Indian or Alaska Native,,4,23000,22000,21000,S,3000,,S,,9000,,,,,,,66000
6853,r047,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> Asian,75 and younger,30&#8211;39,Not Hispanic or Latino,Asian,,4,1714000,1415000,1271000,144000,449000,26000,290000,41000,532000,77000,59000,239000,22000,,215000,88000
6853,r048,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> Black or African American,75 and younger,30&#8211;39,Not Hispanic or Latino,Black or African American,,4,1097000,1016000,907000,110000,108000,4000,165000,20000,633000,86000,34000,47000,11000,,36000,54000
6853,r049,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,75 and younger,30&#8211;39,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,4,46000,43000,32000,S,4000,,5000,,23000,S,,S,,,,92000
6853,r050,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> White,75 and younger,30&#8211;39,Not Hispanic or Latino,White,,4,9441000,8468000,7358000,1110000,1093000,72000,1269000,262000,4996000,776000,213000,759000,64000,S,675000,68000
6853,r051,75 and younger -> 30&#8211;39 -> Not Hispanic or Latino -> More than one race,75 and younger,30&#8211;39,Not Hispanic or Latino,More than one race,,4,357000,338000,314000,25000,37000,S,55000,S,222000,14000,S,11000,3000,,8000,77000
6853,r052,75 and younger -> 30&#8211;39 -> Without disability,75 and younger,30&#8211;39,Without disability,,,3,13127000,11739000,10279000,1460000,1758000,114000,1853000,329000,6668000,1017000,331000,1057000,108000,S,929000,68000
6853,r053,75 and younger -> 30&#8211;39 -> With disability,75 and younger,30&#8211;39,With disability,,,3,982000,850000,737000,112000,99000,6000,90000,30000,548000,76000,29000,102000,6000,S,93000,56000
6853,r054,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability,75 and younger,30&#8211;39,With disability,Age at onset of disability,,4,,,,,,,,,,,,,,,,
6853,r055,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability -> Since birth,75 and younger,30&#8211;39,With disability,Age at onset of disability,Since birth,5,135000,94000,80000,13000,16000,,11000,,53000,S,3000,S,,,S,50000
6853,r056,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability -> 1&#8211;9,75 and younger,30&#8211;39,With disability,Age at onset of disability,1&#8211;9,5,171000,157000,139000,18000,13000,,17000,1000,108000,16000,2000,S,,,S,54000
6853,r057,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability -> 10&#8211;19,75 and younger,30&#8211;39,With disability,Age at onset of disability,10&#8211;19,5,254000,231000,191000,39000,23000,2000,25000,S,143000,23000,7000,16000,2000,,14000,54000
6853,r058,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability -> 20&#8211;29,75 and younger,30&#8211;39,With disability,Age at onset of disability,20&#8211;29,5,202000,180000,162000,18000,30000,S,20000,S,112000,6000,S,16000,S,,13000,61000
6853,r059,75 and younger -> 30&#8211;39 -> With disability -> Age at onset of disability -> 30&#8211;39,75 and younger,30&#8211;39,With disability,Age at onset of disability,30&#8211;39,5,220000,189000,165000,24000,18000,S,17000,,130000,S,10000,21000,,S,18000,64000
6853,r060,75 and younger -> 40&#8211;49,75 and younger,40&#8211;49,,,,2,12421000,11148000,9669000,1479000,1434000,95000,1591000,320000,6644000,1065000,272000,1001000,31000,55000,915000,80000
6853,r061,75 and younger -> 40&#8211;49 -> Female,75 and younger,40&#8211;49,Female,,,3,6836000,5847000,4670000,1176000,395000,54000,776000,275000,3499000,847000,160000,829000,21000,36000,772000,65000
6853,r062,75 and younger -> 40&#8211;49 -> Male,75 and younger,40&#8211;49,Male,,,3,5586000,5302000,4999000,303000,1039000,41000,815000,44000,3145000,218000,112000,172000,S,19000,143000,97000
