table_id,row_id,occupation_and_labor_force_status_full_path,occupation_and_labor_force_status_level_1,occupation_and_labor_force_status_level_2,occupation_and_labor_force_status_level_3,occupation_and_labor_force_status_level_4,occupation_and_labor_force_status_hierarchy_depth,field_total,field_female,field_male,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability
6854,r001,All occupations,All occupations,,,,1,60683000,32319000,28364000,5058000,163000,5463000,4640000,171000,44075000,1114000,52153000,8530000
6854,r002,All occupations -> Full-time employment status,All occupations,Full-time employment status,,,2,40172000,19471000,20701000,3592000,107000,3871000,3245000,124000,28421000,811000,35666000,4506000
6854,r003,All occupations -> Part-time employment status,All occupations,Part-time employment status,,,2,8051000,5429000,2622000,688000,14000,627000,561000,S,6014000,135000,6944000,1107000
6854,r004,All occupations -> Preference for full-time status,All occupations,Preference for full-time status,,,2,,,,,,,,,,,,
6854,r005,All occupations -> Preference for full-time status -> Did not want full-time employment,All occupations,Preference for full-time status,Did not want full-time employment,,3,6274000,4345000,1929000,413000,9000,395000,354000,S,5026000,66000,5442000,832000
6854,r006,All occupations -> Preference for full-time status -> Wanted full-time employment,All occupations,Preference for full-time status,Wanted full-time employment,,3,1777000,1084000,693000,275000,5000,232000,206000,S,988000,69000,1502000,275000
6854,r007,All occupations -> Reason for part-time status,All occupations,Reason for part-time status,,,2,,,,,,,,,,,,
6854,r008,All occupations -> Reason for part-time status -> Reason worked part time: did not need or want to work full-time,All occupations,Reason for part-time status,Reason worked part time: did not need or want to work full-time,,3,4099000,2881000,1217000,223000,S,195000,164000,2000,3470000,42000,3643000,455000
6854,r009,All occupations -> Reason for part-time status -> Reason worked part time: family responsibilities,All occupations,Reason for part-time status,Reason worked part time: family responsibilities,,3,3044000,2505000,540000,293000,10000,238000,129000,S,2331000,34000,2727000,317000
6854,r010,All occupations -> Reason for part-time status -> Reason worked part time: full-time job not available,All occupations,Reason for part-time status,Reason worked part time: full-time job not available,,3,2046000,1372000,674000,249000,3000,179000,159000,S,1395000,51000,1783000,263000
6854,r011,All occupations -> Reason for part-time status -> Reason worked part time: held another job,All occupations,Reason for part-time status,Reason worked part time: held another job,,3,1179000,814000,365000,115000,S,73000,47000,,906000,34000,1021000,158000
6854,r012,All occupations -> Reason for part-time status -> Reason worked part time: previously or semi-retired,All occupations,Reason for part-time status,Reason worked part time: previously or semi-retired,,3,1937000,897000,1040000,132000,S,79000,133000,S,1576000,13000,1575000,362000
