table_id,row_id,field_of_highest_degree_father_s_education_and_mother_s_education_full_path,field_of_highest_degree_father_s_education_and_mother_s_education_level_1,field_of_highest_degree_father_s_education_and_mother_s_education_level_2,field_of_highest_degree_father_s_education_and_mother_s_education_level_3,field_of_highest_degree_father_s_education_and_mother_s_education_level_4,field_of_highest_degree_father_s_education_and_mother_s_education_hierarchy_depth,field_bachelor_s_total,field_bachelor_s_0,field_bachelor_s_1_10_000,field_bachelor_s_10_001_20_000,field_bachelor_s_20_001_30_000,field_bachelor_s_30_001_and_over,field_master_s_total,field_master_s_0,field_master_s_1_10_000,field_master_s_10_001_20_000,field_master_s_20_001_30_000,field_master_s_30_001_and_over,field_doctorate_total,field_doctorate_0,field_doctorate_1_10_000,field_doctorate_10_001_20_000,field_doctorate_20_001_30_000,field_doctorate_30_001_and_over,field_professional_total,field_professional_0,field_professional_1_10_000,field_professional_10_001_20_000,field_professional_20_001_30_000,field_professional_30_001_and_over
6855,r001,All fields,All fields,,,,1,38866000,17916000,5953000,4760000,3530000,6705000,16756000,7810000,2598000,1823000,1235000,2311000,2172000,1191000,329000,171000,91000,157000,3426000,1538000,414000,346000,260000,447000
6855,r002,All fields -> Father's education,All fields,Father's education,,,2,,,,,,,,,,,,,,,,,,,,,,,,
6855,r003,All fields -> Father's education -> Less than high school completed,All fields,Father's education,Less than high school completed,,3,4856000,2363000,977000,529000,312000,675000,2203000,945000,473000,198000,147000,249000,271000,127000,56000,24000,6000,13000,266000,123000,40000,18000,15000,30000
6855,r004,All fields -> Father's education -> High school diploma or equivalent,All fields,Father's education,High school diploma or equivalent,,3,10531000,4447000,1589000,1449000,1083000,1964000,3831000,1618000,651000,425000,345000,574000,441000,210000,81000,40000,15000,44000,566000,183000,64000,60000,77000,94000
6855,r005,"All fields -> Father's education -> Some college, vocational, or trade school (including 2-year degrees)",All fields,Father's education,"Some college, vocational, or trade school (including 2-year degrees)",,3,7675000,2933000,1320000,1026000,879000,1516000,3084000,1248000,483000,395000,275000,544000,317000,155000,59000,34000,17000,20000,515000,199000,102000,70000,45000,52000
6855,r006,"All fields -> Father's education -> Bachelor's degree (e.g., BS, BA, AB)",All fields,Father's education,"Bachelor's degree (e.g., BS, BA, AB)",,3,8467000,4203000,1117000,977000,719000,1450000,3630000,1862000,488000,444000,206000,452000,494000,310000,52000,38000,20000,35000,792000,322000,94000,95000,64000,113000
6855,r007,"All fields -> Father's education -> Master's degree (e.g., MS, MA, MBA)",All fields,Father's education,"Master's degree (e.g., MS, MA, MBA)",,3,3918000,2015000,574000,403000,318000,608000,2123000,1046000,295000,198000,150000,297000,279000,152000,37000,19000,15000,26000,441000,227000,59000,43000,16000,58000
6855,r008,"All fields -> Father's education -> Professional degree (e.g., JD, LLB, MD, DDS)",All fields,Father's education,"Professional degree (e.g., JD, LLB, MD, DDS)",,3,1452000,930000,146000,141000,63000,172000,793000,520000,69000,52000,57000,54000,176000,120000,20000,6000,9000,7000,555000,336000,24000,45000,26000,69000
6855,r009,"All fields -> Father's education -> Doctorate (e.g., PhD, DSc, EdD)",All fields,Father's education,"Doctorate (e.g., PhD, DSc, EdD)",,3,1192000,668000,146000,115000,79000,184000,786000,470000,102000,67000,33000,61000,168000,101000,22000,8000,9000,9000,225000,113000,28000,14000,11000,27000
6855,r010,All fields -> Father's education -> Not applicable,All fields,Father's education,Not applicable,,3,776000,357000,85000,121000,77000,137000,307000,101000,37000,42000,21000,82000,26000,16000,2000,S,,S,65000,35000,S,,,5000
6855,r011,All fields -> Mother's education,All fields,Mother's education,,,2,,,,,,,,,,,,,,,,,,,,,,,,
6855,r012,All fields -> Mother's education -> Less than high school completed,All fields,Mother's education,Less than high school completed,,3,4683000,2396000,886000,416000,378000,607000,2021000,926000,346000,195000,126000,203000,318000,168000,51000,17000,4000,15000,211000,80000,26000,7000,17000,19000
