table_id,row_id,_b_federal_agency_b_full_path,_b_federal_agency_b_level_1,_b_federal_agency_b_level_2,_b_federal_agency_b_hierarchy_depth,field_r_d_expenditures
6875,r001,All federal agencies,All federal agencies,,1,24509691
6875,r002,All federal agencies -> Administrative Office of the U.S. Courts,All federal agencies,Administrative Office of the U.S. Courts,2,5493
6875,r003,All federal agencies -> Agency for International Development,All federal agencies,Agency for International Development,2,7961
6875,r004,All federal agencies -> Architect of the Capitol,All federal agencies,Architect of the Capitol,2,336
6875,r005,All federal agencies -> Central Intelligence Agency,All federal agencies,Central Intelligence Agency,2,1835
6875,r006,All federal agencies -> Consumer Product Safety Commission,All federal agencies,Consumer Product Safety Commission,2,185
6875,r007,All federal agencies -> Department of Agriculture,All federal agencies,Department of Agriculture,2,4398
6875,r008,All federal agencies -> Department of Commerce,All federal agencies,Department of Commerce,2,77614
6875,r009,All federal agencies -> Department of Defense,All federal agencies,Department of Defense,2,5459887
6875,r010,All federal agencies -> Department of Energy,All federal agencies,Department of Energy,2,12983595
6875,r011,All federal agencies -> Department of Health and Human Services,All federal agencies,Department of Health and Human Services,2,1300799
6875,r012,All federal agencies -> Department of Homeland Security,All federal agencies,Department of Homeland Security,2,538975
6875,r013,All federal agencies -> Department of Justice,All federal agencies,Department of Justice,2,22300
6875,r014,All federal agencies -> Department of State,All federal agencies,Department of State,2,41317
6875,r015,All federal agencies -> Department of the Interior,All federal agencies,Department of the Interior,2,12867
6875,r016,All federal agencies -> Department of the Treasury,All federal agencies,Department of the Treasury,2,173709
6875,r017,All federal agencies -> Department of Transportation,All federal agencies,Department of Transportation,2,250334
6875,r018,All federal agencies -> Department of Veterans Affairs,All federal agencies,Department of Veterans Affairs,2,112703
6875,r019,All federal agencies -> Environmental Protection Agency,All federal agencies,Environmental Protection Agency,2,6439
6875,r020,All federal agencies -> Executive Office of the President,All federal agencies,Executive Office of the President,2,896
6875,r021,All federal agencies -> General Services Administration,All federal agencies,General Services Administration,2,1017
6875,r022,All federal agencies -> National Aeronautics and Space Administration,All federal agencies,National Aeronautics and Space Administration,2,2629810
6875,r023,All federal agencies -> National Credit Union Administration,All federal agencies,National Credit Union Administration,2,244
6875,r024,All federal agencies -> National Science Foundation,All federal agencies,National Science Foundation,2,315920
6875,r025,All federal agencies -> Nuclear Regulatory Commission,All federal agencies,Nuclear Regulatory Commission,2,41674
6875,r026,All federal agencies -> Office of the Director of National Intelligence,All federal agencies,Office of the Director of National Intelligence,2,16007
6875,r027,All federal agencies -> U.S. Postal Service,All federal agencies,U.S. Postal Service,2,231
6875,r028,All federal agencies -> Other agencies not listed<sup>a</sup>,All federal agencies,Other agencies not listed<sup>a</sup>,2,503145
