table_id,row_id,rank,baccalaureate_institution,black_doctorate_recipients,institutional_yield_ratioa,institutional_control,2018_carnegie_classification,hbcu_status
7148,r001,1,Massachusetts Institute of Technology,82,11.9,Private,R1: doctoral universities,No
7148,r002,2,"Williams C., Williamstown",42,9.4,Private,Baccalaureate colleges: arts and sciences focus,No
7148,r003,3,Oberlin C.,44,9.1,Private,Baccalaureate colleges: arts and sciences focus,No
7148,r004,4,Princeton U.,88,8.9,Private,R1: doctoral universities,No
7148,r005,5,Wesleyan U.,50,8.8,Private,Baccalaureate colleges: arts and sciences focus,No
7148,r006,6,Rice U.,43,8.7,Private,R1: doctoral universities,No
7148,r007,7,Swarthmore C.,26,8.6,Private,Baccalaureate colleges: arts and sciences focus,No
7148,r008,8,Yale U.,92,8.3,Private,R1: doctoral universities,No
7148,r009,9,Harvard U.,117,8.1,Private,R1: doctoral universities,No
7148,r010,10,Spelman C.,383,7.9,Private,Baccalaureate colleges: arts and sciences focus,Yes
7148,r011,11,U. Rochester,41,7.4,Private,R1: doctoral universities,No
7148,r012,12,Brown U.,72,7.4,Private,R1: doctoral universities,No
7148,r013,13,Dartmouth C.,54,7.3,Private,R1: doctoral universities,No
7148,r014,14,"U. Maryland, Baltimore County",193,7.2,Public,R2: doctoral universities,No
7148,r015,15,Wellesley C.,27,7.1,Private,Baccalaureate colleges: arts and sciences focus,No
7148,r016,16,Cornell U.,110,7.0,Private,R1: doctoral universities,No
7148,r017,17,Stanford U.,110,6.6,Private,R1: doctoral universities,No
7148,r018,18,"Rensselaer Polytechnic Institute, Troy",30,6.5,Private,R1: doctoral universities,No
7148,r019,19,Duke U.,98,6.4,Private,R1: doctoral universities,No
7148,r020,20,Agnes Scott C.,25,6.2,Private,Baccalaureate colleges: arts and sciences focus,No
7148,r021,21,Carnegie Mellon U.,34,6.1,Private,R1: doctoral universities,No
7148,r022,22,Wake Forest U.,43,6.1,Private,R2: doctoral universities,No
7148,r023,23,U. Chicago,30,6.1,Private,R1: doctoral universities,No
7148,r024,24,Andrews U.,47,6.1,Private,Doctoral/professional universities,No
7148,r025,25,Emory U.,91,6.0,Private,R1: doctoral universities,No
7148,r026,26,U. Pennsylvania,101,5.6,Private,R1: doctoral universities,No
7148,r027,27,Tougaloo C.,82,5.4,Private,Baccalaureate colleges: arts and sciences focus,Yes
7148,r028,28,"Texas A&M U., College Station and Health Science Center",103,5.3,Public,R1: doctoral universities,No
7148,r029,29,Columbia U. in the City of New York,68,5.3,Private,R1: doctoral universities,No
7148,r030,30,Northwestern U.,68,5.3,Private,R1: doctoral universities,No
7148,r031,31,"Washington U., Saint Louis",71,5.2,Private,R1: doctoral universities,No
7148,r032,32,Vanderbilt U.,56,5.2,Private,R1: doctoral universities,No
7148,r033,33,Fisk U.,69,4.9,Private,Baccalaureate colleges: arts and sciences focus,Yes
7148,r034,34,"U. North Carolina, Chapel Hill",211,4.9,Public,R1: doctoral universities,No
7148,r035,35,Xavier U. Louisiana,185,4.6,Private,M3: master's institutions - smaller programs,Yes
7148,r036,36,"U. Virginia, Charlottesville",141,4.6,Public,R1: doctoral universities,No
7148,r037,37,"U. Michigan, Ann Arbor",185,4.6,Public,R1: doctoral universities,No
7148,r038,38,C. of William and Mary,36,4.6,Public,R2: doctoral universities,No
7148,r039,39,Johns Hopkins U.,45,4.5,Private,R1: doctoral universities,No
7148,r040,40,Iowa State U.,45,4.4,Public,R1: doctoral universities,No
7148,r041,41,Oakwood U.,108,4.3,Private,Baccalaureate colleges: diverse fields,Yes
7148,r042,42,Morehouse C.,218,4.3,Private,Baccalaureate colleges: arts and sciences focus,Yes
7148,r043,43,Marquette U.,27,4.0,Private,R2: doctoral universities,No
7148,r044,44,Georgia Institute of Technology,77,3.9,Public,R1: doctoral universities,No
7148,r045,45,"U. California, Berkeley",99,3.9,Public,R1: doctoral universities,No
7148,r046,46,U. Wisconsin-Madison,50,3.9,Public,R1: doctoral universities,No
7148,r047,47,Tuskegee U.,136,3.6,Private,M2: master's institutions - medium programs,Yes
7148,r048,48,Clemson U.,74,3.6,Public,R1: doctoral universities,No
7148,r049,49,Georgetown U.,38,3.5,Private,R1: doctoral universities,No
7148,r050,50,U. Notre Dame,26,3.5,Private,R1: doctoral universities,No
