table_id,row_id,rank,baccalaureate_institution,hispanic_doctorate_recipients,institutional_yield_ratioa,institutional_control,2018_carnegie_classification,hhe_status
7149,r001,1,California Institute of Technology,55,41.7,Private,R1: doctoral universities,No
7149,r002,2,Reed C.,28,16.7,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r003,3,Pomona C.,62,16.0,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r004,4,Swarthmore C.,57,15.7,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r005,5,Massachusetts Institute of Technology,188,14.8,Private,R1: doctoral universities,No
7149,r006,6,Carleton C.,30,13.5,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r007,7,Princeton U.,113,13.4,Private,R1: doctoral universities,No
7149,r008,8,Oberlin C.,43,12.8,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r009,9,Haverford C.,28,12.8,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r010,10,Rice U.,111,12.7,Private,R1: doctoral universities,No
7149,r011,11,Harvard U.,170,12.2,Private,R1: doctoral universities,No
7149,r012,12,"Washington U., Saint Louis",57,11.2,Private,R1: doctoral universities,No
7149,r013,13,Yale U.,107,11.1,Private,R1: doctoral universities,No
7149,r014,14,U. Chicago,97,11.0,Private,R1: doctoral universities,No
7149,r015,15,Vassar C.,42,10.8,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r016,16,Duke U.,95,10.1,Private,R1: doctoral universities,No
7149,r017,17,U. Rochester,49,10.1,Private,R1: doctoral universities,No
7149,r018,18,Stanford U.,198,9.5,Private,R1: doctoral universities,No
7149,r019,19,Brown U.,110,9.5,Private,R1: doctoral universities,No
7149,r020,20,Brandeis U.,27,9.3,Private,R1: doctoral universities,No
7149,r021,21,Cornell U.,171,9.1,Private,R1: doctoral universities,No
7149,r022,22,Columbia U. in the City of New York,129,8.6,Private,R1: doctoral universities,No
7149,r023,23,Wellesley C.,34,8.5,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r024,24,Dartmouth C.,59,8.5,Private,R1: doctoral universities,No
7149,r025,25,Carnegie Mellon U.,53,8.2,Private,R1: doctoral universities,No
7149,r026,26,"Williams C., Williamstown",36,8.2,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r027,27,Colorado C.,29,8.1,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r028,28,Barnard C.,36,8.0,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r029,29,Amherst C.,28,8.0,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r030,30,Emory U.,44,7.9,Private,R1: doctoral universities,No
7149,r031,31,Smith C.,34,7.8,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r032,32,New Mexico Institute of Mining and Technology,28,7.1,Public,M3: master's institutions - smaller programs,Yes
7149,r033,33,"U. Pittsburgh, Pittsburgh",33,6.9,Public,R1: doctoral universities,No
7149,r034,34,Johns Hopkins U.,43,6.5,Private,R1: doctoral universities,No
7149,r035,35,C. of William and Mary,41,6.4,Public,R2: doctoral universities,No
7149,r036,36,Tulane U.,40,6.4,Private,R1: doctoral universities,No
7149,r037,37,"U. Alabama, Tuscaloosa",30,6.3,Public,R1: doctoral universities,No
7149,r038,38,Georgia Institute of Technology,63,6.2,Public,R1: doctoral universities,No
7149,r039,39,Wesleyan U.,34,6.2,Private,Baccalaureate colleges: arts and sciences focus,No
7149,r040,40,"U. California, Berkeley",436,5.9,Public,R1: doctoral universities,No
7149,r041,41,U. Wisconsin-Madison,97,5.9,Public,R1: doctoral universities,No
7149,r042,42,Northwestern U.,69,5.8,Private,R1: doctoral universities,No
7149,r043,43,"Tufts U., Medford",55,5.7,Private,R1: doctoral universities,No
7149,r044,44,"Rensselaer Polytechnic Institute, Troy",34,5.6,Private,R1: doctoral universities,No
7149,r045,45,U. Pennsylvania,84,5.4,Private,R1: doctoral universities,No
7149,r046,46,"U. North Carolina, Chapel Hill",67,5.3,Public,R1: doctoral universities,No
7149,r047,47,U. Notre Dame,92,5.2,Private,R1: doctoral universities,No
7149,r048,48,Vanderbilt U.,37,5.1,Private,R1: doctoral universities,No
7149,r049,49,U. Georgia,60,4.9,Public,R1: doctoral universities,No
7149,r050,50,Rochester Institute of Technology,34,4.9,Private,R2: doctoral universities,No
