table_id,row_id,_b_state_outlying_area_and_institution_b_full_path,_b_state_outlying_area_and_institution_b_level_1,_b_state_outlying_area_and_institution_b_level_2,_b_state_outlying_area_and_institution_b_level_3,_b_state_outlying_area_and_institution_b_hierarchy_depth,field_all_agencies,field_doc,field_dod,field_doe,field_doi,field_ed,field_epa,field_hhs,field_nasa,field_nsf,field_usda,field_othera
7294,r001,All states and outlying areas,All states and outlying areas,,,1,8790870.7,31171.0,618977.7,173890.3,4170.0,14926.7,9414.9,6891139.8,164195.2,309649.5,38423.9,534911.7
7294,r002,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,35769.6,0.0,1592.1,289.6,0.0,0.0,0.0,30998.8,862.4,1976.7,50.0,0.0
7294,r003,All states and outlying areas -> Alabama -> HudsonAlpha Institute for Biotechnology,All states and outlying areas,Alabama,HudsonAlpha Institute for Biotechnology,3,12859.6,0.0,0.0,0.0,0.0,0.0,0.0,10832.9,0.0,1976.7,50.0,0.0
7294,r004,All states and outlying areas -> Alabama -> Southern Research Institute,All states and outlying areas,Alabama,Southern Research Institute,3,22910.0,0.0,1592.1,289.6,0.0,0.0,0.0,20165.9,862.4,0.0,0.0,0.0
7294,r005,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,9912.8,1108.8,0.0,376.5,667.0,0.0,258.8,564.7,0.0,6417.3,19.8,500.0
7294,r006,All states and outlying areas -> Alaska -> Alaska Community Action on Toxics,All states and outlying areas,Alaska,Alaska Community Action on Toxics,3,564.7,0.0,0.0,0.0,0.0,0.0,0.0,564.7,0.0,0.0,0.0,0.0
7294,r007,All states and outlying areas -> Alaska -> Alaska Fisheries Development Foundation Inc.,All states and outlying areas,Alaska,Alaska Fisheries Development Foundation Inc.,3,298.9,298.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7294,r008,All states and outlying areas -> Alaska -> Alaska Native Tribal Health Consortium,All states and outlying areas,Alaska,Alaska Native Tribal Health Consortium,3,539.6,0.0,0.0,0.0,82.3,0.0,258.8,0.0,0.0,198.5,0.0,0.0
7294,r009,All states and outlying areas -> Alaska -> Arctic Research Consortium of the United States,All states and outlying areas,Alaska,Arctic Research Consortium of the United States,3,5161.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5161.9,0.0,0.0
7294,r010,All states and outlying areas -> Alaska -> Calista Education and Culture Inc.,All states and outlying areas,Alaska,Calista Education and Culture Inc.,3,456.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.1,0.0,0.0
7294,r011,All states and outlying areas -> Alaska -> Cold Climate Housing Research Center,All states and outlying areas,Alaska,Cold Climate Housing Research Center,3,376.5,0.0,0.0,376.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7294,r012,All states and outlying areas -> Alaska -> Prince William Sound Science and Technology Institute,All states and outlying areas,Alaska,Prince William Sound Science and Technology Institute,3,282.1,282.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7294,r013,All states and outlying areas -> Alaska -> Rural Alaska Community Action Program Inc.,All states and outlying areas,Alaska,Rural Alaska Community Action Program Inc.,3,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
7294,r014,All states and outlying areas -> Alaska -> Sealaska Heritage Institute,All states and outlying areas,Alaska,Sealaska Heritage Institute,3,414.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.8,0.0,0.0
7294,r015,All states and outlying areas -> Alaska -> Seward Association for the Advancement of Marine Science,All states and outlying areas,Alaska,Seward Association for the Advancement of Marine Science,3,962.6,527.7,0.0,0.0,434.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7294,r016,All states and outlying areas -> Alaska -> Sitka Conservation Society,All states and outlying areas,Alaska,Sitka Conservation Society,3,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,0.0
7294,r017,All states and outlying areas -> Alaska -> Sitka Sound Science Center Inc.,All states and outlying areas,Alaska,Sitka Sound Science Center Inc.,3,335.6,0.0,0.0,0.0,149.8,0.0,0.0,0.0,0.0,185.8,0.0,0.0
7294,r018,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,57937.5,0.0,0.0,1.3,2.2,0.0,0.0,43225.4,10348.1,2355.5,2005.0,0.0
7294,r019,All states and outlying areas -> Arizona -> American Conservation Experience,All states and outlying areas,Arizona,American Conservation Experience,3,2.2,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7294,r020,All states and outlying areas -> Arizona -> Archaeology Southwest,All states and outlying areas,Arizona,Archaeology Southwest,3,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,0.0,0.0
7294,r021,All states and outlying areas -> Arizona -> Banner Health System,All states and outlying areas,Arizona,Banner Health System,3,10239.5,0.0,0.0,0.0,0.0,0.0,0.0,10239.5,0.0,0.0,0.0,0.0
7294,r022,All states and outlying areas -> Arizona -> Carl T. Hayden Medical Research Foundation,All states and outlying areas,Arizona,Carl T. Hayden Medical Research Foundation,3,106.1,0.0,0.0,0.0,0.0,0.0,0.0,106.1,0.0,0.0,0.0,0.0
7294,r023,All states and outlying areas -> Arizona -> Critical Path Institute,All states and outlying areas,Arizona,Critical Path Institute,3,14376.3,0.0,0.0,0.0,0.0,0.0,0.0,14376.3,0.0,0.0,0.0,0.0
