table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2012,field_2013,field_2014,field_2015,field_2016,field_2017,field_2018,field_2019,field_2020
7306,r001,All institutions,All institutions,,1,-,27699527.0,26156379.1,27652453.0,27105722.9,28532827.3,29805219.8,32312580.9,35125136.1,36569461.0
7306,r002,All institutions -> Johns Hopkins U.,All institutions,Johns Hopkins U.,2,1,1359091.4,1266769.9,1402094.6,1340729.6,1805420.1,1658298.8,1753499.8,1856090.9,1915151.3
7306,r003,All institutions -> U. Michigan,All institutions,U. Michigan,2,2,623342.2,574995.6,860758.8,606141.5,626142.5,656721.4,703766.6,745826.3,755646.2
7306,r004,"All institutions -> U. California, Los Angeles",All institutions,"U. California, Los Angeles",2,3,474971.9,452505.3,487210.4,481831.8,490824.4,492364.3,509918.8,555094.6,750550.4
7306,r005,All institutions -> U. Washington,All institutions,U. Washington,2,4,666065.9,605210.5,658813.5,611946.1,590270.2,612729.0,665699.3,726633.8,728359.4
7306,r006,All institutions -> Columbia U. in the City of New York,All institutions,Columbia U. in the City of New York,2,5,478986.4,454301.1,465499.8,476125.7,522580.5,534658.8,601763.8,653356.9,699886.8
7306,r007,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,6,248670.7,292358.9,249047.5,295180.1,156853.8,465721.3,485259.0,620143.6,683896.2
7306,r008,"All institutions -> U. California, San Diego",All institutions,"U. California, San Diego",2,7,584593.6,510907.1,580763.1,536625.6,554478.3,586656.5,636413.4,679558.4,652352.9
7306,r009,"All institutions -> U. California, San Francisco",All institutions,"U. California, San Francisco",2,8,546048.0,524061.1,546277.7,528493.6,547196.6,573522.0,616954.0,675389.1,644404.7
7306,r010,All institutions -> Duke U.,All institutions,Duke U.,2,9,431687.6,424451.6,440787.0,428529.6,467847.7,490342.6,543712.1,629089.0,639338.1
7306,r011,All institutions -> Stanford U.,All institutions,Stanford U.,2,10,475348.3,461139.2,478346.0,504036.1,513877.0,550246.9,576305.1,612541.2,630590.6
7306,r012,All institutions -> U. Pittsburgh,All institutions,U. Pittsburgh,2,11,475736.2,425886.6,470596.9,450010.9,493567.9,503566.3,558247.7,581755.6,600173.0
7306,r013,All institutions -> U. Pennsylvania,All institutions,U. Pennsylvania,2,12,497030.1,498295.4,542396.5,494607.4,512081.9,509277.3,540929.3,625480.2,593581.0
7306,r014,All institutions -> Yale U.,All institutions,Yale U.,2,13,409639.7,383426.9,398769.8,370816.1,425575.6,431569.1,466892.3,530722.1,552582.7
7306,r015,"All institutions -> Washington U., Saint Louis",All institutions,"Washington U., Saint Louis",2,14,393729.2,348060.8,394310.2,391623.6,408896.5,447830.8,484553.6,535084.5,543546.4
7306,r016,All institutions -> U. Colorado Boulder,All institutions,U. Colorado Boulder,2,15,394013.9,389982.4,385624.7,416666.8,438819.3,442173.1,517162.4,511533.1,538927.1
