table_id,row_id,_b_state_and_outlying_area_b_full_path,_b_state_and_outlying_area_b_level_1,_b_state_and_outlying_area_b_level_2,_b_state_and_outlying_area_b_level_3,_b_state_and_outlying_area_b_hierarchy_depth,field_all_federal_obligations,field_r_d,field_r_d_plant,field_facilities_for_instruction_in_s_e,field_fellowships_traineeships_and_training_grants,field_general_support_for_s_e,field_other_s_e_activities
7308,r001,All states and outlying areas,All states and outlying areas,,,1,,,,,,,
7308,r002,All states and outlying areas -> Obligations ($thousands),All states and outlying areas,Obligations ($thousands),,2,39122152.2,36569461.0,400144.6,19753.3,1621880.0,95944.0,414969.3
7308,r003,All states and outlying areas -> Institutions (number),All states and outlying areas,Institutions (number),,2,991,941,179,45,683,104,259
7308,r004,All states and outlying areas -> Alabama,All states and outlying areas,Alabama,,2,,,,,,,
7308,r005,All states and outlying areas -> Alabama -> Obligations ($thousands),All states and outlying areas,Alabama,Obligations ($thousands),3,531815.2,494908.4,1885.6,399.3,28816.5,3821.7,1983.7
7308,r006,All states and outlying areas -> Alabama -> Institutions (number),All states and outlying areas,Alabama,Institutions (number),3,18,13,2,2,11,6,7
7308,r007,All states and outlying areas -> Alaska,All states and outlying areas,Alaska,,2,,,,,,,
7308,r008,All states and outlying areas -> Alaska -> Obligations ($thousands),All states and outlying areas,Alaska,Obligations ($thousands),3,128043.0,106887.7,3898.2,0.0,6924.1,0.0,10333.1
7308,r009,All states and outlying areas -> Alaska -> Institutions (number),All states and outlying areas,Alaska,Institutions (number),3,5,5,2,0,2,0,2
7308,r010,All states and outlying areas -> Arizona,All states and outlying areas,Arizona,,2,,,,,,,
7308,r011,All states and outlying areas -> Arizona -> Obligations ($thousands),All states and outlying areas,Arizona,Obligations ($thousands),3,479451.3,450661.8,3067.9,285.0,18105.3,1307.4,6023.9
7308,r012,All states and outlying areas -> Arizona -> Institutions (number),All states and outlying areas,Arizona,Institutions (number),3,8,8,2,1,6,2,4
7308,r013,All states and outlying areas -> Arkansas,All states and outlying areas,Arkansas,,2,,,,,,,
7308,r014,All states and outlying areas -> Arkansas -> Obligations ($thousands),All states and outlying areas,Arkansas,Obligations ($thousands),3,119108.1,98093.7,580.3,210.6,16162.7,0.0,4060.8
7308,r015,All states and outlying areas -> Arkansas -> Institutions (number),All states and outlying areas,Arkansas,Institutions (number),3,10,10,1,1,7,0,2
7308,r016,All states and outlying areas -> California,All states and outlying areas,California,,2,,,,,,,
7308,r017,All states and outlying areas -> California -> Obligations ($thousands),All states and outlying areas,California,Obligations ($thousands),3,5060427.6,4787584.8,31420.4,4132.8,191503.3,12617.5,33168.9
