table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_1_9_employees,field_10_49_employees,field_50_249_employees,field_250_or_more_employees
7393,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['4,857,473', '&nbsp;']","['3,647,814', '&nbsp;']","['991,559', '&nbsp;']","['183,131', '&nbsp;']","['34,968', '&nbsp;']"
7393,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['217,058', '&nbsp;']","['123,373', '&nbsp;']","['68,455', '&nbsp;']","['20,046', '&nbsp;']","['5,184', '&nbsp;']"
7393,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['18,379', '&nbsp;']","['9,260', '&nbsp;']","['6,322', '&nbsp;']","['2,041', '&nbsp;']","['757', '&nbsp;']"
7393,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['8,381', '&nbsp;']","['4,400', '&nbsp;']","['3,389', '&nbsp;']","['516', '&nbsp;']","['78', '&nbsp;']"
7393,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['10,205', '&nbsp;']","['6,992', '&nbsp;']","['2,541', '&nbsp;']","['561', '&nbsp;']","['112', '&nbsp;']"
7393,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['10,340', '&nbsp;']","['5,459', '&nbsp;']","['3,664', '&nbsp;']","['1,039', '&nbsp;']","['178', '&nbsp;']"
7393,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['1,795', '&nbsp;']","['517', '&nbsp;']","['701', '&nbsp;']","['460', '&nbsp;']","['118', '&nbsp;']"
7393,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['21,035', '&nbsp;']","['15,393', '&nbsp;']","['4,711', '&nbsp;']","['826', '&nbsp;']","['105', '&nbsp;']"
7393,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['693', '&nbsp;']","['385', '&nbsp;']","['219', '&nbsp;']","['52', '&nbsp;']","['37', '&nbsp;']"
7393,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['7,759', '&nbsp;']","['3,783', '&nbsp;']","['2,655', '&nbsp;']","['931', '&nbsp;']","['390', '&nbsp;']"
7393,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemical ",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemical ",,4,3253,"['555', '&nbsp;']","['199', '&nbsp;']","['202', '&nbsp;']","['148', 'r']","['8', '&nbsp;']"
7393,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,467', '&nbsp;']","['695', '&nbsp;']","['426', '&nbsp;']","['206', '&nbsp;']","['138', '&nbsp;']"
7393,r013,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['1,772', '&nbsp;']","['1,098', '&nbsp;']","['469', '&nbsp;']","['177', '&nbsp;']","['29', '&nbsp;']"
7393,r014,All industries -> Manufacturing industries -> Chemicals -> Other chemicals,All industries,Manufacturing industries,Chemicals,Other chemicals,,4,other 325,"['3,966', '&nbsp;']","['1,792', '&nbsp;']","['1,555', '&nbsp;']","['401', '&nbsp;']","['217', '&nbsp;']"
7393,r015,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['7,811', '&nbsp;']","['3,329', '&nbsp;']","['2,772', '&nbsp;']","['1,210', '&nbsp;']","['500', '&nbsp;']"
7393,r016,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['7,758', '&nbsp;']","['4,072', '&nbsp;']","['2,747', '&nbsp;']","['653', '&nbsp;']","['287', '&nbsp;']"
7393,r017,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['2,437', '&nbsp;']","['884', '&nbsp;']","['821', '&nbsp;']","['531', '&nbsp;']","['199', '&nbsp;']"
7393,r018,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['48,470', '&nbsp;']","['26,461', '&nbsp;']","['16,941', '&nbsp;']","['4,596', '&nbsp;']","['472', '&nbsp;']"
7393,r019,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['18,350', '&nbsp;']","['9,126', '&nbsp;']","['6,388', '&nbsp;']","['2,428', '&nbsp;']","['408', '&nbsp;']"
7393,r020,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['8,851', '&nbsp;']","['4,616', '&nbsp;']","['2,762', '&nbsp;']","['1,084', '&nbsp;']","['388', '&nbsp;']"
