table_id,row_id,company_and_financial_information,all_companies,1_4_employees,5_9_employees
7396,r001,Number of companies,"['15,401', '&nbsp;']","['9,774', '&nbsp;']","['5,627', '&nbsp;']"
7396,r002,Total R&D cost,"['7,245,649', '&nbsp;']","['3,215,024', '&nbsp;']","['4,030,625', '&nbsp;']"
7396,r003,Foreign R&D costs,"['929,337', '&nbsp;']","['363,152', '&nbsp;']","['566,185', '&nbsp;']"
7396,r004,Domestic R&D costs,"['6,316,312', '&nbsp;']","['2,851,872', '&nbsp;']","['3,464,440', '&nbsp;']"
7396,r005,"Domestic R&D costs for salaries, wages, and benefits","['3,494,058', '&nbsp;']","['1,496,901', '&nbsp;']","['1,997,157', '&nbsp;']"
7396,r006,Domestic R&D costs for expensed machinery and equipment (not capitalized),"['169,003', '&nbsp;']","['88,012', '&nbsp;']","['80,991', '&nbsp;']"
7396,r007,Domestic R&D costs for materials and supplies,"['512,106', '&nbsp;']","['238,522', '&nbsp;']","['273,584', '&nbsp;']"
7396,r008,Domestic R&D costs for payments to others for R&D,"['1,097,401', '&nbsp;']","['501,550', '&nbsp;']","['595,851', '&nbsp;']"
7396,r009,Domestic R&D costs for depreciation on R&D property and equipment,"['73,745', '&nbsp;']","['23,391', '&nbsp;']","['50,354', '&nbsp;']"
7396,r010,Domestic R&D costs for other costs,"['969,999', '&nbsp;']","['503,496', '&nbsp;']","['466,503', '&nbsp;']"
7396,r011,Domestic R&D performance,"['5,218,911', '&nbsp;']","['2,350,322', '&nbsp;']","['2,868,589', '&nbsp;']"
7396,r012,Domestic R&D performance paid for by the company,"['4,109,445', '&nbsp;']","['1,868,086', '&nbsp;']","['2,241,358', '&nbsp;']"
7396,r013,Domestic R&D performance paid for by foreign owner,"['114,719', '&nbsp;']","['50,600', '&nbsp;']","['64,119', '&nbsp;']"
7396,r014,Domestic R&D performance paid for by another U.S. business,"['211,608', '&nbsp;']","['122,427', '&nbsp;']","['89,181', '&nbsp;']"
7396,r015,Domestic R&D performance paid for other businesses located outside the United States,"['22,991', '&nbsp;']","['9,628', 'r']","['13,363', '&nbsp;']"
7396,r016,Domestic R&D performance paid for by U.S. university or college,"['12,065', '&nbsp;']","['4,702', '&nbsp;']","['7,362', '&nbsp;']"
7396,r017,Domestic R&D performance paid for by U.S. nonprofit organization,"['9,387', '&nbsp;']","['4,244', '&nbsp;']","['5,143', '&nbsp;']"
7396,r018,Domestic R&D performance paid for by U.S. federal government,"['712,053', '&nbsp;']","['276,329', '&nbsp;']","['435,723', '&nbsp;']"
7396,r019,Domestic R&D performance paid for by U.S. state or local government,"['22,908', '&nbsp;']","['13,349', '&nbsp;']","['9,559', '&nbsp;']"
7396,r020,Domestic R&D performance paid for by all other organizations outside the United States,"['3,736', '&nbsp;']","['956', 'r']","['2,780', '&nbsp;']"
7396,r021,Domestic R&D performance for basic research,"['342,418', '&nbsp;']","['137,509', '&nbsp;']","['204,909', '&nbsp;']"
7396,r022,Domestic R&D performance for applied research,"['2,145,921', '&nbsp;']","['948,978', '&nbsp;']","['1,196,943', '&nbsp;']"
7396,r023,Domestic R&D performance for development,"['2,730,571', '&nbsp;']","['1,263,835', '&nbsp;']","['1,466,736', '&nbsp;']"
