table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_total,field_yes_filed_form_6765_in_2018,field_no_did_not_file_form_6765_in_2018,field_did_not_answer
7421,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['15,401', '&nbsp;']","['19.8', '&nbsp;']","['79.9', '&nbsp;']","['0.3', '&nbsp;']"
7421,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['1,659', '&nbsp;']","['25.3', '&nbsp;']","['73.2', '&nbsp;']","['1.4', 'r']"
7421,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['29', '&nbsp;']","['41.4', '&nbsp;']","['58.6', '&nbsp;']","['0.0', '&nbsp;']"
7421,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['3', 'r']","['0.0', '&nbsp;']","['100.0', 'r']","['0.0', '&nbsp;']"
7421,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['2', 'r']","['100.0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
7421,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
7421,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['4', '&nbsp;']","['0.0', '&nbsp;']","['100.0', 'r']","['0.0', '&nbsp;']"
7421,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
7421,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['374', '&nbsp;']","['19.0', '&nbsp;']","['79.4', '&nbsp;']","['1.6', 'r']"
7421,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['165', '&nbsp;']","['23.0', '&nbsp;']","['73.3', '&nbsp;']","['3.6', 'r']"
7421,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['210', '&nbsp;']","['15.2', '&nbsp;']","['84.8', '&nbsp;']","['0.0', '&nbsp;']"
7421,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['21', '&nbsp;']","['19.0', '&nbsp;']","['81.0', '&nbsp;']","['0.0', '&nbsp;']"
7421,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['4', 'r']","['0.0', '&nbsp;']","['100.0', 'r']","['0.0', '&nbsp;']"
7421,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['4', 'r']","['0.0', '&nbsp;']","['100.0', 'r']","['0.0', '&nbsp;']"
7421,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['57', 'r']","['8.8', 'r']","['91.2', '&nbsp;']","['0.0', '&nbsp;']"
7421,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['129', '&nbsp;']","['30.2', 'r']","['69.8', '&nbsp;']","['0.0', '&nbsp;']"
7421,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['710', '&nbsp;']","['25.8', '&nbsp;']","['72.3', '&nbsp;']","['2.0', 'r']"
7421,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['130', '&nbsp;']","['23.8', '&nbsp;']","['76.2', '&nbsp;']","['0.0', '&nbsp;']"
7421,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['502', '&nbsp;']","['27.1', '&nbsp;']","['70.1', '&nbsp;']","['2.8', 'r']"
7421,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['78', '&nbsp;']","['19.2', 'r']","['80.8', '&nbsp;']","['0.0', '&nbsp;']"
7421,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['50', '&nbsp;']","['28.0', 'r']","['72.0', 'r']","['0.0', '&nbsp;']"
7421,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['70', '&nbsp;']","['28.6', 'r']","['71.4', '&nbsp;']","['0.0', '&nbsp;']"
7421,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['53', '&nbsp;']","['28.3', 'r']","['71.7', '&nbsp;']","['0.0', '&nbsp;']"
7421,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['16', '&nbsp;']","['31.3', 'r']","['68.8', 'r']","['0.0', '&nbsp;']"
7421,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']","['0.0', '&nbsp;']"
