table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_companies_number_,field_product_innovation_number_yes,field_product_innovation_number_no,field_product_innovation_percent_yes,field_product_innovation_percent_no
7423,r001,All companies,All companies,,,1,"['4,857,473', '&nbsp;']","['530,124', '&nbsp;']","['4,327,349', '&nbsp;']","['10.9', '&nbsp;']","['89.1', '&nbsp;']"
7423,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7423,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,701,088', '&nbsp;']","['269,460', '&nbsp;']","['2,431,628', '&nbsp;']","['10.0', '&nbsp;']","['90.0', '&nbsp;']"
7423,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['946,725', '&nbsp;']","['112,592', '&nbsp;']","['834,133', '&nbsp;']","['11.9', '&nbsp;']","['88.1', '&nbsp;']"
7423,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7423,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['590,193', '&nbsp;']","['75,348', '&nbsp;']","['514,845', '&nbsp;']","['12.8', '&nbsp;']","['87.2', '&nbsp;']"
7423,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['401,365', '&nbsp;']","['45,233', '&nbsp;']","['356,132', '&nbsp;']","['11.3', '&nbsp;']","['88.7', '&nbsp;']"
7423,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7423,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['118,677', '&nbsp;']","['14,269', '&nbsp;']","['104,408', '&nbsp;']","['12.0', '&nbsp;']","['88.0', '&nbsp;']"
7423,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['64,454', '&nbsp;']","['7,734', '&nbsp;']","['56,720', '&nbsp;']","['12.0', '&nbsp;']","['88.0', '&nbsp;']"
7423,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7423,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['19,208', '&nbsp;']","['2,732', '&nbsp;']","['16,476', '&nbsp;']","['14.2', '&nbsp;']","['85.8', '&nbsp;']"
7423,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['8,130', '&nbsp;']","['1,156', '&nbsp;']","['6,974', '&nbsp;']","['14.2', '&nbsp;']","['85.8', '&nbsp;']"
7423,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,023', '&nbsp;']","['1,152', '&nbsp;']","['4,871', '&nbsp;']","['19.1', 'r']","['80.9', '&nbsp;']"
7423,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['775', '&nbsp;']","['196', '&nbsp;']","['579', '&nbsp;']","['25.3', '&nbsp;']","['74.7', '&nbsp;']"
7423,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['496', '&nbsp;']","['145', '&nbsp;']","['351', '&nbsp;']","['29.2', '&nbsp;']","['70.8', '&nbsp;']"
7423,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['335', '&nbsp;']","['108', '&nbsp;']","['227', '&nbsp;']","['32.2', '&nbsp;']","['67.8', '&nbsp;']"
