table_id,row_id,race_and_ethnicity_of_owners_full_path,race_and_ethnicity_of_owners_level_1,race_and_ethnicity_of_owners_level_2,race_and_ethnicity_of_owners_level_3,race_and_ethnicity_of_owners_level_4,race_and_ethnicity_of_owners_hierarchy_depth,field_companies_number_,field_innovation_r_d_activity_number_yes,field_innovation_r_d_activity_number_no,field_innovation_r_d_activity_percent_yes,field_innovation_r_d_activity_percent_no
7439,r001,All companies (race and ethnicity),All companies (race and ethnicity),,,,1,"['1,230,217', '&nbsp;']","['300,469', '&nbsp;']","['929,748', '&nbsp;']","['24.4', '&nbsp;']","['75.6', '&nbsp;']"
7439,r002,All companies (race and ethnicity) -> Race,All companies (race and ethnicity),Race,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7439,r003,All companies (race and ethnicity) -> Race -> White,All companies (race and ethnicity),Race,White,,3,"['1,033,857', '&nbsp;']","['251,357', '&nbsp;']","['782,500', '&nbsp;']","['24.3', '&nbsp;']","['75.7', '&nbsp;']"
7439,r004,All companies (race and ethnicity) -> Race -> Asian,All companies (race and ethnicity),Race,Asian,,3,"['148,137', '&nbsp;']","['35,448', '&nbsp;']","['112,689', '&nbsp;']","['23.9', '&nbsp;']","['76.1', '&nbsp;']"
7439,r005,All companies (race and ethnicity) -> Race -> Black or African American,All companies (race and ethnicity),Race,Black or African American,,3,"['30,770', '&nbsp;']","['7,337', '&nbsp;']","['23,433', '&nbsp;']","['23.8', '&nbsp;']","['76.2', '&nbsp;']"
7439,r006,All companies (race and ethnicity) -> Race -> American Indian or Alaska Native,All companies (race and ethnicity),Race,American Indian or Alaska Native,,3,"['5,678', '&nbsp;']","['1,339', '&nbsp;']","['4,339', '&nbsp;']","['23.6', '&nbsp;']","['76.4', '&nbsp;']"
7439,r007,All companies (race and ethnicity) -> Race -> Native Hawaiian or Other Pacific Islander,All companies (race and ethnicity),Race,Native Hawaiian or Other Pacific Islander,,3,"['1,747', '&nbsp;']","['300', '&nbsp;']","['1,447', '&nbsp;']","['17.2', '&nbsp;']","['82.8', '&nbsp;']"
7439,r008,All companies (race and ethnicity) -> Ethnicity,All companies (race and ethnicity),Ethnicity,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7439,r009,All companies (race and ethnicity) -> Ethnicity -> Hispanic or Latino,All companies (race and ethnicity),Ethnicity,Hispanic or Latino,,3,"['88,542', '&nbsp;']","['18,091', '&nbsp;']","['70,451', '&nbsp;']","['20.4', '&nbsp;']","['79.6', '&nbsp;']"
7439,r010,All companies (race and ethnicity) -> Ethnicity -> Equally Hispanic and not Hispanic,All companies (race and ethnicity),Ethnicity,Equally Hispanic and not Hispanic,,3,"['12,151', '&nbsp;']","['3,608', '&nbsp;']","['8,543', '&nbsp;']","['29.7', '&nbsp;']","['70.3', '&nbsp;']"
7439,r011,All companies (race and ethnicity) -> Ethnicity -> Not Hispanic,All companies (race and ethnicity),Ethnicity,Not Hispanic,,3,"['1,118,953', '&nbsp;']","['273,837', '&nbsp;']","['845,116', '&nbsp;']","['24.5', '&nbsp;']","['75.5', '&nbsp;']"
7439,r012,All companies (race and ethnicity) -> Minority status,All companies (race and ethnicity),Minority status,,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7439,r013,All companies (race and ethnicity) -> Minority status -> Minority,All companies (race and ethnicity),Minority status,Minority,,3,"['270,287', '&nbsp;']","['61,865', '&nbsp;']","['208,422', '&nbsp;']","['22.9', '&nbsp;']","['77.1', '&nbsp;']"
7439,r014,"All companies (race and ethnicity) -> Minority status -> Minority -> Black or African American, American Indian or Alaska Native, or Hispanic or Latino",All companies (race and ethnicity),Minority status,Minority,"Black or African American, American Indian or Alaska Native, or Hispanic or Latino",4,"['120,995', '&nbsp;']","['25,917', '&nbsp;']","['95,078', '&nbsp;']","['21.4', '&nbsp;']","['78.6', '&nbsp;']"
7439,r015,All companies (race and ethnicity) -> Minority status -> Equally minority and nonminority,All companies (race and ethnicity),Minority status,Equally minority and nonminority,,3,"['22,404', '&nbsp;']","['5,809', '&nbsp;']","['16,595', '&nbsp;']","['25.9', '&nbsp;']","['74.1', '&nbsp;']"
7439,r016,All companies (race and ethnicity) -> Minority status -> Nonminority,All companies (race and ethnicity),Minority status,Nonminority,,3,"['926,953', '&nbsp;']","['227,864', '&nbsp;']","['699,089', '&nbsp;']","['24.6', '&nbsp;']","['75.4', '&nbsp;']"
7439,r017,All companies (race and ethnicity) -> Unclassifiable,All companies (race and ethnicity),Unclassifiable,,,2,"['10,574', '&nbsp;']","['4,935', '&nbsp;']","['5,639', '&nbsp;']","['46.7', '&nbsp;']","['53.3', '&nbsp;']"
