table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_all_companies,field_any_cooperation_partner,field_parent_affiliated_or_subsidiary_business,field_suppliers,field_other_businesses,field_federal_state_or_local_government,field_customers,field_consultants_or_commercial_laboratories,field_universities_colleges_or_other_institutions_of_higher_education,field_nonprofit_organizations,field_households_or_individuals
7448,r001,All companies,All companies,,,1,"['530,124', '&nbsp;']","['69.7', '&nbsp;']","['12.1', '&nbsp;']","['40.8', '&nbsp;']","['31.3', '&nbsp;']","['7.0', '&nbsp;']","['40.1', '&nbsp;']","['12.9', '&nbsp;']","['6.4', '&nbsp;']","['6.4', '&nbsp;']","['17.7', '&nbsp;']"
7448,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7448,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['269,460', '&nbsp;']","['68.5', '&nbsp;']","['11.0', '&nbsp;']","['36.4', '&nbsp;']","['31.5', '&nbsp;']","['6.3', '&nbsp;']","['41.2', '&nbsp;']","['12.5', '&nbsp;']","['6.2', '&nbsp;']","['6.6', '&nbsp;']","['18.5', '&nbsp;']"
7448,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['112,592', '&nbsp;']","['68.9', '&nbsp;']","['10.5', '&nbsp;']","['43.6', '&nbsp;']","['30.5', '&nbsp;']","['7.3', '&nbsp;']","['36.9', '&nbsp;']","['12.0', '&nbsp;']","['6.8', '&nbsp;']","['6.2', '&nbsp;']","['18.5', '&nbsp;']"
7448,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7448,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['75,348', '&nbsp;']","['70.1', '&nbsp;']","['12.4', '&nbsp;']","['44.3', '&nbsp;']","['29.7', '&nbsp;']","['7.1', '&nbsp;']","['38.3', '&nbsp;']","['12.0', '&nbsp;']","['5.4', '&nbsp;']","['5.4', '&nbsp;']","['16.4', '&nbsp;']"
7448,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['45,233', '&nbsp;']","['74.1', '&nbsp;']","['14.9', '&nbsp;']","['48.5', '&nbsp;']","['32.6', '&nbsp;']","['9.0', '&nbsp;']","['43.1', '&nbsp;']","['15.6', '&nbsp;']","['7.0', '&nbsp;']","['7.5', '&nbsp;']","['16.1', '&nbsp;']"
7448,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7448,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['14,269', '&nbsp;']","['75.3', '&nbsp;']","['18.9', '&nbsp;']","['46.9', '&nbsp;']","['35.2', '&nbsp;']","['8.2', '&nbsp;']","['45.3', '&nbsp;']","['17.1', '&nbsp;']","['7.8', '&nbsp;']","['7.2', '&nbsp;']","['16.9', '&nbsp;']"
7448,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['7,734', '&nbsp;']","['71.2', '&nbsp;']","['23.2', '&nbsp;']","['49.5', '&nbsp;']","['28.2', '&nbsp;']","['10.4', '&nbsp;']","['33.0', '&nbsp;']","['15.5', '&nbsp;']","['7.2', '&nbsp;']","['5.3', '&nbsp;']","['10.3', '&nbsp;']"
