table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_all_companies,field_core_production,field_distribution_and_logistics,field_marketing_sales_and_after_sales_services,field_administrative_or_management_functions,field_research_and_development,field_engineering_and_other_technical_services,field_information_and_communication_technology_services,field_all_other_operating_activities
7473,r001,All companies,All companies,,,1,"['4,857,473', '&nbsp;']","['16.4', '&nbsp;']","['13.5', '&nbsp;']","['16.3', '&nbsp;']","['12.8', '&nbsp;']","['4.0', '&nbsp;']","['5.9', '&nbsp;']","['13.4', '&nbsp;']","['13.6', '&nbsp;']"
7473,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7473,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,701,088', '&nbsp;']","['14.8', '&nbsp;']","['11.2', '&nbsp;']","['13.9', '&nbsp;']","['12.3', '&nbsp;']","['3.6', '&nbsp;']","['4.8', '&nbsp;']","['10.0', '&nbsp;']","['12.5', '&nbsp;']"
7473,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['946,725', '&nbsp;']","['17.9', '&nbsp;']","['14.3', '&nbsp;']","['17.4', '&nbsp;']","['12.7', '&nbsp;']","['4.0', '&nbsp;']","['6.1', '&nbsp;']","['14.2', '&nbsp;']","['13.8', '&nbsp;']"
7473,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7473,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['590,193', '&nbsp;']","['18.6', '&nbsp;']","['16.1', '&nbsp;']","['19.3', '&nbsp;']","['13.7', '&nbsp;']","['4.6', '&nbsp;']","['7.3', '&nbsp;']","['17.5', '&nbsp;']","['14.7', '&nbsp;']"
7473,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['401,365', '&nbsp;']","['18.9', '&nbsp;']","['18.4', '&nbsp;']","['20.8', '&nbsp;']","['14.1', '&nbsp;']","['5.0', '&nbsp;']","['8.3', '&nbsp;']","['21.0', '&nbsp;']","['15.5', '&nbsp;']"
7473,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7473,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['118,677', '&nbsp;']","['18.9', '&nbsp;']","['21.2', '&nbsp;']","['23.7', '&nbsp;']","['14.9', '&nbsp;']","['6.4', '&nbsp;']","['10.9', '&nbsp;']","['25.3', '&nbsp;']","['17.8', '&nbsp;']"
7473,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['64,454', '&nbsp;']","['20.7', '&nbsp;']","['24.4', '&nbsp;']","['26.4', '&nbsp;']","['15.3', '&nbsp;']","['6.5', '&nbsp;']","['12.3', '&nbsp;']","['28.7', '&nbsp;']","['19.8', '&nbsp;']"
7473,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
7473,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['19,208', '&nbsp;']","['18.3', '&nbsp;']","['26.4', '&nbsp;']","['24.6', '&nbsp;']","['13.1', '&nbsp;']","['8.0', '&nbsp;']","['14.5', '&nbsp;']","['29.0', '&nbsp;']","['21.1', '&nbsp;']"
7473,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['8,130', '&nbsp;']","['18.3', '&nbsp;']","['24.6', '&nbsp;']","['24.1', '&nbsp;']","['11.4', '&nbsp;']","['9.0', '&nbsp;']","['14.3', '&nbsp;']","['25.9', '&nbsp;']","['18.7', '&nbsp;']"
7473,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,023', '&nbsp;']","['16.4', '&nbsp;']","['22.8', '&nbsp;']","['21.0', '&nbsp;']","['12.8', '&nbsp;']","['8.1', '&nbsp;']","['14.2', '&nbsp;']","['25.4', '&nbsp;']","['20.5', '&nbsp;']"
