table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_all_companies,field_provided_designs_or_specifications_for_the_goods_manufactured_by_others,field_did_not_provide_designs_or_specifications_for_the_goods_manufactured_by_others,field_did_not_answer
7483,r001,All industries,All industries,,,,,1,"11, 21–23, 31–33, 42–81","['187,745', '&nbsp;']","['57.9', '&nbsp;']","['41.8', '&nbsp;']","['0.2', '&nbsp;']"
7483,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['35,307', '&nbsp;']","['63.0', '&nbsp;']","['36.9', '&nbsp;']","['0.2', 'r']"
7483,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,288', '&nbsp;']","['66.8', '&nbsp;']","['33.1', '&nbsp;']","['0.0', '&nbsp;']"
7483,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,099', '&nbsp;']","['45.1', '&nbsp;']","['55.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['1,769', '&nbsp;']","['72.2', '&nbsp;']","['27.7', '&nbsp;']","['0.0', '&nbsp;']"
7483,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['868', '&nbsp;']","['57.0', '&nbsp;']","['43.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['471', '&nbsp;']","['62.9', '&nbsp;']","['37.1', '&nbsp;']","['0.0', '&nbsp;']"
7483,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['4,008', '&nbsp;']","['64.8', '&nbsp;']","['35.2', '&nbsp;']","['0.0', '&nbsp;']"
7483,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['53', 'r']","['96.1', '&nbsp;']","['3.9', '&nbsp;']","['0.0', '&nbsp;']"
7483,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['1,138', '&nbsp;']","['55.1', '&nbsp;']","['45.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r011,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemical",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemical",,4,3253,"['33', '&nbsp;']","['50.0', '&nbsp;']","['50.0', '&nbsp;']","['0.0', '&nbsp;']"
7483,r012,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['291', '&nbsp;']","['68.3', '&nbsp;']","['31.7', '&nbsp;']","['0.0', '&nbsp;']"
