table_id,row_id,_b_characteristic_b_full_path,_b_characteristic_b_level_1,_b_characteristic_b_level_2,_b_characteristic_b_level_3,_b_characteristic_b_level_4,_b_characteristic_b_hierarchy_depth,field_all_social_sciences_fields,field_anthropology,field_area_ethnic_cultural_gender_and_group_studies,field_economics,field_political_science_and_government,field_public_policy_analysis,field_sociology_demography_and_population_studies,field_social_sciences_other
7637,r001,All doctorate recipients (number)<sup>a</sup>,All doctorate recipients (number)<sup>a</sup>,,,,1,4749,388,383,1317,581,399,578,1103
7637,r002,All doctorate recipients (number)<sup>a</sup> -> Sex (%),All doctorate recipients (number)<sup>a</sup>,Sex (%),,,2,,,,,,,,
7637,r003,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Male,All doctorate recipients (number)<sup>a</sup>,Sex (%),Male,,3,49.7,30.2,35.2,66.1,58.3,42.4,37.9,46.1
7637,r004,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Female,All doctorate recipients (number)<sup>a</sup>,Sex (%),Female,,3,50.3,69.8,64.5,33.9,41.7,57.6,62.1,53.8
7637,r005,All doctorate recipients (number)<sup>a</sup> -> Sex (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Sex (%),Unknown,,3,0.1,0.0,0.3,0.1,0.0,0.0,0.0,0.1
7637,r006,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%),All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),,,2,,,,,,,,
7637,r007,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> U.S. citizen or permanent resident,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),U.S. citizen or permanent resident,,3,63.0,75.8,73.9,35.5,69.7,79.2,81.1,68.8
7637,r008,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Temporary visa holder,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Temporary visa holder,,3,31.8,19.3,18.0,58.7,23.9,17.5,15.7,26.6
7637,r009,All doctorate recipients (number)<sup>a</sup> -> Citizenship status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Citizenship status (%),Unknown,,3,5.2,4.9,8.1,5.8,6.4,3.3,3.1,4.6
7637,r010,All doctorate recipients (number)<sup>a</sup> -> Marital status (%),All doctorate recipients (number)<sup>a</sup>,Marital status (%),,,2,,,,,,,,
7637,r011,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Never married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Never married,,3,30.6,28.4,29.0,35.5,30.5,24.3,28.7,29.5
7637,r012,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Married,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Married,,3,43.4,41.8,39.2,40.6,40.8,50.4,45.5,46.6
7637,r013,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Marriage-like relationship,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Marriage-like relationship,,3,11.3,14.7,11.0,10.8,12.7,9.5,11.9,10.5
7637,r014,"All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Separated, divorced, widowed",All doctorate recipients (number)<sup>a</sup>,Marital status (%),"Separated, divorced, widowed",,3,4.5,7.0,7.3,1.7,2.6,7.0,5.9,5.4
7637,r015,All doctorate recipients (number)<sup>a</sup> -> Marital status (%) -> Unknown,All doctorate recipients (number)<sup>a</sup>,Marital status (%),Unknown,,3,10.1,8.2,13.6,11.3,13.4,8.8,8.0,8.0
7637,r016,All doctorate recipients (number)<sup>a</sup> -> Has dependent age 18 or younger (%),All doctorate recipients (number)<sup>a</sup>,Has dependent age 18 or younger (%),,,2,24.1,20.8,26.4,19.5,21.0,37.2,24.4,26.6
7637,r017,All doctorate recipients (number)<sup>a</sup> -> Has one or more functional limitations (%),All doctorate recipients (number)<sup>a</sup>,Has one or more functional limitations (%),,,2,13.2,15.6,17.1,9.0,13.6,12.4,15.2,14.9
7637,r018,All doctorate recipients (number)<sup>a</sup> -> Age at doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Age at doctorate (median years),,,2,33.1,34.3,34.7,31.3,32.1,35.9,33.8,34.0
7637,r019,All doctorate recipients (number)<sup>a</sup> -> Bachelor's in same field as doctorate (%)<sup>b</sup>,All doctorate recipients (number)<sup>a</sup>,Bachelor's in same field as doctorate (%)<sup>b</sup>,,,2,56.2,61.2,27.8,65.6,72.0,39.5,64.2,46.8
7637,r020,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),,,2,90.0,88.8,91.6,85.8,87.9,90.5,94.9,93.2
7637,r021,All doctorate recipients (number)<sup>a</sup> -> Master's earned (%) -> Master's earned at same doctorate institution (%),All doctorate recipients (number)<sup>a</sup>,Master's earned (%),Master's earned at same doctorate institution (%),,3,47.1,57.7,44.3,45.3,56.2,29.0,58.6,42.4
7637,r022,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years),All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),,,2,,,,,,,,
7637,r023,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> Years since earning bachelor's degree,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),Years since earning bachelor's degree,,3,10.0,11.3,11.5,8.7,9.3,13.0,10.4,10.6
7637,r024,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From graduate school start,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From graduate school start,,3,8.4,9.3,9.8,7.7,7.9,10.8,8.8,8.8
7637,r025,All doctorate recipients (number)<sup>a</sup> -> Time to doctorate (median years) -> From doctoral program start<sup>c</sup>,All doctorate recipients (number)<sup>a</sup>,Time to doctorate (median years),From doctoral program start<sup>c</sup>,,3,6.0,7.3,6.8,5.8,6.0,5.7,6.7,6.0
