table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_employees_total,field_worldwide_employees_r_d,field_worldwide_employees_r_d_employees,field_domestic_employees_total,field_domestic_employees_r_d,field_domestic_employees_r_d_employees,field_foreign_employees_total,field_foreign_employees_r_d,field_foreign_employees_r_d_employees
766,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['29,240', '&nbsp;']","['2,178', '&nbsp;']","['7.4', '&nbsp;']","['18,915', '&nbsp;']","['1,543', '&nbsp;']","['8.2', '&nbsp;']","['10,325', '&nbsp;']","['635', '&nbsp;']","['6.2', '&nbsp;']"
766,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['17,531', '&nbsp;']","['1,308', '&nbsp;']","['7.5', '&nbsp;']","['10,151', '&nbsp;']","['916', '&nbsp;']","['9.0', '&nbsp;']","['7,381', '&nbsp;']","['392', '&nbsp;']","['5.3', '&nbsp;']"
766,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,634', '&nbsp;']","['40', '&nbsp;']","['2.4', '&nbsp;']","['1,099', '&nbsp;']","['24', '&nbsp;']","['2.2', '&nbsp;']","['536', '&nbsp;']","['15', '&nbsp;']","['2.9', '&nbsp;']"
766,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['973', '&nbsp;']","['7', '&nbsp;']","['0.8', '&nbsp;']","['435', '&nbsp;']","['4', '&nbsp;']","['1.0', '&nbsp;']","['538', '&nbsp;']","['3', '&nbsp;']","['0.6', '&nbsp;']"
766,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['360', '&nbsp;']","['8', '&nbsp;']","['2.2', '&nbsp;']","['225', '&nbsp;']","['7', '&nbsp;']","['3.3', '&nbsp;']","['135', 'i']","['1', '&nbsp;']","['0.5', '&nbsp;']"
766,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['99', '&nbsp;']","['2', '&nbsp;']","['2.1', '&nbsp;']","['83', '&nbsp;']","['2', '&nbsp;']","['2.4', '&nbsp;']","['16', '&nbsp;']","['*', '&nbsp;']","['0.4', '&nbsp;']"
766,r007,All industries -> Manufacturing industries -> Paper ,All industries,Manufacturing industries,Paper ,,,3,322,"['308', '&nbsp;']","['7', '&nbsp;']","['2.2', '&nbsp;']","['164', '&nbsp;']","['5', '&nbsp;']","['3.2', '&nbsp;']","['144', '&nbsp;']","['2', '&nbsp;']","['1.1', '&nbsp;']"
766,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['243', '&nbsp;']","['4', '&nbsp;']","['1.4', '&nbsp;']","['178', '&nbsp;']","['3', '&nbsp;']","['1.9', '&nbsp;']","['65', '&nbsp;']","['*', '&nbsp;']","['0.2', '&nbsp;']"
766,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['47', '&nbsp;']","['2', '&nbsp;']","['4.3', '&nbsp;']","['41', '&nbsp;']","['2', '&nbsp;']","['3.8', '&nbsp;']","['7', '&nbsp;']","['*', '&nbsp;']","['6.9', '&nbsp;']"
766,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,487', '&nbsp;']","['231', '&nbsp;']","['9.3', '&nbsp;']","['1,373', '&nbsp;']","['167', '&nbsp;']","['12.2', '&nbsp;']","['1,114', '&nbsp;']","['64', '&nbsp;']","['5.7', '&nbsp;']"
766,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['361', '&nbsp;']","['20', '&nbsp;']","['5.5', '&nbsp;']","['239', '&nbsp;']","['14', '&nbsp;']","['6.0', '&nbsp;']","['122', '&nbsp;']","['6', '&nbsp;']","['4.6', '&nbsp;']"
766,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['262', '&nbsp;']","['11', '&nbsp;']","['4.3', '&nbsp;']","['144', '&nbsp;']","['7', '&nbsp;']","['4.8', '&nbsp;']","['118', '&nbsp;']","['4', '&nbsp;']","['3.7', '&nbsp;']"
766,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals ",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals ",,4,3253,"['119', '&nbsp;']","['14', '&nbsp;']","['11.8', '&nbsp;']","['70', '&nbsp;']","['9', '&nbsp;']","['13.5', '&nbsp;']","['49', '&nbsp;']","['5', '&nbsp;']","['9.4', '&nbsp;']"
766,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,097', '&nbsp;']","['161', '&nbsp;']","['14.7', '&nbsp;']","['553', '&nbsp;']","['120', '&nbsp;']","['21.6', '&nbsp;']","['544', '&nbsp;']","['41', '&nbsp;']","['7.6', '&nbsp;']"
766,r015,"All industries -> Manufacturing industries -> Chemicals -> Soaps, cleaning compounds, and toilet preparations",All industries,Manufacturing industries,Chemicals,"Soaps, cleaning compounds, and toilet preparations",,4,3256,"['370', '&nbsp;']","['9', '&nbsp;']","['2.5', '&nbsp;']","['210', '&nbsp;']","['7', '&nbsp;']","['3.5', '&nbsp;']","['160', '&nbsp;']","['2', '&nbsp;']","['1.1', '&nbsp;']"
766,r016,"All industries -> Manufacturing industries -> Chemicals -> Paints, coatings, adhesives, and other chemicals ",All industries,Manufacturing industries,Chemicals,"Paints, coatings, adhesives, and other chemicals ",,4,"3255, 3259","['278', '&nbsp;']","['16', '&nbsp;']","['5.6', '&nbsp;']","['157', '&nbsp;']","['10', '&nbsp;']","['6.1', '&nbsp;']","['120', '&nbsp;']","['6', '&nbsp;']","['4.9', '&nbsp;']"
766,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['662', '&nbsp;']","['27', '&nbsp;']","['4.2', '&nbsp;']","['496', '&nbsp;']","['24', '&nbsp;']","['4.9', '&nbsp;']","['166', '&nbsp;']","['3', '&nbsp;']","['1.9', '&nbsp;']"
766,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['235', '&nbsp;']","['8', '&nbsp;']","['3.6', '&nbsp;']","['156', '&nbsp;']","['7', '&nbsp;']","['4.7', '&nbsp;']","['79', '&nbsp;']","['1', '&nbsp;']","['1.3', '&nbsp;']"
766,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['282', '&nbsp;']","['7', '&nbsp;']","['2.5', '&nbsp;']","['204', '&nbsp;']","['6', '&nbsp;']","['3.0', '&nbsp;']","['78', '&nbsp;']","['1', '&nbsp;']","['1.2', '&nbsp;']"
766,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['677', '&nbsp;']","['39', '&nbsp;']","['5.7', '&nbsp;']","['522', '&nbsp;']","['36', '&nbsp;']","['7.0', '&nbsp;']","['155', '&nbsp;']","['2', '&nbsp;']","['1.5', '&nbsp;']"
766,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,648', '&nbsp;']","['114', '&nbsp;']","['6.9', '&nbsp;']","['989', '&nbsp;']","['82', '&nbsp;']","['8.3', '&nbsp;']","['658', '&nbsp;']","['31', '&nbsp;']","['4.8', '&nbsp;']"
766,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implements ,All industries,Manufacturing industries,Machinery,Agricultural implements ,,4,33311,"['158', '&nbsp;']","['15', '&nbsp;']","['9.3', '&nbsp;']","['99', '&nbsp;']","['9', '&nbsp;']","['9.3', '&nbsp;']","['59', '&nbsp;']","['5', '&nbsp;']","['9.3', '&nbsp;']"
766,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery ,All industries,Manufacturing industries,Machinery,Semiconductor machinery ,,4,333242,"['47', '&nbsp;']","['13', '&nbsp;']","['26.9', '&nbsp;']","['28', '&nbsp;']","['9', '&nbsp;']","['34.0', '&nbsp;']","['19', '&nbsp;']","['3', '&nbsp;']","['16.7', '&nbsp;']"
766,r024,"All industries -> Manufacturing industries -> Machinery -> Engines, turbines, and power transmission equipment ",All industries,Manufacturing industries,Machinery,"Engines, turbines, and power transmission equipment ",,4,3336,"['197', '&nbsp;']","['15', '&nbsp;']","['7.5', '&nbsp;']","['115', '&nbsp;']","['10', '&nbsp;']","['8.5', '&nbsp;']","['82', '&nbsp;']","['5', '&nbsp;']","['6.0', '&nbsp;']"
766,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery ,All industries,Manufacturing industries,Machinery,Other machinery ,,4,other 333,"['1,246', '&nbsp;']","['72', '&nbsp;']","['5.7', '&nbsp;']","['748', '&nbsp;']","['54', '&nbsp;']","['7.2', '&nbsp;']","['498', '&nbsp;']","['18', '&nbsp;']","['3.6', '&nbsp;']"
766,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,863', '&nbsp;']","['415', '&nbsp;']","['14.5', '&nbsp;']","['1,355', '&nbsp;']","['263', '&nbsp;']","['19.4', '&nbsp;']","['1,508', '&nbsp;']","['152', '&nbsp;']","['10.1', '&nbsp;']"
766,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['381', '&nbsp;']","['90', '&nbsp;']","['23.5', '&nbsp;']","['237', '&nbsp;']","['58', '&nbsp;']","['24.3', '&nbsp;']","['144', '&nbsp;']","['32', '&nbsp;']","['22.2', '&nbsp;']"
766,r028,All industries -> Manufacturing industries -> Computer and electronic products -> Semiconductors and other electronic components,All industries,Manufacturing industries,Computer and electronic products,Semiconductors and other electronic components,,4,3344,"['911', '&nbsp;']","['157', '&nbsp;']","['17.2', '&nbsp;']","['411', '&nbsp;']","['97', '&nbsp;']","['23.5', '&nbsp;']","['500', '&nbsp;']","['60', '&nbsp;']","['12.0', '&nbsp;']"
766,r029,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",,4,3345,"['850', '&nbsp;']","['92', '&nbsp;']","['10.9', '&nbsp;']","['476', '&nbsp;']","['66', '&nbsp;']","['14.0', '&nbsp;']","['374', '&nbsp;']","['26', '&nbsp;']","['6.9', '&nbsp;']"
766,r030,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Electromedical, electrotherapeutic, and irradiation apparatuses ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Electromedical, electrotherapeutic, and irradiation apparatuses ",5,"334510, 334517","['144', '&nbsp;']","['20', '&nbsp;']","['14.0', '&nbsp;']","['78', '&nbsp;']","['14', '&nbsp;']","['17.8', '&nbsp;']","['66', '&nbsp;']","['6', '&nbsp;']","['9.6', '&nbsp;']"
766,r031,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments","Search, detection, navigation, guidance, aeronautical, and nautical systems and instruments ",5,334511,"['287', '&nbsp;']","['33', '&nbsp;']","['11.5', '&nbsp;']","['206', '&nbsp;']","['29', '&nbsp;']","['14.1', '&nbsp;']","['80', '&nbsp;']","['4', '&nbsp;']","['4.7', '&nbsp;']"
766,r032,"All industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments -> Other measuring and controlling devices ",All industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",Other measuring and controlling devices ,5,other 3345,"['419', '&nbsp;']","['39', '&nbsp;']","['9.3', '&nbsp;']","['192', '&nbsp;']","['23', '&nbsp;']","['12.2', '&nbsp;']","['227', '&nbsp;']","['16', '&nbsp;']","['6.9', '&nbsp;']"
766,r033,All industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,,4,other 334,"['720', '&nbsp;']","['77', '&nbsp;']","['10.6', '&nbsp;']","['231', '&nbsp;']","['42', '&nbsp;']","['18.3', '&nbsp;']","['489', '&nbsp;']","['34', '&nbsp;']","['7.0', '&nbsp;']"
766,r034,"All industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All industries,Manufacturing industries,"Electrical equipment, appliances, and components",,,3,335,"['774', '&nbsp;']","['53', '&nbsp;']","['6.8', '&nbsp;']","['330', '&nbsp;']","['28', '&nbsp;']","['8.6', '&nbsp;']","['444', '&nbsp;']","['24', '&nbsp;']","['5.5', '&nbsp;']"
766,r035,All industries -> Manufacturing industries -> Transportation equipment,All industries,Manufacturing industries,Transportation equipment,,,3,336,"['3,045', '&nbsp;']","['255', '&nbsp;']","['8.4', '&nbsp;']","['1,754', '&nbsp;']","['185', '&nbsp;']","['10.5', '&nbsp;']","['1,291', '&nbsp;']","['70', '&nbsp;']","['5.4', '&nbsp;']"
766,r036,"All industries -> Manufacturing industries -> Transportation equipment -> Automobiles, bodies, trailers, and parts",All industries,Manufacturing industries,Transportation equipment,"Automobiles, bodies, trailers, and parts",,4,3361–63,"['1,932', '&nbsp;']","['148', '&nbsp;']","['7.6', '&nbsp;']","['899', '&nbsp;']","['101', '&nbsp;']","['11.3', '&nbsp;']","['1,033', '&nbsp;']","['46', '&nbsp;']","['4.5', '&nbsp;']"
766,r037,All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,,4,3364,"['882', '&nbsp;']","['93', '&nbsp;']","['10.5', '&nbsp;']","['671', '&nbsp;']","['70', '&nbsp;']","['10.5', '&nbsp;']","['211', '&nbsp;']","['23', '&nbsp;']","['10.7', '&nbsp;']"
766,r038,"All industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts -> Aircraft, aircraft engines, and aircraft parts ",All industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,"Aircraft, aircraft engines, and aircraft parts ",5,336411–13,"['850', '&nbsp;']","['81', '&nbsp;']","['9.5', '&nbsp;']","['639', '&nbsp;']","['58', '&nbsp;']","['9.1', '&nbsp;']","['210', '&nbsp;']","['23', '&nbsp;']","['10.7', '&nbsp;']"
