table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_worldwide_total,field_worldwide_male,field_worldwide_female,field_domestic_total,field_domestic_male,field_domestic_female,field_foreign_total,field_foreign_male,field_foreign_female
768,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['2,178', '&nbsp;']","['1,610', '&nbsp;']","['568', '&nbsp;']","['1,543', '&nbsp;']","['1,155', '&nbsp;']","['389', '&nbsp;']","['635', '&nbsp;']","['456', '&nbsp;']","['179', '&nbsp;']"
768,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['1,308', '&nbsp;']","['998', '&nbsp;']","['309', '&nbsp;']","['916', '&nbsp;']","['706', '&nbsp;']","['210', '&nbsp;']","['392', '&nbsp;']","['292', '&nbsp;']","['99', '&nbsp;']"
768,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['40', '&nbsp;']","['23', 'i']","['17', 'i']","['24', '&nbsp;']","['14', 'i']","['10', '&nbsp;']","['15', '&nbsp;']","['9', 'i']","['7', 'i']"
768,r004,All industries -> Manufacturing industries -> Beverages and tobacco products,All industries,Manufacturing industries,Beverages and tobacco products,,,3,312,"['7', '&nbsp;']","['4', '&nbsp;']","['3', '&nbsp;']","['4', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']"
768,r005,"All industries -> Manufacturing industries -> Textiles, apparel, and leather products",All industries,Manufacturing industries,"Textiles, apparel, and leather products",,,3,313–16,"['8', '&nbsp;']","['5', '&nbsp;']","['3', '&nbsp;']","['7', '&nbsp;']","['5', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
768,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['2', '&nbsp;']","['2', 'i']","['*', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
768,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['7', '&nbsp;']","['5', 'i']","['2', '&nbsp;']","['5', '&nbsp;']","['4', 'i']","['1', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['1', 'i']"
768,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['4', '&nbsp;']","['3', 'i']","['1', 'i']","['3', '&nbsp;']","['3', 'i']","['1', 'i']","['*', '&nbsp;']","['*', 'i']","['*', 'i']"
768,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['2', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']","['*', '&nbsp;']"
768,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['231', '&nbsp;']","['128', '&nbsp;']","['103', '&nbsp;']","['167', '&nbsp;']","['95', '&nbsp;']","['73', '&nbsp;']","['64', '&nbsp;']","['34', '&nbsp;']","['30', '&nbsp;']"
768,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['20', '&nbsp;']","['14', '&nbsp;']","['6', '&nbsp;']","['14', '&nbsp;']","['10', '&nbsp;']","['4', '&nbsp;']","['6', '&nbsp;']","['4', '&nbsp;']","['2', '&nbsp;']"
768,r012,"All industries -> Manufacturing industries -> Chemicals -> Resins, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resins, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['11', '&nbsp;']","['9', '&nbsp;']","['2', '&nbsp;']","['7', '&nbsp;']","['6', '&nbsp;']","['1', '&nbsp;']","['4', '&nbsp;']","['4', '&nbsp;']","['1', '&nbsp;']"
768,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticides, fertilizers, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticides, fertilizers, and other agricultural chemicals",,4,3253,"['14', '&nbsp;']","['9', '&nbsp;']","['5', '&nbsp;']","['9', '&nbsp;']","['6', '&nbsp;']","['3', '&nbsp;']","['5', '&nbsp;']","['3', '&nbsp;']","['2', '&nbsp;']"
