table_id,row_id,sex_occupation_and_job_satisfaction_full_path,sex_occupation_and_job_satisfaction_level_1,sex_occupation_and_job_satisfaction_level_2,sex_occupation_and_job_satisfaction_level_3,sex_occupation_and_job_satisfaction_level_4,sex_occupation_and_job_satisfaction_level_5,sex_occupation_and_job_satisfaction_hierarchy_depth,field_total,field_years_since_highest_degree_5,field_years_since_highest_degree_5_9,field_years_since_highest_degree_10_14,field_years_since_highest_degree_15_19,field_years_since_highest_degree_20_24,field_years_since_highest_degree_25_29,field_years_since_highest_degree_30_34,field_years_since_highest_degree_35
7775,r001,All sexes,All sexes,,,,,1,51764000,8005000,9950000,7972000,6358000,5154000,4472000,3535000,6318000
7775,r002,All sexes -> Very satisfied,All sexes,Very satisfied,,,,2,22804000,2950000,3904000,3344000,2749000,2441000,2136000,1749000,3531000
7775,r003,All sexes -> Somewhat satisfied,All sexes,Somewhat satisfied,,,,2,23329000,3755000,4720000,3643000,3036000,2343000,1981000,1464000,2388000
7775,r004,All sexes -> Somewhat dissatisfied,All sexes,Somewhat dissatisfied,,,,2,4394000,1006000,1011000,767000,447000,289000,304000,260000,310000
7775,r005,All sexes -> Very dissatisfied,All sexes,Very dissatisfied,,,,2,1236000,295000,315000,217000,125000,81000,52000,61000,89000
7775,r006,All sexes -> S&E occupations,All sexes,S&E occupations,,,,2,7894000,1564000,1734000,1198000,911000,777000,596000,491000,623000
7775,r007,All sexes -> S&E occupations -> Very satisfied,All sexes,S&E occupations,Very satisfied,,,3,3493000,616000,733000,501000,417000,359000,267000,261000,338000
7775,r008,All sexes -> S&E occupations -> Somewhat satisfied,All sexes,S&E occupations,Somewhat satisfied,,,3,3651000,754000,807000,573000,426000,361000,278000,199000,253000
7775,r009,All sexes -> S&E occupations -> Somewhat dissatisfied,All sexes,S&E occupations,Somewhat dissatisfied,,,3,617000,155000,147000,105000,61000,49000,43000,28000,27000
7775,r010,All sexes -> S&E occupations -> Very dissatisfied,All sexes,S&E occupations,Very dissatisfied,,,3,133000,38000,47000,19000,6000,8000,7000,S,4000
7775,r011,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",,,3,794000,192000,195000,109000,71000,84000,42000,42000,59000
7775,r012,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very satisfied,,4,346000,83000,74000,43000,26000,41000,18000,24000,37000
7775,r013,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat satisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat satisfied,,4,371000,89000,99000,52000,41000,37000,20000,14000,19000
7775,r014,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Somewhat dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Somewhat dissatisfied,,4,65000,15000,18000,13000,4000,6000,4000,3000,2000
7775,r015,"All sexes -> S&E occupations -> Biological, agricultural, and other life scientists -> Very dissatisfied",All sexes,S&E occupations,"Biological, agricultural, and other life scientists",Very dissatisfied,,4,12000,5000,4000,1000,1000,,,,
