table_id,row_id,_span_ng_bind_html_hcol_content_occupation_labor_force_status_and_labor_force_status_characteristics_span_full_path,_span_ng_bind_html_hcol_content_occupation_labor_force_status_and_labor_force_status_characteristics_span_level_1,_span_ng_bind_html_hcol_content_occupation_labor_force_status_and_labor_force_status_characteristics_span_level_2,_span_ng_bind_html_hcol_content_occupation_labor_force_status_and_labor_force_status_characteristics_span_level_3,_span_ng_bind_html_hcol_content_occupation_labor_force_status_and_labor_force_status_characteristics_span_level_4,_span_ng_bind_html_hcol_content_occupation_labor_force_status_and_labor_force_status_characteristics_span_level_5,_span_ng_bind_html_hcol_content_occupation_labor_force_status_and_labor_force_status_characteristics_span_hierarchy_depth,field_total,field_female,field_male,field_hispanic_or_latino,field_not_hispanic_or_latino_american_indian_or_alaska_native,field_not_hispanic_or_latino_asian,field_not_hispanic_or_latino_black_or_african_american,field_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander,field_not_hispanic_or_latino_white,field_not_hispanic_or_latino_more_than_one_race,field_without_disability,field_with_disability
7780,r001,All occupations,All occupations,,,,,1,67925000,35839000,32086000,6532000,188000,6721000,5260000,162000,47485000,1576000,57934000,9991000
7780,r002,All occupations -> Full-time employment status,All occupations,Full-time employment status,,,,2,44153000,21594000,22559000,4608000,107000,4772000,3618000,128000,29833000,1087000,39002000,5151000
7780,r003,All occupations -> Part-time employment status,All occupations,Part-time employment status,,,,2,7611000,4899000,2711000,699000,19000,703000,491000,7000,5540000,151000,6424000,1187000
7780,r004,All occupations -> Preference for full-time status,All occupations,Preference for full-time status,,,,2,,,,,,,,,,,,
7780,r005,All occupations -> Preference for full-time status -> Did not want full-time employment,All occupations,Preference for full-time status,Did not want full-time employment,,,3,5874000,3855000,2019000,419000,15000,473000,279000,6000,4570000,112000,5011000,863000
7780,r006,All occupations -> Preference for full-time status -> Wanted full-time employment,All occupations,Preference for full-time status,Wanted full-time employment,,,3,1737000,1044000,693000,280000,5000,230000,212000,2000,969000,39000,1413000,324000
7780,r007,All occupations -> Reason for part-time status,All occupations,Reason for part-time status,,,,2,,,,,,,,,,,,
7780,r008,All occupations -> Reason for part-time status -> Reason worked part time: did not need or want to work more hours,All occupations,Reason for part-time status,Reason worked part time: did not need or want to work more hours,,,3,3308000,2263000,1046000,199000,S,202000,134000,,2679000,83000,2828000,481000
7780,r009,All occupations -> Reason for part-time status -> Reason worked part time: family responsibilities,All occupations,Reason for part-time status,Reason worked part time: family responsibilities,,,3,2493000,1942000,551000,260000,S,264000,143000,S,1772000,43000,2191000,302000
7780,r010,All occupations -> Reason for part-time status -> Reason worked part time: family responsibilities -> Due to the coronavirus pandemic only,All occupations,Reason for part-time status,Reason worked part time: family responsibilities,Due to the coronavirus pandemic only,,4,454000,331000,123000,99000,,50000,30000,S,269000,5000,407000,47000
7780,r011,All occupations -> Reason for part-time status -> Reason worked part time: family responsibilities -> Unrelated to the coronavirus pandemic only,All occupations,Reason for part-time status,Reason worked part time: family responsibilities,Unrelated to the coronavirus pandemic only,,4,1184000,960000,224000,72000,,114000,60000,,918000,19000,1048000,136000
7780,r012,All occupations -> Reason for part-time status -> Reason worked part time: full-time job not available,All occupations,Reason for part-time status,Reason worked part time: full-time job not available,,,3,1611000,1037000,574000,206000,10000,164000,140000,1000,1047000,44000,1337000,274000
7780,r013,All occupations -> Reason for part-time status -> Reason worked part time: full-time job not available -> Due to the coronavirus pandemic only,All occupations,Reason for part-time status,Reason worked part time: full-time job not available,Due to the coronavirus pandemic only,,4,581000,333000,249000,80000,S,70000,72000,S,328000,28000,497000,84000
7780,r014,All occupations -> Reason for part-time status -> Reason worked part time: full-time job not available -> Unrelated to the coronavirus pandemic only,All occupations,Reason for part-time status,Reason worked part time: full-time job not available,Unrelated to the coronavirus pandemic only,,4,807000,555000,252000,105000,S,73000,53000,,558000,12000,663000,144000
