table_id,row_id,nativity_level_of_highest_degree_and_occupation_full_path,nativity_level_of_highest_degree_and_occupation_level_1,nativity_level_of_highest_degree_and_occupation_level_2,nativity_level_of_highest_degree_and_occupation_level_3,nativity_level_of_highest_degree_and_occupation_level_4,nativity_level_of_highest_degree_and_occupation_level_5,nativity_level_of_highest_degree_and_occupation_hierarchy_depth,field_total,field_business_or_industry,field_4_year_educational_institutiona,field_2_year_college_or_precollege_educational_institution,field_governmentb
7782,r001,"All college graduates, all degrees, all occupations","All college graduates, all degrees, all occupations",,,,,1,51764000,36346000,3342000,6637000,5439000
7782,r002,"All college graduates, all degrees, all occupations -> S&E occupations","All college graduates, all degrees, all occupations",S&E occupations,,,,2,7894000,5804000,1047000,206000,836000
7782,r003,"All college graduates, all degrees, all occupations -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",S&E occupations,"Biological, agricultural, and other life scientists",,,3,794000,345000,298000,25000,126000
7782,r004,"All college graduates, all degrees, all occupations -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",S&E occupations,Computer and mathematical scientists,,,3,4031000,3432000,236000,95000,268000
7782,r005,"All college graduates, all degrees, all occupations -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",S&E occupations,Physical and related scientists,,,3,408000,169000,130000,10000,99000
7782,r006,"All college graduates, all degrees, all occupations -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",S&E occupations,Social and related scientists,,,3,712000,257000,270000,71000,114000
7782,r007,"All college graduates, all degrees, all occupations -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",S&E occupations,Engineers,,,3,1949000,1600000,114000,5000,229000
7782,r008,"All college graduates, all degrees, all occupations -> S&E-related occupations","All college graduates, all degrees, all occupations",S&E-related occupations,,,,2,9522000,6903000,724000,1159000,736000
7782,r009,"All college graduates, all degrees, all occupations -> Non-S&E occupations","All college graduates, all degrees, all occupations",Non-S&E occupations,,,,2,34349000,23640000,1570000,5272000,3867000
7782,r010,"All college graduates, all degrees, all occupations -> Bachelor's","All college graduates, all degrees, all occupations",Bachelor's,,,,2,31688000,24232000,1161000,3044000,3252000
7782,r011,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,,,3,4438000,3635000,293000,66000,444000
7782,r012,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,"Biological, agricultural, and other life scientists",,4,295000,147000,88000,2000,57000
7782,r013,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Computer and mathematical scientists,,4,2574000,2278000,88000,48000,159000
7782,r014,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Physical and related scientists,,4,177000,87000,33000,S,53000
7782,r015,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Social and related scientists,,4,170000,74000,54000,9000,33000
7782,r016,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",Bachelor's,S&E occupations,Engineers,,4,1222000,1049000,30000,2000,141000
7782,r017,"All college graduates, all degrees, all occupations -> Bachelor's -> S&E-related occupations","All college graduates, all degrees, all occupations",Bachelor's,S&E-related occupations,,,3,5031000,3901000,252000,497000,382000
7782,r018,"All college graduates, all degrees, all occupations -> Bachelor's -> Non-S&E occupations","All college graduates, all degrees, all occupations",Bachelor's,Non-S&E occupations,,,3,22219000,16696000,615000,2481000,2426000
7782,r019,"All college graduates, all degrees, all occupations -> Master's","All college graduates, all degrees, all occupations",Master's,,,,2,14688000,8660000,1092000,3354000,1582000
7782,r020,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations","All college graduates, all degrees, all occupations",Master's,S&E occupations,,,3,2411000,1712000,300000,106000,293000
7782,r021,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Biological, agricultural, and other life scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,"Biological, agricultural, and other life scientists",,4,188000,81000,55000,14000,39000
7782,r022,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Computer and mathematical scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,Computer and mathematical scientists,,4,1251000,1023000,86000,43000,100000
7782,r023,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Physical and related scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,Physical and related scientists,,4,105000,44000,33000,4000,24000
7782,r024,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Social and related scientists","All college graduates, all degrees, all occupations",Master's,S&E occupations,Social and related scientists,,4,283000,96000,89000,44000,53000
7782,r025,"All college graduates, all degrees, all occupations -> Master's -> S&E occupations -> Engineers","All college graduates, all degrees, all occupations",Master's,S&E occupations,Engineers,,4,584000,468000,37000,2000,77000
7782,r026,"All college graduates, all degrees, all occupations -> Master's -> S&E-related occupations","All college graduates, all degrees, all occupations",Master's,S&E-related occupations,,,3,2578000,1556000,163000,619000,239000
7782,r027,"All college graduates, all degrees, all occupations -> Master's -> Non-S&E occupations","All college graduates, all degrees, all occupations",Master's,Non-S&E occupations,,,3,9699000,5391000,629000,2630000,1049000
7782,r028,"All college graduates, all degrees, all occupations -> Doctorate","All college graduates, all degrees, all occupations",Doctorate,,,,2,2141000,995000,808000,173000,165000
7782,r029,"All college graduates, all degrees, all occupations -> Doctorate -> S&E occupations","All college graduates, all degrees, all occupations",Doctorate,S&E occupations,,,3,962000,410000,436000,31000,86000
