table_id,row_id,time_period,broad_occupation_level_1,broad_occupation_level_2,broad_occupation_hierarchy_depth,value
7789,r001_1,1,Broad occupation,Label,2,S&E occupations
7789,r001_2,1,Major occupation,Code,2,1
7789,r001_3,1,Major occupation,Label,2,Computer and mathematical scientists
7789,r001_4,1,Minor occupation,Code,2,11
7789,r001_5,1,Minor occupation,Label,2,Computer and information scientists
7789,r001_6,1,Detailed occupation,Code,2,110510
7789,r001_7,1,Detailed occupation,Label,2,"Computer and information scientists, research"
7789,r002_6,,Detailed occupation,Code,2,110520
7789,r002_7,,Detailed occupation,Label,2,Computer network architect
7789,r003_6,,Detailed occupation,Code,2,110540
7789,r003_7,,Detailed occupation,Label,2,Computer support specialists
7789,r004_6,,Detailed occupation,Code,2,110550
7789,r004_7,,Detailed occupation,Label,2,Computer system analysts
7789,r005_6,,Detailed occupation,Code,2,110560
7789,r005_7,,Detailed occupation,Label,2,Database administrators
7789,r006_6,,Detailed occupation,Code,2,110570
7789,r006_7,,Detailed occupation,Label,2,Information security analysts
7789,r007_6,,Detailed occupation,Code,2,110580
7789,r007_7,,Detailed occupation,Label,2,Network and computer systems administrators
7789,r008_6,,Detailed occupation,Code,2,110590
7789,r008_7,,Detailed occupation,Label,2,Software developers -- applications and systems software
7789,r009_6,,Detailed occupation,Code,2,110600
7789,r009_7,,Detailed occupation,Label,2,Web developers
7789,r010_6,,Detailed occupation,Code,2,110610
7789,r010_7,,Detailed occupation,Label,2,Other computer and information science occupations
7789,r011_6,,Detailed occupation,Code,2,110880
7789,r011_7,,Detailed occupation,Label,2,"Computer engineers, software"
7789,r012_4,,Minor occupation,Code,2,12
7789,r012_5,,Minor occupation,Label,2,Mathematical scientists
7789,r012_6,,Detailed occupation,Code,2,121720
7789,r012_7,,Detailed occupation,Label,2,Mathematicians
7789,r013_6,,Detailed occupation,Code,2,121730
7789,r013_7,,Detailed occupation,Label,2,"Operations research analysts, including modeling"
7789,r014_6,,Detailed occupation,Code,2,121740
7789,r014_7,,Detailed occupation,Label,2,Statisticians
7789,r015_6,,Detailed occupation,Code,2,121760
