table_id,row_id,time_period,calendar_year_prior_to_survey_reference_year_level_1,calendar_year_prior_to_survey_reference_year_level_2,calendar_year_prior_to_survey_reference_year_hierarchy_depth,value
7804,r001_1,Full-time workers in survey reference year who worked at all in given calendar year,Calendar year prior to survey reference year,2014,2,76700
7804,r001_2,Full-time workers in survey reference year who worked at all in given calendar year,Calendar year prior to survey reference year,2016,2,79000
7804,r001_3,Full-time workers in survey reference year who worked at all in given calendar year,Calendar year prior to survey reference year,2018,2,78800
7804,r001_4,Full-time workers in survey reference year who worked at all in given calendar year,Calendar year prior to survey reference year,2020,2,78500
7804,r002_1,Total population in survey reference year who worked at all in given calendar year,Calendar year prior to survey reference year,2014,2,66400
7804,r002_2,Total population in survey reference year who worked at all in given calendar year,Calendar year prior to survey reference year,2016,2,68900
7804,r002_3,Total population in survey reference year who worked at all in given calendar year,Calendar year prior to survey reference year,2018,2,70100
7804,r002_4,Total population in survey reference year who worked at all in given calendar year,Calendar year prior to survey reference year,2020,2,68100
7804,r003_1,"Total population in survey reference year, regardless of whether they worked in given calendar year",Calendar year prior to survey reference year,2014,2,57200
7804,r003_2,"Total population in survey reference year, regardless of whether they worked in given calendar year",Calendar year prior to survey reference year,2016,2,57600
7804,r003_3,"Total population in survey reference year, regardless of whether they worked in given calendar year",Calendar year prior to survey reference year,2018,2,58300
7804,r003_4,"Total population in survey reference year, regardless of whether they worked in given calendar year",Calendar year prior to survey reference year,2020,2,54400
