table_id,row_id,time_period,column_level_1,column_level_2,column_hierarchy_depth,value
7866,r001,FYs 1986&#8211;87,All sources,,1,2050.6
7866,r002,FYs 1986&#8211;87,Government,Federal,2,145.4
7866,r003,FYs 1986&#8211;87,Government,State and local,2,779.1
7866,r004,FYs 1986&#8211;87,Institutional funds and other sourcesa,,1,1126.1
7866,r005,FYs 1986&#8211;87 -> Doctorate granting,All sources,,1,1887.7
7866,r006,FYs 1986&#8211;87 -> Doctorate granting,Government,Federal,2,129.9
7866,r007,FYs 1986&#8211;87 -> Doctorate granting,Government,State and local,2,690.4
7866,r008,FYs 1986&#8211;87 -> Doctorate granting,Institutional funds and other sourcesa,,1,1067.4
7866,r009,FYs 1986&#8211;87 -> Nondoctorate granting,All sources,,1,162.9
7866,r010,FYs 1986&#8211;87 -> Nondoctorate granting,Government,Federal,2,15.5
7866,r011,FYs 1986&#8211;87 -> Nondoctorate granting,Government,State and local,2,88.7
7866,r012,FYs 1986&#8211;87 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,58.7
7866,r013,FYs 1988&#8211;89,All sources,,1,2464.5
7866,r014,FYs 1988&#8211;89,Government,Federal,2,352.0
7866,r015,FYs 1988&#8211;89,Government,State and local,2,890.7
7866,r016,FYs 1988&#8211;89,Institutional funds and other sourcesa,,1,1221.8
7866,r017,FYs 1988&#8211;89 -> Doctorate granting,All sources,,1,2315.0
7866,r018,FYs 1988&#8211;89 -> Doctorate granting,Government,Federal,2,339.0
7866,r019,FYs 1988&#8211;89 -> Doctorate granting,Government,State and local,2,807.3
7866,r020,FYs 1988&#8211;89 -> Doctorate granting,Institutional funds and other sourcesa,,1,1168.7
7866,r021,FYs 1988&#8211;89 -> Nondoctorate granting,All sources,,1,149.5
7866,r022,FYs 1988&#8211;89 -> Nondoctorate granting,Government,Federal,2,13.0
7866,r023,FYs 1988&#8211;89 -> Nondoctorate granting,Government,State and local,2,83.4
7866,r024,FYs 1988&#8211;89 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,53.1
7866,r025,FYs 1990&#8211;91,All sources,,1,2975.6
7866,r026,FYs 1990&#8211;91,Government,Federal,2,476.3
7866,r027,FYs 1990&#8211;91,Government,State and local,2,956.6
7866,r028,FYs 1990&#8211;91,Institutional funds and other sourcesa,,1,1542.7
7866,r029,FYs 1990&#8211;91 -> Doctorate granting,All sources,,1,2847.3
7866,r030,FYs 1990&#8211;91 -> Doctorate granting,Government,Federal,2,465.5
7866,r031,FYs 1990&#8211;91 -> Doctorate granting,Government,State and local,2,947.9
7866,r032,FYs 1990&#8211;91 -> Doctorate granting,Institutional funds and other sourcesa,,1,1433.9
7866,r033,FYs 1990&#8211;91 -> Nondoctorate granting,All sources,,1,128.4
7866,r034,FYs 1990&#8211;91 -> Nondoctorate granting,Government,Federal,2,10.8
7866,r035,FYs 1990&#8211;91 -> Nondoctorate granting,Government,State and local,2,8.7
7866,r036,FYs 1990&#8211;91 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,108.9
7866,r037,FYs 1992&#8211;93,All sources,,1,2810.8
7866,r038,FYs 1992&#8211;93,Government,Federal,2,459.3
7866,r039,FYs 1992&#8211;93,Government,State and local,2,968.0
7866,r040,FYs 1992&#8211;93,Institutional funds and other sourcesa,,1,1383.5
7866,r041,FYs 1992&#8211;93 -> Doctorate granting,All sources,,1,2720.0
7866,r042,FYs 1992&#8211;93 -> Doctorate granting,Government,Federal,2,452.0
7866,r043,FYs 1992&#8211;93 -> Doctorate granting,Government,State and local,2,893.0
7866,r044,FYs 1992&#8211;93 -> Doctorate granting,Institutional funds and other sourcesa,,1,1375.0
7866,r045,FYs 1992&#8211;93 -> Nondoctorate granting,All sources,,1,91.8
7866,r046,FYs 1992&#8211;93 -> Nondoctorate granting,Government,Federal,2,7.3
7866,r047,FYs 1992&#8211;93 -> Nondoctorate granting,Government,State and local,2,75.0
7866,r048,FYs 1992&#8211;93 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,9.5
7866,r049,FYs 1994&#8211;95,All sources,,1,2767.6
7866,r050,FYs 1994&#8211;95,Government,Federal,2,206.5
7866,r051,FYs 1994&#8211;95,Government,State and local,2,1180.8
7866,r052,FYs 1994&#8211;95,Institutional funds and other sourcesa,,1,1380.3
7866,r053,FYs 1994&#8211;95 -> Doctorate granting,All sources,,1,2436.9
7866,r054,FYs 1994&#8211;95 -> Doctorate granting,Government,Federal,2,201.2
7866,r055,FYs 1994&#8211;95 -> Doctorate granting,Government,State and local,2,890.4
7866,r056,FYs 1994&#8211;95 -> Doctorate granting,Institutional funds and other sourcesa,,1,1345.3
7866,r057,FYs 1994&#8211;95 -> Nondoctorate granting,All sources,,1,330.6
7866,r058,FYs 1994&#8211;95 -> Nondoctorate granting,Government,Federal,2,5.2
7866,r059,FYs 1994&#8211;95 -> Nondoctorate granting,Government,State and local,2,290.5
7866,r060,FYs 1994&#8211;95 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,34.9
7866,r061,FYs 1996&#8211;97,All sources,,1,3110.3
7866,r062,FYs 1996&#8211;97,Government,Federal,2,270.9
7866,r063,FYs 1996&#8211;97,Government,State and local,2,966.6
7866,r064,FYs 1996&#8211;97,Institutional funds and other sourcesa,,1,1872.8
7866,r065,FYs 1996&#8211;97 -> Doctorate granting,All sources,,1,2843.2
7866,r066,FYs 1996&#8211;97 -> Doctorate granting,Government,Federal,2,268.3
7866,r067,FYs 1996&#8211;97 -> Doctorate granting,Government,State and local,2,880.6
7866,r068,FYs 1996&#8211;97 -> Doctorate granting,Institutional funds and other sourcesa,,1,1694.3
7866,r069,FYs 1996&#8211;97 -> Nondoctorate granting,All sources,,1,267.1
7866,r070,FYs 1996&#8211;97 -> Nondoctorate granting,Government,Federal,2,2.5
7866,r071,FYs 1996&#8211;97 -> Nondoctorate granting,Government,State and local,2,86.0
7866,r072,FYs 1996&#8211;97 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,178.6
7866,r073,FYs 1998&#8211;99,All sources,,1,2765.4
7866,r074,FYs 1998&#8211;99,Government,Federal,2,237.8
7866,r075,FYs 1998&#8211;99,Government,State and local,2,939.0
7866,r076,FYs 1998&#8211;99,Institutional funds and other sourcesa,,1,1588.5
7866,r077,FYs 1998&#8211;99 -> Doctorate granting,All sources,,1,2562.5
7866,r078,FYs 1998&#8211;99 -> Doctorate granting,Government,Federal,2,206.0
7866,r079,FYs 1998&#8211;99 -> Doctorate granting,Government,State and local,2,869.1
7866,r080,FYs 1998&#8211;99 -> Doctorate granting,Institutional funds and other sourcesa,,1,1487.4
7866,r081,FYs 1998&#8211;99 -> Nondoctorate granting,All sources,,1,202.9
7866,r082,FYs 1998&#8211;99 -> Nondoctorate granting,Government,Federal,2,31.8
7866,r083,FYs 1998&#8211;99 -> Nondoctorate granting,Government,State and local,2,69.9
7866,r084,FYs 1998&#8211;99 -> Nondoctorate granting,Institutional funds and other sourcesa,,1,101.1
7866,r085,FYs 2002&#8211;03,All sources,,1,7388.7
7866,r086,FYs 2002&#8211;03,Government,Federal,2,351.3
7866,r087,FYs 2002&#8211;03,Government,State and local,2,2364.5
7866,r088,FYs 2002&#8211;03,Institutional funds and other sourcesa,,1,4672.9
7866,r089,FYs 2002&#8211;03 -> Doctorate granting,All sources,,1,7185.2
7866,r090,FYs 2002&#8211;03 -> Doctorate granting,Government,Federal,2,318.5
7866,r091,FYs 2002&#8211;03 -> Doctorate granting,Government,State and local,2,2301.4
7866,r092,FYs 2002&#8211;03 -> Doctorate granting,Institutional funds and other sourcesa,,1,4565.3
7866,r093,FYs 2002&#8211;03 -> Nondoctorate granting,All sources,,1,203.5
