table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_hierarchy_depth,field_naics_code,field_2018,field_2019,field_2020
7887,r001,All selected industries,All selected industries,,,,1,"31–33, 42, 51, 5413, 5415, 5417","['    4,526,838 ', '&nbsp;']","['    5,218,911 ', '&nbsp;']","['5,600,668', '&nbsp;']"
7887,r002,All selected industries -> Manufacturing industries,All selected industries,Manufacturing industries,,,2,31–33,"['    555,676 ', '&nbsp;']","['    622,220 ', '&nbsp;']","['627,387', '&nbsp;']"
7887,r003,"All selected industries -> Manufacturing industries -> Food, beverage, and tobacco products",All selected industries,Manufacturing industries,"Food, beverage, and tobacco products",,3,311–12,"['D', '&nbsp;']","['    5,896 ', '&nbsp;']","['9,614', '&nbsp;']"
7887,r004,"All selected industries -> Manufacturing industries -> Textile, apparel, and leather products",All selected industries,Manufacturing industries,"Textile, apparel, and leather products",,3,313–16,"['    859 ', 'r']","['    236 ', 'r']","['472', 'r']"
7887,r005,All selected industries -> Manufacturing industries -> Wood products,All selected industries,Manufacturing industries,Wood products,,3,321,"['    0 ', '&nbsp;']","['    4,065 ', 'r']","['0', '&nbsp;']"
7887,r006,All selected industries -> Manufacturing industries -> Paper,All selected industries,Manufacturing industries,Paper,,3,322,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['0', '&nbsp;']"
7887,r007,All selected industries -> Manufacturing industries -> Printing and related support activities,All selected industries,Manufacturing industries,Printing and related support activities,,3,323,"['D', '&nbsp;']","['    555 ', '&nbsp;']","['0', '&nbsp;']"
7887,r008,All selected industries -> Manufacturing industries -> Petroleum and coal products,All selected industries,Manufacturing industries,Petroleum and coal products,,3,324,"['D', '&nbsp;']","['    0 ', '&nbsp;']","['0', '&nbsp;']"
7887,r009,All selected industries -> Manufacturing industries -> Chemicals,All selected industries,Manufacturing industries,Chemicals,,3,325,"['    86,272 ', '&nbsp;']","['    178,170 ', '&nbsp;']","['160,031', '&nbsp;']"
7887,r010,All selected industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All selected industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,4,3254,"['    54,581 ', '&nbsp;']","['    117,508 ', '&nbsp;']","['77,054', '&nbsp;']"
7887,r011,"All selected industries -> Manufacturing industries -> Chemicals -> Chemicals, excluding pharmaceuticals",All selected industries,Manufacturing industries,Chemicals,"Chemicals, excluding pharmaceuticals",4,other 325,"['    31,691 ', '&nbsp;']","['    60,661 ', '&nbsp;']","['82,977', '&nbsp;']"
7887,r012,All selected industries -> Manufacturing industries -> Plastics and rubber products,All selected industries,Manufacturing industries,Plastics and rubber products,,3,326,"['    0 ', '&nbsp;']","['    6,261 ', '&nbsp;']","['18,099', '&nbsp;']"
7887,r013,All selected industries -> Manufacturing industries -> Nonmetallic mineral products,All selected industries,Manufacturing industries,Nonmetallic mineral products,,3,327,"['    5,159 ', 'r']","['    5,860 ', 'r']","['133', '&nbsp;']"
7887,r014,All selected industries -> Manufacturing industries -> Primary metals,All selected industries,Manufacturing industries,Primary metals,,3,331,"['    0 ', '&nbsp;']","['    2,353 ', 'r']","['9,077', 'r']"
7887,r015,All selected industries -> Manufacturing industries -> Fabricated metal products,All selected industries,Manufacturing industries,Fabricated metal products,,3,332,"['    2,465 ', 'r']","['    20,518 ', 'r']","['37,292', 'r']"
7887,r016,All selected industries -> Manufacturing industries -> Machinery,All selected industries,Manufacturing industries,Machinery,,3,333,"['    42,431 ', '&nbsp;']","['    22,057 ', '&nbsp;']","['62,840', '&nbsp;']"
7887,r017,All selected industries -> Manufacturing industries -> Computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,,3,334,"['    303,711 ', '&nbsp;']","['    227,158 ', '&nbsp;']","['189,225', '&nbsp;']"
7887,r018,All selected industries -> Manufacturing industries -> Computer and electronic products -> Semiconductor and other electronic components,All selected industries,Manufacturing industries,Computer and electronic products,Semiconductor and other electronic components,4,3344,"['    56,813 ', '&nbsp;']","['    38,305 ', '&nbsp;']","['36,372', '&nbsp;']"
7887,r019,"All selected industries -> Manufacturing industries -> Computer and electronic products -> Navigational, measuring, electromedical, and control instruments",All selected industries,Manufacturing industries,Computer and electronic products,"Navigational, measuring, electromedical, and control instruments",4,3345,"['    200,704 ', '&nbsp;']","['    161,373 ', '&nbsp;']","['135,652', '&nbsp;']"
7887,r020,All selected industries -> Manufacturing industries -> Computer and electronic products -> Other computer and electronic products,All selected industries,Manufacturing industries,Computer and electronic products,Other computer and electronic products,4,other 334,"['    46,194 ', '&nbsp;']","['    27,480 ', '&nbsp;']","['17,201', '&nbsp;']"
7887,r021,"All selected industries -> Manufacturing industries -> Electrical equipment, appliances, and components",All selected industries,Manufacturing industries,"Electrical equipment, appliances, and components",,3,335,"['    27,954 ', '&nbsp;']","['    9,592 ', '&nbsp;']","['24,958', 'r']"
7887,r022,All selected industries -> Manufacturing industries -> Transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,,3,336,"['    12,979 ', '&nbsp;']","['    24,577 ', '&nbsp;']","['38,247', '&nbsp;']"
7887,r023,All selected industries -> Manufacturing industries -> Transportation equipment -> Aerospace products and parts,All selected industries,Manufacturing industries,Transportation equipment,Aerospace products and parts,4,3364,"['    10,181 ', '&nbsp;']","['    11,859 ', '&nbsp;']","['19,307', '&nbsp;']"
7887,r024,All selected industries -> Manufacturing industries -> Transportation equipment -> Other transportation equipment,All selected industries,Manufacturing industries,Transportation equipment,Other transportation equipment,4,other 336,"['D', '&nbsp;']","['    12,718 ', 'r']","['18,940', 'r']"
7887,r025,All selected industries -> Manufacturing industries -> Furniture and related products,All selected industries,Manufacturing industries,Furniture and related products,,3,337,"['    0 ', '&nbsp;']","['    0 ', '&nbsp;']","['124', '&nbsp;']"
7887,r026,All selected industries -> Manufacturing industries -> Miscellaneous manufacturing,All selected industries,Manufacturing industries,Miscellaneous manufacturing,,3,339,"['    69,921 ', '&nbsp;']","['    114,922 ', '&nbsp;']","['77,276', '&nbsp;']"
7887,r027,All selected industries -> Selected nonmanufacturing industries,All selected industries,Selected nonmanufacturing industries,,,2,"42, 51, 5413, 5415, 5417","['    3,971,162 ', '&nbsp;']","['    4,596,691 ', '&nbsp;']","['4,973,281', '&nbsp;']"
7887,r028,All selected industries -> Selected nonmanufacturing industries -> Wholesale trade,All selected industries,Selected nonmanufacturing industries,Wholesale trade,,3,42,"['    183,533 ', '&nbsp;']","['    225,813 ', '&nbsp;']","['392,416', '&nbsp;']"
7887,r029,All selected industries -> Selected nonmanufacturing industries -> Information,All selected industries,Selected nonmanufacturing industries,Information,,3,51,"['    518,090 ', '&nbsp;']","['    598,684 ', '&nbsp;']","['689,766', '&nbsp;']"
7887,r030,All selected industries -> Selected nonmanufacturing industries -> Information -> Software publishers,All selected industries,Selected nonmanufacturing industries,Information,Software publishers,4,5112,"['    368,288 ', '&nbsp;']","['    327,921 ', '&nbsp;']","['468,557', '&nbsp;']"
7887,r031,"All selected industries -> Selected nonmanufacturing industries -> Information -> Information, excluding software publishers",All selected industries,Selected nonmanufacturing industries,Information,"Information, excluding software publishers",4,51 less 5112,"['    149,801 ', '&nbsp;']","['    270,764 ', '&nbsp;']","['221,209', '&nbsp;']"
7887,r032,"All selected industries -> Selected nonmanufacturing industries -> Architectural, engineering, and related services",All selected industries,Selected nonmanufacturing industries,"Architectural, engineering, and related services",,3,5413,"['    411,987 ', '&nbsp;']","['    454,913 ', '&nbsp;']","['574,367', '&nbsp;']"
7887,r033,All selected industries -> Selected nonmanufacturing industries -> Computer systems design and related services,All selected industries,Selected nonmanufacturing industries,Computer systems design and related services,,3,5415,"['    1,037,581 ', '&nbsp;']","['    1,435,159 ', '&nbsp;']","['1,122,622', '&nbsp;']"
7887,r034,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,,3,5417,"['    1,819,972 ', '&nbsp;']","['    1,882,122 ', '&nbsp;']","['2,194,110', '&nbsp;']"
7887,r035,All selected industries -> Selected nonmanufacturing industries -> Scientific research and development services -> Research and development in nanotechnology,All selected industries,Selected nonmanufacturing industries,Scientific research and development services,Research and development in nanotechnology,4,541713,"['    292,766 ', '&nbsp;']","['    175,639 ', '&nbsp;']","['162,996', '&nbsp;']"
