table_id,row_id,time_period,_b_total_b_level_1,_b_total_b_level_2,_b_total_b_hierarchy_depth,value
7950,r001,2010,Total,All R&D expenditures,2,61286610
7950,r002,2010,Total,Basic research,2,40879634
7950,r003,2010,Total,Applied research,2,15236695
7950,r004,2010,Total,Experimental development,2,5170281
7950,r005,2010,Federal,All R&D expenditures,2,37477582
7950,r006,2010,Federal,Basic research,2,25617372
7950,r007,2010,Federal,Applied research,2,9237600
7950,r008,2010,Federal,Experimental development,2,2622610
7950,r009,2010,Nonfederal,All R&D expenditures,2,23809028
7950,r010,2010,Nonfederal,Basic research,2,15262262
7950,r011,2010,Nonfederal,Applied research,2,5999095
7950,r012,2010,Nonfederal,Experimental development,2,2547671
7950,r013,2011,Total,All R&D expenditures,2,65274393
7950,r014,2011,Total,Basic research,2,43331577
7950,r015,2011,Total,Applied research,2,16461995
7950,r016,2011,Total,Experimental development,2,5480821
7950,r017,2011,Federal,All R&D expenditures,2,40768251
7950,r018,2011,Federal,Basic research,2,27573247
7950,r019,2011,Federal,Applied research,2,10361378
7950,r020,2011,Federal,Experimental development,2,2833626
7950,r021,2011,Nonfederal,All R&D expenditures,2,24506142
7950,r022,2011,Nonfederal,Basic research,2,15758330
7950,r023,2011,Nonfederal,Applied research,2,6100617
7950,r024,2011,Nonfederal,Experimental development,2,2647195
7950,r025,2012,Total,All R&D expenditures,2,65729007
7950,r026,2012,Total,Basic research,2,42939338
7950,r027,2012,Total,Applied research,2,17001462
7950,r028,2012,Total,Experimental development,2,5788207
7950,r029,2012,Federal,All R&D expenditures,2,40142223
7950,r030,2012,Federal,Basic research,2,26704465
7950,r031,2012,Federal,Applied research,2,10437765
7950,r032,2012,Federal,Experimental development,2,2999993
7950,r033,2012,Nonfederal,All R&D expenditures,2,25586784
7950,r034,2012,Nonfederal,Basic research,2,16234873
7950,r035,2012,Nonfederal,Applied research,2,6563697
7950,r036,2012,Nonfederal,Experimental development,2,2788214
7950,r037,2013,Total,All R&D expenditures,2,67013138
7950,r038,2013,Total,Basic research,2,43830773
7950,r039,2013,Total,Applied research,2,17112016
7950,r040,2013,Total,Experimental development,2,6070349
7950,r041,2013,Federal,All R&D expenditures,2,39445931
7950,r042,2013,Federal,Basic research,2,26289022
7950,r043,2013,Federal,Applied research,2,10201310
7950,r044,2013,Federal,Experimental development,2,2955599
7950,r045,2013,Nonfederal,All R&D expenditures,2,27567207
7950,r046,2013,Nonfederal,Basic research,2,17541751
7950,r047,2013,Nonfederal,Applied research,2,6910706
7950,r048,2013,Nonfederal,Experimental development,2,3114750
7950,r049,2014,Total,All R&D expenditures,2,67199090
7950,r050,2014,Total,Basic research,2,43477712
7950,r051,2014,Total,Applied research,2,17492304
7950,r052,2014,Total,Experimental development,2,6229074
7950,r053,2014,Federal,All R&D expenditures,2,37961118
7950,r054,2014,Federal,Basic research,2,25110505
7950,r055,2014,Federal,Applied research,2,9903492
7950,r056,2014,Federal,Experimental development,2,2947121
7950,r057,2014,Nonfederal,All R&D expenditures,2,29237972
7950,r058,2014,Nonfederal,Basic research,2,18367207
7950,r059,2014,Nonfederal,Applied research,2,7588812
7950,r060,2014,Nonfederal,Experimental development,2,3281953
7950,r061,2015,Total,All R&D expenditures,2,68549882
7950,r062,2015,Total,Basic research,2,44231040
7950,r063,2015,Total,Applied research,2,17731030
7950,r064,2015,Total,Experimental development,2,6587812
7950,r065,2015,Federal,All R&D expenditures,2,37846802
7950,r066,2015,Federal,Basic research,2,25133806
7950,r067,2015,Federal,Applied research,2,9826596
7950,r068,2015,Federal,Experimental development,2,2886400
7950,r069,2015,Nonfederal,All R&D expenditures,2,30703080
