table_id,row_id,_b_field_b_full_path,_b_field_b_level_1,_b_field_b_level_2,_b_field_b_level_3,_b_field_b_level_4,_b_field_b_hierarchy_depth,field_all_expenditures_total,field_all_expenditures_public,field_all_expenditures_private,field_federal_total,field_federal_public,field_federal_private,field_nonfederal_total,field_nonfederal_public,field_nonfederal_private
7959,r001,All R&D fields,All R&D fields,,,,1,2662006,1938716,723290,1272156,854367,417789,1389850,1084349,305501
7959,r002,All R&D fields -> Science,All R&D fields,Science,,,2,1816025,1300359,515666,855824,556388,299436,960201,743971,216230
7959,r003,All R&D fields -> Science -> Computer and information sciences,All R&D fields,Science,Computer and information sciences,,3,112305,68582,43723,61300,34837,26463,51005,33745,17260
7959,r004,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,125635,104802,20833,82581,70541,12040,43054,34261,8793
7959,r005,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Atmospheric science and meteorology",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Atmospheric science and meteorology,4,21241,15601,5640,16808,12046,4762,4433,3555,878
7959,r006,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geological and earth sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Geological and earth sciences,4,46776,35470,11306,24303,19063,5240,22473,16407,6066
7959,r007,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Ocean sciences and marine sciences",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences",Ocean sciences and marine sciences,4,51267,47881,3386,37823,36079,1744,13444,11802,1642
7959,r008,"All R&D fields -> Science -> Geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences nec",All R&D fields,Science,"Geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences nec",4,6351,5850,501,3647,3353,294,2704,2497,207
7959,r009,All R&D fields -> Science -> Life sciences,All R&D fields,Science,Life sciences,,3,1029337,749376,279961,409732,253326,156406,619605,496050,123555
7959,r010,All R&D fields -> Science -> Life sciences -> Agricultural sciences,All R&D fields,Science,Life sciences,Agricultural sciences,4,96332,93996,2336,28703,27604,1099,67629,66392,1237
7959,r011,All R&D fields -> Science -> Life sciences -> Biological and biomedical sciences,All R&D fields,Science,Life sciences,Biological and biomedical sciences,4,448424,284951,163473,212198,121746,90452,236226,163205,73021
7959,r012,All R&D fields -> Science -> Life sciences -> Health sciences,All R&D fields,Science,Life sciences,Health sciences,4,439402,334781,104621,150692,92647,58045,288710,242134,46576
7959,r013,All R&D fields -> Science -> Life sciences -> Natural resources and conservation,All R&D fields,Science,Life sciences,Natural resources and conservation,4,14937,14281,656,6694,6463,231,8243,7818,425
7959,r014,All R&D fields -> Science -> Life sciences -> Life sciences nec,All R&D fields,Science,Life sciences,Life sciences nec,4,30242,21367,8875,11445,4866,6579,18797,16501,2296
7959,r015,All R&D fields -> Science -> Mathematics and statistics,All R&D fields,Science,Mathematics and statistics,,3,9780,3820,5960,5812,2597,3215,3968,1223,2745
7959,r016,All R&D fields -> Science -> Physical sciences,All R&D fields,Science,Physical sciences,,3,447085,300630,146455,273687,179511,94176,173398,121119,52279
7959,r017,All R&D fields -> Science -> Physical sciences -> Astronomy and astrophysics,All R&D fields,Science,Physical sciences,Astronomy and astrophysics,4,39188,28831,10357,20664,14404,6260,18524,14427,4097
