table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_2018,field_2019,field_2020,field_2021_all_social_sciences,field_2021_anthropology,field_2021_economics,field_2021_political_science_and_government,field_2021_sociology_demography_and_population_studies,field_2021_social_sciences_nec
7979,r001,All institutions,All institutions,,1,-,"['937,739', '']","['938,459', '']","['968,843', '']","['955,852', '']","['29,533', '']","['137,555', '']","['86,443', '']","['232,318', '']","['470,003', '']"
7979,r002,"All institutions -> U. Michigan, Ann Arbor",All institutions,"U. Michigan, Ann Arbor",2,1,"['100,114', '']","['91,183', '']","['89,211', '']","['85,904', '']","['585', '']","['22,358', '']","['15,647', '']","['15,468', '']","['31,846', '']"
7979,r003,"All institutions -> U. North Carolina, Chapel Hill",All institutions,"U. North Carolina, Chapel Hill",2,2,"['91,658', '']","['84,279', '']","['56,291', '']","['43,473', '']","['94', '']","['142', '']","['1,117', '']","['37,930', '']","['4,190', '']"
7979,r004,All institutions -> U. Southern California,All institutions,U. Southern California,2,3,"['20,665', '']","['25,317', '']","['28,212', '']","['41,252', '']","['0', '']","['219', '']","['0', '']","['36', '']","['40,997', '']"
7979,r005,All institutions -> U. Maryland<sup>a</sup>,All institutions,U. Maryland<sup>a</sup>,2,4,"['na', '']","['38,235', '']","['36,918', '']","['35,980', '']","['582', '']","['550', '']","['1,823', '']","['2,524', '']","['30,501', '']"
7979,r006,All institutions -> Harvard U.,All institutions,Harvard U.,2,5,"['24,768', '']","['25,188', '']","['27,768', '']","['32,441', '']","['36', '']","['3,322', '']","['250', '']","['863', '']","['27,970', '']"
7979,r007,All institutions -> U. Wisconsin-Madison,All institutions,U. Wisconsin-Madison,2,6,"['21,506', '']","['19,987', '']","['24,863', '']","['26,100', '']","['14', '']","['1,646', '']","['1,869', '']","['2,711', '']","['19,860', '']"
7979,r008,All institutions -> Duke U.,All institutions,Duke U.,2,7,"['20,189', '']","['19,689', '']","['20,611', '']","['21,294', '']","['1,073', '']","['1,759', '']","['279', '']","['10,016', '']","['8,167', '']"
7979,r009,All institutions -> Brown U.,All institutions,Brown U.,2,8,"['7,936', '']","['13,087', '']","['17,975', '']","['20,519', '']","['0', '']","['142', '']","['0', '']","['185', '']","['20,192', '']"
7979,r010,All institutions -> Michigan State U.,All institutions,Michigan State U.,2,9,"['7,979', '']","['9,867', '']","['23,664', '']","['20,456', '']","['113', '']","['9,251', '']","['128', '']","['979', '']","['9,985', '']"
