table_id,row_id,_b_institution_b_full_path,_b_institution_b_level_1,_b_institution_b_level_2,_b_institution_b_hierarchy_depth,field_rank,field_dod_r_d_expenditures,field_computer_and_information_sciences,field_geosciences_atmospheric_sciences_and_ocean_sciences,field_life_sciences,field_mathematics_and_statistics,field_physical_sciences,field_psychology,field_social_sciences,field_sciences_nec,field_engineering,field_all_non_s_e_fields
8006,r001,All institutions,All institutions,,1,-,"['7,363,495', '']","['928,400', '']","['236,137', '']","['1,421,696', '']","['152,714', '']","['652,400', '']","['53,146', '']","['69,670', '']","['83,086', '']","['3,703,852', '']","['62,394', '']"
8006,r002,All institutions -> Johns Hopkins U.<sup>a</sup>,All institutions,Johns Hopkins U.<sup>a</sup>,2,1,"['1,459,350', '']","['205,769', '']","['13,760', '']","['94,105', '']","['97,972', '']","['182,454', '']","['464', '']","['1,839', '']","['40,583', '']","['822,404', '']","['0', '']"
8006,r003,All institutions -> Georgia Institute of Technology,All institutions,Georgia Institute of Technology,2,2,"['626,448', '']","['98,613', '']","['311', '']","['369', '']","['163', '']","['2,221', '']","['755', '']","['698', '']","['0', '']","['516,698', '']","['6,620', '']"
8006,r004,All institutions -> Uniformed Services U. of the Health Sciences,All institutions,Uniformed Services U. of the Health Sciences,2,3,"['263,812', '']","['0', '']","['0', '']","['250,443', '']","['0', '']","['0', '']","['13,369', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8006,r005,"All institutions -> Pennsylvania State U., University Park and Hershey Medical Center",All institutions,"Pennsylvania State U., University Park and Hershey Medical Center",2,4,"['263,661', '']","['41,225', '']","['2,806', '']","['2,328', '']","['6,031', '']","['20,216', '']","['247', '']","['634', '']","['0', '']","['186,706', '']","['3,468', '']"
8006,r006,"All institutions -> U. Texas, Austin",All institutions,"U. Texas, Austin",2,5,"['191,082', '']","['38,481', '']","['216', '']","['7,045', '']","['902', '']","['31,502', '']","['255', '']","['206', '']","['19', '']","['112,016', '']","['440', '']"
8006,r007,All institutions -> Utah State U.,All institutions,Utah State U.,2,6,"['129,190', '']","['0', '']","['0', '']","['1,787', '']","['0', '']","['244', '']","['0', '']","['69', '']","['0', '']","['126,919', '']","['171', '']"
8006,r008,All institutions -> Massachusetts Institute of Technology,All institutions,Massachusetts Institute of Technology,2,7,"['128,158', '']","['38,444', '']","['792', '']","['5,356', '']","['1,189', '']","['11,643', '']","['204', '']","['13', '']","['429', '']","['69,461', '']","['627', '']"
8006,r009,All institutions -> U. Southern California,All institutions,U. Southern California,2,8,"['126,122', '']","['83,677', '']","['0', '']","['12,753', '']","['268', '']","['4,433', '']","['173', '']","['393', '']","['0', '']","['23,677', '']","['748', '']"
8006,r010,All institutions -> U. Maryland<sup>b</sup>,All institutions,U. Maryland<sup>b</sup>,2,9,"['116,368', '']","['13,163', '']","['418', '']","['25,384', '']","['722', '']","['15,523', '']","['542', '']","['13,528', '']","['14,119', '']","['32,489', '']","['480', '']"
8006,r011,All institutions -> U. Dayton,All institutions,U. Dayton,2,10,"['104,393', '']","['6,171', '']","['0', '']","['215', '']","['0', '']","['619', '']","['0', '']","['0', '']","['0', '']","['96,954', '']","['434', '']"
