table_id,row_id,_b_state_institutional_control_and_institution_b_full_path,_b_state_institutional_control_and_institution_b_level_1,_b_state_institutional_control_and_institution_b_level_2,_b_state_institutional_control_and_institution_b_level_3,_b_state_institutional_control_and_institution_b_level_4,_b_state_institutional_control_and_institution_b_hierarchy_depth,field_received_as_a_subrecipient_total,field_received_as_a_subrecipient_federally_financed,field_received_as_a_subrecipient_nonfederally_financed,field_passed_through_to_subrecipients_total,field_passed_through_to_subrecipients_federally_financed,field_passed_through_to_subrecipients_nonfederally_financed
8013,r001,United States,United States,,,,1,"['20,448', '']","['19,372', '']","['1,076', '']","['2,878', '']","['2,371', '']","['507', '']"
8013,r002,United States -> Alabama,United States,Alabama,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8013,r003,United States -> Alabama -> Public,United States,Alabama,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8013,r004,"United States -> Alabama -> Public -> Auburn U., Montgomery",United States,Alabama,Public,"Auburn U., Montgomery",4,"['52', '']","['52', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8013,r005,United States -> Alabama -> Public -> U. North Alabama,United States,Alabama,Public,U. North Alabama,4,"['45', '']","['45', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8013,r006,United States -> Alabama -> Public -> U. West Alabama,United States,Alabama,Public,U. West Alabama,4,"['219', '']","['219', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8013,r007,United States -> Alabama -> Private,United States,Alabama,Private,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8013,r008,"United States -> Alabama -> Private -> Alabama C., Osteopathic Medicine",United States,Alabama,Private,"Alabama C., Osteopathic Medicine",4,"['0', '']","['0', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8013,r009,United States -> Alabama -> Private -> Oakwood U.,United States,Alabama,Private,Oakwood U.,4,"['90', '']","['90', '']","['0', '']","['0', '']","['0', '']","['0', '']"
8013,r010,United States -> Arizona,United States,Arizona,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8013,r011,United States -> Arizona -> Public,United States,Arizona,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8013,r012,United States -> Arizona -> Public -> Dine C.,United States,Arizona,Public,Dine C.,4,"['41', '']","['41', '']","['0', '']","['443', '']","['443', '']","['0', '']"
8013,r013,United States -> Arkansas,United States,Arkansas,,,2,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
8013,r014,United States -> Arkansas -> Public,United States,Arkansas,Public,,3,"['', '']","['', '']","['', '']","['', '']","['', '']","['', '']"
