table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_2008c,field_2009d,field_2010d,field_2011,field_2012,field_2013,field_2014,field_2015
802,r001,All business activities,All business activities,,1,21100–81000,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['290,240', '&nbsp;']","['302,759', '&nbsp;']","['323,107', '&nbsp;']","['340,539', '&nbsp;']","['355,821', '&nbsp;']"
802,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['1,108', '&nbsp;']","['D', '&nbsp;']"
802,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['83', '&nbsp;']","['88', '&nbsp;']","['80', '&nbsp;']","['54', '&nbsp;']","['68', '&nbsp;']"
802,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['1,860', '&nbsp;']","['1,871', '&nbsp;']","['2,349', '&nbsp;']","['2,078', '&nbsp;']"
802,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['298', '&nbsp;']","['434', '&nbsp;']","['343', '&nbsp;']","['343', '&nbsp;']","['484', '&nbsp;']"
802,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['752', '&nbsp;']","['756', '&nbsp;']","['244', 'i']","['204', 'i']","['520', '&nbsp;']"
802,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['3,769', '&nbsp;']","['3,565', '&nbsp;']","['5,156', '&nbsp;']","['4,934', 'i']","['4,729', 'i']"
802,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['D', '&nbsp;']","['628', '&nbsp;']","['D', '&nbsp;']","['660', '&nbsp;']"
802,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['140', '&nbsp;']","['163', '&nbsp;']","['D', '&nbsp;']","['153', '&nbsp;']"
802,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['623', '&nbsp;']","['688', '&nbsp;']","['687', '&nbsp;']","['662', 'i']","['793', '&nbsp;']"
802,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['202', '&nbsp;']","['278', '&nbsp;']","['234', '&nbsp;']","['322', 'i']","['227', '&nbsp;']"
802,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['755', '&nbsp;']","['982', '&nbsp;']","['1,166', '&nbsp;']","['1,028', '&nbsp;']","['1,056', '&nbsp;']"
802,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['244', '&nbsp;']","['305', 'i']","['389', '&nbsp;']","['363', '&nbsp;']","['287', '&nbsp;']"
802,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['596', '&nbsp;']","['438', '&nbsp;']","['D', '&nbsp;']","['443', '&nbsp;']"
802,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['38', '&nbsp;']","['41', '&nbsp;']","['117', 'i']","['66', '&nbsp;']","['52', 'i']"
802,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['285', '&nbsp;']","['218', '&nbsp;']","['312', 'i']","['279', 'i']","['268', '&nbsp;']"
802,r017,All business activities -> Basic chemicals manufacturing,All business activities,Basic chemicals manufacturing,2,32510,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['3,099', '&nbsp;']","['3,228', '&nbsp;']","['2,925', '&nbsp;']","['3,144', '&nbsp;']","['3,072', '&nbsp;']"
802,r018,"All business activities -> Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",All business activities,"Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing",2,32520,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['815', '&nbsp;']","['1,093', '&nbsp;']","['999', '&nbsp;']","['1,054', '&nbsp;']","['1,214', '&nbsp;']"
802,r019,"All business activities -> Pesticide, fertilizer, and other agricultural chemical manufacturing",All business activities,"Pesticide, fertilizer, and other agricultural chemical manufacturing",2,32530,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['D', '&nbsp;']","['1,951', '&nbsp;']","['2,114', 'i']","['2,057', 'i']","['D', '&nbsp;']"
802,r020,"All business activities -> Pharmaceutical, medicinal, botanical, and biological products (except diagnostics)<sup>e</sup>",All business activities,"Pharmaceutical, medicinal, botanical, and biological products (except diagnostics)<sup>e</sup>",2,32541,"['NA', '&nbsp;']","['NA', '&nbsp;']","['NA', '&nbsp;']","['42,381', '&nbsp;']","['43,672', '&nbsp;']","['42,456', '&nbsp;']","['43,748', '&nbsp;']","['40,764', '&nbsp;']"
