table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field__5_number,field__5_se,field_6_10_number,field_6_10_se,field_11_15_number,field_11_15_se,field_16_20_number,field_16_20_se,field_21_25_number,field_21_25_se,field__25_number,field__25_se
8185,r001,All fields,All fields,,,,1,145250,1700,19100,550,26950,900,24600,775,18900,675,17950,850,37700,1000
8185,r002,All fields -> Science,All fields,Science,,,2,101650,1450,13450,575,17750,750,17750,650,13100,650,13150,750,26450,850
8185,r003,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,28600,775,3350,300,4600,400,5100,350,3950,300,4450,375,7150,500
8185,r004,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,4,5500,275,650,125,550,75,750,125,850,125,800,150,1900,250
8185,r005,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,4,2950,375,S,S,500,175,400,175,300,125,600,200,900,200
8185,r006,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",4,2400,300,250,125,250,100,400,125,450,150,450,150,650,175
8185,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,4,2300,275,200,75,450,150,550,175,150,75,450,150,500,150
8185,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,4,2300,200,400,100,450,100,450,125,350,75,200,50,500,125
8185,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,4,1300,200,S,S,50,50,200,75,300,100,450,150,200,75
8185,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,4,11850,525,1550,225,2300,300,2350,275,1550,225,1550,200,2450,275
8185,r011,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,5000,375,950,200,950,200,950,150,700,175,350,125,1150,200
8185,r012,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,9350,500,1250,225,1950,300,1800,300,1200,225,850,150,2250,325
8185,r013,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",,3,21950,825,2750,350,4000,400,4200,400,2400,300,2550,350,6050,425
8185,r014,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Astronomy and astrophysics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Astronomy and astrophysics,4,800,125,150,50,150,50,150,50,50,50,50,25,250,100
8185,r015,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Chemistry, except biochemistry",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Chemistry, except biochemistry",4,7600,525,900,250,1400,275,1350,225,1100,200,900,200,1950,275
8185,r016,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Geosciences, atmospheric sciences, and ocean sciences",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences","Geosciences, atmospheric sciences, and ocean sciences",4,4700,275,750,175,800,100,850,150,500,100,650,150,1150,150
8185,r017,"All fields -> Science -> Physical sciences, geosciences, atmospheric sciences, and ocean sciences -> Physics",All fields,Science,"Physical sciences, geosciences, atmospheric sciences, and ocean sciences",Physics,4,8900,600,950,200,1700,275,1800,325,750,175,1000,250,2750,325
8185,r018,All fields -> Science -> Psychology,All fields,Science,Psychology,,3,6250,450,650,175,1300,225,1100,175,750,175,700,200,1700,300
8185,r019,All fields -> Science -> Social sciences,All fields,Science,Social sciences,,3,30500,875,4500,350,4950,450,4550,350,4100,375,4250,425,8150,500
8185,r020,All fields -> Science -> Social sciences -> Economics,All fields,Science,Social sciences,Economics,4,12650,475,1850,275,1800,250,1700,200,1850,225,1900,275,3550,325
8185,r021,All fields -> Science -> Social sciences -> Political science and government,All fields,Science,Social sciences,Political science and government,4,5150,500,800,175,1100,250,750,175,650,200,600,225,1200,275
8185,r022,"All fields -> Science -> Social sciences -> Sociology, demography, and population studies",All fields,Science,Social sciences,"Sociology, demography, and population studies",4,2400,250,500,150,250,100,350,75,350,125,200,75,750,175
8185,r023,All fields -> Science -> Social sciences -> Other social sciences,All fields,Science,Social sciences,Other social sciences,4,10300,500,1350,175,1800,250,1750,225,1250,175,1500,250,2650,300
8185,r024,All fields -> Engineering,All fields,Engineering,,,2,38000,1075,4850,425,7950,575,5750,425,4850,425,4050,400,10550,600
8185,r025,"All fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,1600,250,250,100,250,75,S,S,250,100,50,50,650,200
8185,r026,All fields -> Engineering -> Chemical engineering,All fields,Engineering,Chemical engineering,,3,3850,375,450,150,800,200,700,175,300,125,500,150,1150,225
8185,r027,All fields -> Engineering -> Civil engineering,All fields,Engineering,Civil engineering,,3,6600,525,850,200,1500,225,850,200,1000,200,850,200,1550,300
8185,r028,All fields -> Engineering -> Electrical and computer engineering,All fields,Engineering,Electrical and computer engineering,,3,9150,525,1200,275,1600,225,1750,225,1450,200,850,200,2300,300
8185,r029,All fields -> Engineering -> Mechanical engineering,All fields,Engineering,Mechanical engineering,,3,4800,400,450,150,1150,225,600,175,500,150,600,175,1500,250
8185,r030,All fields -> Engineering -> Metallurgical and materials engineering,All fields,Engineering,Metallurgical and materials engineering,,3,3450,350,300,125,950,250,500,125,300,125,400,125,1000,200
8185,r031,All fields -> Engineering -> Other engineering,All fields,Engineering,Other engineering,,3,8550,450,1350,225,1750,250,1150,200,1100,175,800,175,2400,250
8185,r032,All fields -> Health,All fields,Health,,,2,5600,425,800,150,1250,250,1150,225,1000,225,750,150,700,175
