table_id,row_id,field_of_study_full_path,field_of_study_level_1,field_of_study_level_2,field_of_study_level_3,field_of_study_level_4,field_of_study_hierarchy_depth,field_all_employed_number,field_all_employed_se,field_4_year_educational_institutiona_number,field_4_year_educational_institutiona_se,field_other_educational_institutionb_number,field_other_educational_institutionb_se,field_private_for_profitc_number,field_private_for_profitc_se,field_private_nonprofit_number,field_private_nonprofit_se,field_federal_government_number,field_federal_government_se,field_state_or_local_government_number,field_state_or_local_government_se,field_self_employedd_number,field_self_employedd_se,field_othere_number,field_othere_se
8186,r001,All fields,All fields,,,,1,872100,2425,340950,2450,27800,825,320850,2625,60200,1300,52700,1250,19650,750,42650,1075,7300,425
8186,r002,All fields -> Science,All fields,Science,,,2,647300,2000,272450,2175,25000,800,203450,2075,48200,1275,40850,1125,15550,675,36800,1025,5000,375
8186,r003,"All fields -> Science -> Biological, agricultural, and environmental life sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",,3,226850,1275,95500,1375,7300,475,73150,1175,20000,725,16750,725,5250,375,7550,450,1300,175
8186,r004,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Agricultural and food sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Agricultural and food sciences,4,16600,350,7350,350,400,75,6000,325,500,100,1150,150,450,125,700,125,100,50
8186,r005,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Biochemistry and biophysics",All fields,Science,"Biological, agricultural, and environmental life sciences",Biochemistry and biophysics,4,29550,600,11150,550,1250,250,11750,650,2050,275,1700,225,350,100,1100,200,150,100
8186,r006,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Cell, cellular biology, and molecular biology",All fields,Science,"Biological, agricultural, and environmental life sciences","Cell, cellular biology, and molecular biology",4,32300,450,12900,525,950,175,11500,525,3600,325,2000,325,350,125,850,200,150,75
8186,r007,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Microbiological sciences and immunology",All fields,Science,"Biological, agricultural, and environmental life sciences",Microbiological sciences and immunology,4,24750,425,9050,425,500,100,9200,500,2350,250,2100,225,600,150,900,200,100,50
8186,r008,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Natural resources and conservation",All fields,Science,"Biological, agricultural, and environmental life sciences",Natural resources and conservation,4,9000,225,3600,200,350,125,1700,175,700,100,1350,150,800,75,400,100,100,50
8186,r009,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Zoology",All fields,Science,"Biological, agricultural, and environmental life sciences",Zoology,4,6850,250,3550,250,250,75,1050,175,350,75,750,125,600,150,300,75,S,S
8186,r010,"All fields -> Science -> Biological, agricultural, and environmental life sciences -> Other biological sciences",All fields,Science,"Biological, agricultural, and environmental life sciences",Other biological sciences,4,107800,850,47900,975,3600,325,32000,800,10450,525,7700,450,2200,275,3300,325,650,125
8186,r011,All fields -> Science -> Computer and information sciences,All fields,Science,Computer and information sciences,,3,33600,425,11850,450,350,100,18350,475,1100,200,700,125,350,150,700,175,S,S
8186,r012,All fields -> Science -> Mathematics and statistics,All fields,Science,Mathematics and statistics,,3,36600,575,20250,625,1250,200,11250,525,1400,225,1100,175,300,100,800,150,200,75
