table_id,row_id,time_period,_b_all_full_time_graduate_students_b_level_1,_b_all_full_time_graduate_students_b_level_2,_b_all_full_time_graduate_students_b_level_3,_b_all_full_time_graduate_students_b_hierarchy_depth,value
8298,r001,1975,All full-time graduate students,Total,,2,219648
8298,r002,1975,All full-time graduate students,First time,Number,3,76686
8298,r003,1975,All full-time graduate students,First time,Percent,3,34.9
8298,r004,1975,Full-time master's students,Total,,2,na
8298,r005,1975,Full-time master's students,First time,Number,3,na
8298,r006,1975,Full-time master's students,First time,Percent,3,na
8298,r007,1975,Full-time doctoral students,Total,,2,na
8298,r008,1975,Full-time doctoral students,First time,Number,3,na
8298,r009,1975,Full-time doctoral students,First time,Percent,3,na
8298,r010,1976,All full-time graduate students,Total,,2,223412
8298,r011,1976,All full-time graduate students,First time,Number,3,90811
8298,r012,1976,All full-time graduate students,First time,Percent,3,40.6
8298,r013,1976,Full-time master's students,Total,,2,na
8298,r014,1976,Full-time master's students,First time,Number,3,na
8298,r015,1976,Full-time master's students,First time,Percent,3,na
8298,r016,1976,Full-time doctoral students,Total,,2,na
8298,r017,1976,Full-time doctoral students,First time,Number,3,na
8298,r018,1976,Full-time doctoral students,First time,Percent,3,na
8298,r019,1977,All full-time graduate students,Total,,2,226738
8298,r020,1977,All full-time graduate students,First time,Number,3,93116
8298,r021,1977,All full-time graduate students,First time,Percent,3,41.1
8298,r022,1977,Full-time master's students,Total,,2,na
8298,r023,1977,Full-time master's students,First time,Number,3,na
8298,r024,1977,Full-time master's students,First time,Percent,3,na
8298,r025,1977,Full-time doctoral students,Total,,2,na
8298,r026,1977,Full-time doctoral students,First time,Number,3,na
8298,r027,1977,Full-time doctoral students,First time,Percent,3,na
8298,r028,1978<sup>a</sup>,All full-time graduate students,Total,,2,223030
8298,r029,1978<sup>a</sup>,All full-time graduate students,First time,Number,3,70578
8298,r030,1978<sup>a</sup>,All full-time graduate students,First time,Percent,3,31.6
8298,r031,1978<sup>a</sup>,Full-time master's students,Total,,2,na
8298,r032,1978<sup>a</sup>,Full-time master's students,First time,Number,3,na
8298,r033,1978<sup>a</sup>,Full-time master's students,First time,Percent,3,na
8298,r034,1978<sup>a</sup>,Full-time doctoral students,Total,,2,na
8298,r035,1978<sup>a</sup>,Full-time doctoral students,First time,Number,3,na
8298,r036,1978<sup>a</sup>,Full-time doctoral students,First time,Percent,3,na
8298,r037,1979,All full-time graduate students,Total,,2,231760
8298,r038,1979,All full-time graduate students,First time,Number,3,76788
8298,r039,1979,All full-time graduate students,First time,Percent,3,33.1
8298,r040,1979,Full-time master's students,Total,,2,na
8298,r041,1979,Full-time master's students,First time,Number,3,na
8298,r042,1979,Full-time master's students,First time,Percent,3,na
8298,r043,1979,Full-time doctoral students,Total,,2,na
8298,r044,1979,Full-time doctoral students,First time,Number,3,na
8298,r045,1979,Full-time doctoral students,First time,Percent,3,na
8298,r046,1980,All full-time graduate students,Total,,2,238416
8298,r047,1980,All full-time graduate students,First time,Number,3,81259
8298,r048,1980,All full-time graduate students,First time,Percent,3,34.1
8298,r049,1980,Full-time master's students,Total,,2,na
8298,r050,1980,Full-time master's students,First time,Number,3,na
8298,r051,1980,Full-time master's students,First time,Percent,3,na
8298,r052,1980,Full-time doctoral students,Total,,2,na
8298,r053,1980,Full-time doctoral students,First time,Number,3,na
8298,r054,1980,Full-time doctoral students,First time,Percent,3,na
8298,r055,1981,All full-time graduate students,Total,,2,242049
8298,r056,1981,All full-time graduate students,First time,Number,3,80003
8298,r057,1981,All full-time graduate students,First time,Percent,3,33.1
8298,r058,1981,Full-time master's students,Total,,2,na
8298,r059,1981,Full-time master's students,First time,Number,3,na
8298,r060,1981,Full-time master's students,First time,Percent,3,na
8298,r061,1981,Full-time doctoral students,Total,,2,na
8298,r062,1981,Full-time doctoral students,First time,Number,3,na
8298,r063,1981,Full-time doctoral students,First time,Percent,3,na
8298,r064,1982,All full-time graduate students,Total,,2,244757
8298,r065,1982,All full-time graduate students,First time,Number,3,80257
8298,r066,1982,All full-time graduate students,First time,Percent,3,32.8
8298,r067,1982,Full-time master's students,Total,,2,na
8298,r068,1982,Full-time master's students,First time,Number,3,na
8298,r069,1982,Full-time master's students,First time,Percent,3,na
8298,r070,1982,Full-time doctoral students,Total,,2,na
8298,r071,1982,Full-time doctoral students,First time,Number,3,na
8298,r072,1982,Full-time doctoral students,First time,Percent,3,na
8298,r073,1983,All full-time graduate students,Total,,2,252017
8298,r074,1983,All full-time graduate students,First time,Number,3,81606
8298,r075,1983,All full-time graduate students,First time,Percent,3,32.4
8298,r076,1983,Full-time master's students,Total,,2,na
8298,r077,1983,Full-time master's students,First time,Number,3,na
