table_id,row_id,_b_citizenship_ethnicity_race_and_field_b_full_path,_b_citizenship_ethnicity_race_and_field_b_level_1,_b_citizenship_ethnicity_race_and_field_b_level_2,_b_citizenship_ethnicity_race_and_field_b_level_3,_b_citizenship_ethnicity_race_and_field_b_level_4,_b_citizenship_ethnicity_race_and_field_b_level_5,_b_citizenship_ethnicity_race_and_field_b_level_6,_b_citizenship_ethnicity_race_and_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_female,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_female,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_female,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_female,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_female
8310,r001,All surveyed fields,All surveyed fields,,,,,,1,760156,49.1,466613,51.4,293543,45.4,63328,42.3,30548,42.3
8310,r002,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,,,,,2,515597,54.2,337655,56.0,177942,50.6,29755,48.0,na,na
8310,r003,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,,3,69174,57.4,48681,59.5,20493,52.4,2142,51.7,na,na
8310,r004,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,,3,,,,,,,,,,
8310,r005,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,,4,2105,59.2,1356,60.0,749,57.8,80,55.0,na,na
8310,r006,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,,4,60203,49.7,40607,49.9,19596,49.1,6014,43.9,na,na
8310,r007,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,,4,45302,63.3,33129,64.1,12173,61.1,1138,62.0,na,na
8310,r008,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,,4,792,55.3,597,54.3,195,58.5,40,57.5,na,na
8310,r009,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,,4,294198,52.9,184608,55.0,109590,49.3,16369,48.0,na,na
8310,r010,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,,4,19471,56.1,12301,57.3,7170,54.0,687,52.0,na,na
8310,r011,All surveyed fields -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All surveyed fields,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,,,3,24352,52.6,16376,54.9,7976,47.8,3285,47.0,na,na
8310,r012,All surveyed fields -> Temporary visa holders,All surveyed fields,Temporary visa holders,,,,,2,244559,38.3,128958,39.2,115601,37.2,33573,37.3,na,na
8310,r013,All surveyed fields -> Engineering,All surveyed fields,Engineering,,,,,2,168050,27.7,95126,27.0,72924,28.7,8340,26.3,3992,24.1
8310,r014,All surveyed fields -> Engineering -> U.S. citizens and permanent residents<sup>a</sup>,All surveyed fields,Engineering,U.S. citizens and permanent residents<sup>a</sup>,,,,3,88665,28.3,57033,26.4,31632,31.6,2907,30.8,na,na
8310,r015,All surveyed fields -> Engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino,All surveyed fields,Engineering,U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,,4,10821,28.4,7612,26.6,3209,32.5,173,34.7,na,na
8310,r016,All surveyed fields -> Engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino,All surveyed fields,Engineering,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,,4,,,,,,,,,,
8310,r017,All surveyed fields -> Engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native,All surveyed fields,Engineering,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,,5,286,38.5,205,41.0,81,32.1,11,63.6,na,na
8310,r018,All surveyed fields -> Engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian,All surveyed fields,Engineering,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,,5,13412,32.1,8685,31.2,4727,33.9,790,24.8,na,na
8310,r019,All surveyed fields -> Engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American,All surveyed fields,Engineering,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,,5,4847,32.9,3141,30.1,1706,37.9,73,49.3,na,na
8310,r020,All surveyed fields -> Engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander,All surveyed fields,Engineering,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,,5,98,28.6,70,21.4,28,46.4,5,40.0,na,na
8310,r021,All surveyed fields -> Engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White,All surveyed fields,Engineering,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,,5,52168,26.5,32987,24.5,19181,29.9,1504,32.2,na,na
8310,r022,All surveyed fields -> Engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race,All surveyed fields,Engineering,U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,,5,3478,32.1,2155,29.3,1323,36.7,66,37.9,na,na
8310,r023,All surveyed fields -> Engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race,All surveyed fields,Engineering,U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,,4,3555,28.7,2178,26.6,1377,32.1,285,29.5,na,na
8310,r024,All surveyed fields -> Engineering -> Temporary visa holders,All surveyed fields,Engineering,Temporary visa holders,,,,3,79385,27.1,38093,27.8,41292,26.4,5433,24.0,na,na
8310,r025,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",,,,3,7838,18.7,5065,17.9,2773,20.1,277,17.3,144,17.4
8310,r026,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> U.S. citizens and permanent residents<sup>a</sup>",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",U.S. citizens and permanent residents<sup>a</sup>,,,4,6074,18.7,4402,17.7,1672,21.4,84,20.2,na,na
8310,r027,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,5,688,17.3,545,17.1,143,18.2,5,40.0,na,na
8310,r028,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,5,,,,,,,,,,
8310,r029,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,6,17,23.5,12,25.0,5,20.0,0,-,na,na
8310,r030,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,6,767,19.3,559,19.0,208,20.2,21,19.0,na,na
8310,r031,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,6,170,22.4,114,21.1,56,25.0,3,33.3,na,na
8310,r032,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,6,11,27.3,8,25.0,3,33.3,1,100.0,na,na
8310,r033,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,6,3961,18.5,2840,17.3,1121,21.6,46,17.4,na,na
8310,r034,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,6,276,21.7,189,21.2,87,23.0,2,0.0,na,na
8310,r035,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,5,184,17.4,135,15.6,49,22.4,6,16.7,na,na
8310,r036,"All surveyed fields -> Engineering -> Aerospace, aeronautical, and astronautical engineering -> Temporary visa holders",All surveyed fields,Engineering,"Aerospace, aeronautical, and astronautical engineering",Temporary visa holders,,,4,1764,18.5,663,19.0,1101,18.3,193,16.1,na,na
8310,r037,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",,,,3,14059,46.5,5192,48.7,8867,45.2,1616,37.1,589,36.3
8310,r038,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering -> U.S. citizens and permanent residents<sup>a</sup>",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents<sup>a</sup>,,,4,9555,47.0,3682,48.2,5873,46.2,690,39.7,na,na
8310,r039,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,5,1053,48.5,408,50.0,645,47.6,50,44.0,na,na
8310,r040,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,5,,,,,,,,,,
8310,r041,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,6,15,53.3,4,50.0,11,54.5,2,50.0,na,na
8310,r042,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,6,1878,47.0,795,50.2,1083,44.7,187,36.4,na,na
8310,r043,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,6,544,52.0,230,50.0,314,53.5,24,50.0,na,na
8310,r044,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,6,14,35.7,6,33.3,8,37.5,1,0.0,na,na
8310,r045,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,6,5239,45.9,1953,47.0,3286,45.2,353,41.9,na,na
8310,r046,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,6,433,49.7,168,42.9,265,54.0,13,61.5,na,na
8310,r047,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,5,379,47.2,118,52.5,261,44.8,60,25.0,na,na
8310,r048,"All surveyed fields -> Engineering -> Biological, biomedical, and biosystems engineering -> Temporary visa holders",All surveyed fields,Engineering,"Biological, biomedical, and biosystems engineering",Temporary visa holders,,,4,4504,45.6,1510,50.1,2994,43.4,926,35.2,na,na
8310,r049,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",,,,3,10696,33.4,2983,33.3,7713,33.4,1167,25.8,307,30.9
8310,r050,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> U.S. citizens and permanent residents<sup>a</sup>",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",U.S. citizens and permanent residents<sup>a</sup>,,,4,5434,33.8,1779,33.3,3655,34.0,407,29.7,na,na
8310,r051,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,5,568,35.2,244,32.0,324,37.7,21,42.9,na,na
8310,r052,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,5,,,,,,,,,,
8310,r053,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,6,21,33.3,10,30.0,11,36.4,1,100.0,na,na
8310,r054,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Asian",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Asian,6,879,37.2,283,38.5,596,36.6,120,24.2,na,na
8310,r055,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Black or African American",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Black or African American,6,247,37.7,109,33.0,138,41.3,10,60.0,na,na
8310,r056,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> Native Hawaiian or Other Pacific Islander",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,Native Hawaiian or Other Pacific Islander,6,3,33.3,0,-,3,33.3,0,-,na,na
8310,r057,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> White",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,White,6,3310,32.1,988,31.5,2322,32.3,214,30.8,na,na
8310,r058,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> More than one race",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,More than one race,6,216,33.8,75,36.0,141,32.6,10,30.0,na,na
8310,r059,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> U.S. citizens and permanent residents<sup>a</sup> -> Unknown ethnicity and race",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",U.S. citizens and permanent residents<sup>a</sup>,Unknown ethnicity and race,,5,190,37.9,70,40.0,120,36.7,31,22.6,na,na
8310,r060,"All surveyed fields -> Engineering -> Chemical, petroleum, and chemical-related engineering -> Temporary visa holders",All surveyed fields,Engineering,"Chemical, petroleum, and chemical-related engineering",Temporary visa holders,,,4,5262,33.0,1204,33.4,4058,32.9,760,23.7,na,na
8310,r061,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",,,,3,19608,34.9,11730,34.8,7878,35.1,968,30.5,479,25.7
8310,r062,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> U.S. citizens and permanent residents<sup>a</sup>",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",U.S. citizens and permanent residents<sup>a</sup>,,,4,10280,38.8,7705,36.8,2575,44.6,343,35.0,na,na
8310,r063,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> U.S. citizens and permanent residents<sup>a</sup> -> Hispanic or Latino",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",U.S. citizens and permanent residents<sup>a</sup>,Hispanic or Latino,,5,1500,39.4,1196,36.9,304,49.3,23,30.4,na,na
8310,r064,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,,5,,,,,,,,,,
8310,r065,"All surveyed fields -> Engineering -> Civil, environmental, transportation and related engineering fields -> U.S. citizens and permanent residents<sup>a</sup> -> Not Hispanic or Latino -> American Indian or Alaska Native",All surveyed fields,Engineering,"Civil, environmental, transportation and related engineering fields",U.S. citizens and permanent residents<sup>a</sup>,Not Hispanic or Latino,American Indian or Alaska Native,6,55,36.4,41,43.9,14,14.3,3,66.7,na,na
