table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total_number,field_total_percent,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_number,field_u_s_citizens_and_permanent_residents_hispanic_or_latino_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_american_indian_or_alaska_native_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_asian_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_black_or_african_american_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_native_hawaiian_or_other_pacific_islander_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_white_percent,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_number,field_u_s_citizens_and_permanent_residents_not_hispanic_or_latino_more_than_one_race_percent,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_number,field_u_s_citizens_and_permanent_residents_unknown_ethnicity_and_race_percent,field_temporary_visa_holders_number,field_temporary_visa_holders_percent
8313,r001,All graduate students,All graduate students,,,,1,760156,100.0,69174,100.0,2105,100.0,60203,100.0,45302,100.0,792,100.0,294198,100.0,19471,100.0,24352,100.0,244559,100.0
8313,r002,All graduate students -> Science,All graduate students,Science,,,2,509784,67.1,48343,69.9,1443,68.6,39413,65.5,31021,68.5,561,70.8,201768,68.6,13468,69.2,17432,71.6,156335,63.9
8313,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,11244,1.5,926,1.3,34,1.6,389,0.6,407,0.9,13,1.6,5772,2.0,244,1.3,224,0.9,3235,1.3
8313,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,100883,13.3,10508,15.2,253,12.0,10250,17.0,6587,14.5,140,17.7,46065,15.7,3109,16.0,3205,13.2,20766,8.5
8313,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,121730,16.0,5603,8.1,142,6.7,12837,21.3,5922,13.1,87,11.0,26802,9.1,2059,10.6,3487,14.3,64791,26.5
8313,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,12290,1.6,1068,1.5,32,1.5,418,0.7,303,0.7,8,1.0,7118,2.4,403,2.1,384,1.6,2556,1.0
8313,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,34258,4.5,1979,2.9,35,1.7,2842,4.7,742,1.6,14,1.8,10296,3.5,558,2.9,859,3.5,16933,6.9
8313,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,15768,2.1,1519,2.2,30,1.4,1489,2.5,981,2.2,18,2.3,6382,2.2,441,2.3,484,2.0,4424,1.8
8313,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,13922,1.8,1304,1.9,129,6.1,472,0.8,519,1.1,33,4.2,8619,2.9,479,2.5,433,1.8,1934,0.8
8313,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,44141,5.8,3287,4.8,72,3.4,2720,4.5,1145,2.5,20,2.5,18104,6.2,1036,5.3,1049,4.3,16708,6.8
8313,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,73325,9.6,13155,19.0,295,14.0,3827,6.4,7639,16.9,108,13.6,37135,12.6,2829,14.5,4109,16.9,4228,1.7
8313,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,82223,10.8,8994,13.0,421,20.0,4169,6.9,6776,15.0,120,15.2,35475,12.1,2310,11.9,3198,13.1,20760,8.5
8313,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,168050,22.1,10821,15.6,286,13.6,13412,22.3,4847,10.7,98,12.4,52168,17.7,3478,17.9,3555,14.6,79385,32.5
8313,r014,"All graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,7838,1.0,688,1.0,17,0.8,767,1.3,170,0.4,11,1.4,3961,1.3,276,1.4,184,0.8,1764,0.7
8313,r015,"All graduate students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Engineering,"Biological, biomedical, and biosystems engineering",,3,14059,1.8,1053,1.5,15,0.7,1878,3.1,544,1.2,14,1.8,5239,1.8,433,2.2,379,1.6,4504,1.8
8313,r016,"All graduate students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,10696,1.4,568,0.8,21,1.0,879,1.5,247,0.5,3,0.4,3310,1.1,216,1.1,190,0.8,5262,2.2
8313,r017,"All graduate students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Engineering,"Civil, environmental, transportation and related engineering fields",,3,19608,2.6,1500,2.2,55,2.6,1176,2.0,577,1.3,17,2.1,6213,2.1,367,1.9,375,1.5,9328,3.8
8313,r018,"All graduate students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Engineering,"Electrical, electronics, communications and computer engineering",,3,45265,6.0,2192,3.2,52,2.5,3619,6.0,990,2.2,12,1.5,9273,3.2,652,3.3,791,3.2,27684,11.3
8313,r019,"All graduate students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,15870,2.1,1182,1.7,27,1.3,1112,1.8,642,1.4,12,1.5,4961,1.7,285,1.5,426,1.7,7223,3.0
8313,r020,All graduate students -> Engineering -> Mechanical engineering,All graduate students,Engineering,Mechanical engineering,,3,27258,3.6,2055,3.0,39,1.9,2018,3.4,603,1.3,11,1.4,9167,3.1,612,3.1,601,2.5,12152,5.0
