table_id,row_id,_b_broad_field_b_full_path,_b_broad_field_b_level_1,_b_broad_field_b_level_2,_b_broad_field_b_level_3,_b_broad_field_b_level_4,_b_broad_field_b_hierarchy_depth,field_total,field_fellowships_number,field_fellowships_percent,field_research_assistantships_number,field_research_assistantships_percent,field_teaching_assistantships_number,field_teaching_assistantships_percent,field_traineeships_number,field_traineeships_percent,field_other_types_of_support_self_support_number,field_other_types_of_support_self_support_percent,field_other_types_of_support_other_number,field_other_types_of_support_other_percent
8318,r001,All graduate students,All graduate students,,,,1,543823,50212,9.2,124894,23.0,84293,15.5,11621,2.1,225770,41.5,47033,8.6
8318,r002,All graduate students -> Science,All graduate students,Science,,,2,366207,36018,9.8,78092,21.3,66466,18.1,9110,2.5,146771,40.1,29750,8.1
8318,r003,All graduate students -> Science -> Agricultural and veterinary sciences,All graduate students,Science,Agricultural and veterinary sciences,,3,7754,428,5.5,4527,58.4,900,11.6,27,0.3,1400,18.1,472,6.1
8318,r004,All graduate students -> Science -> Biological and biomedical sciences,All graduate students,Science,Biological and biomedical sciences,,3,82218,11394,13.9,26411,32.1,10685,13.0,5845,7.1,21237,25.8,6646,8.1
8318,r005,All graduate students -> Science -> Computer and information sciences,All graduate students,Science,Computer and information sciences,,3,75637,2785,3.7,9819,13.0,7575,10.0,359,0.5,48051,63.5,7048,9.3
8318,r006,"All graduate students -> Science -> Geosciences, atmospheric sciences, and ocean sciences",All graduate students,Science,"Geosciences, atmospheric sciences, and ocean sciences",,3,9863,1152,11.7,4170,42.3,2493,25.3,94,1.0,1341,13.6,613,6.2
8318,r007,All graduate students -> Science -> Mathematics and statistics,All graduate students,Science,Mathematics and statistics,,3,26522,2036,7.7,2515,9.5,8813,33.2,211,0.8,11687,44.1,1260,4.8
8318,r008,All graduate students -> Science -> Multidisciplinary and interdisciplinary studies,All graduate students,Science,Multidisciplinary and interdisciplinary studies,,3,9650,1281,13.3,1043,10.8,857,8.9,186,1.9,5401,56.0,882,9.1
8318,r009,All graduate students -> Science -> Natural resources and conservation,All graduate students,Science,Natural resources and conservation,,3,9476,991,10.5,2735,28.9,1350,14.2,88,0.9,3580,37.8,732,7.7
8318,r010,All graduate students -> Science -> Physical sciences,All graduate students,Science,Physical sciences,,3,38847,4839,12.5,15494,39.9,13290,34.2,597,1.5,3186,8.2,1441,3.7
8318,r011,All graduate students -> Science -> Psychology,All graduate students,Science,Psychology,,3,47699,2120,4.4,5084,10.7,6370,13.4,789,1.7,28860,60.5,4476,9.4
8318,r012,All graduate students -> Science -> Social sciences,All graduate students,Science,Social sciences,,3,58541,8992,15.4,6294,10.8,14133,24.1,914,1.6,22028,37.6,6180,10.6
8318,r013,All graduate students -> Engineering,All graduate students,Engineering,,,2,122853,11401,9.3,41601,33.9,13889,11.3,1230,1.0,44337,36.1,10395,8.5
8318,r014,"All graduate students -> Engineering -> Aerospace, aeronautical, and astronautical engineering",All graduate students,Engineering,"Aerospace, aeronautical, and astronautical engineering",,3,5161,452,8.8,1870,36.2,611,11.8,60,1.2,1649,32.0,519,10.1
8318,r015,"All graduate students -> Engineering -> Biological, biomedical, and biosystems engineering",All graduate students,Engineering,"Biological, biomedical, and biosystems engineering",,3,12066,1838,15.2,4630,38.4,956,7.9,418,3.5,3146,26.1,1078,8.9
8318,r016,"All graduate students -> Engineering -> Chemical, petroleum, and chemical-related engineering",All graduate students,Engineering,"Chemical, petroleum, and chemical-related engineering",,3,9416,1403,14.9,4578,48.6,1167,12.4,91,1.0,1591,16.9,586,6.2
8318,r017,"All graduate students -> Engineering -> Civil, environmental, transportation and related engineering fields",All graduate students,Engineering,"Civil, environmental, transportation and related engineering fields",,3,14218,1338,9.4,4944,34.8,1836,12.9,99,0.7,4777,33.6,1224,8.6
8318,r018,"All graduate students -> Engineering -> Electrical, electronics, communications and computer engineering",All graduate students,Engineering,"Electrical, electronics, communications and computer engineering",,3,33744,2285,6.8,9530,28.2,3775,11.2,181,0.5,15395,45.6,2578,7.6
8318,r019,"All graduate students -> Engineering -> Industrial, manufacturing, systems engineering and operations research",All graduate students,Engineering,"Industrial, manufacturing, systems engineering and operations research",,3,9338,528,5.7,1658,17.8,934,10.0,57,0.6,4924,52.7,1237,13.2
8318,r020,All graduate students -> Engineering -> Mechanical engineering,All graduate students,Engineering,Mechanical engineering,,3,20236,1724,8.5,6896,34.1,2894,14.3,191,0.9,6745,33.3,1786,8.8
8318,r021,"All graduate students -> Engineering -> Metallurgical, mining, materials and related engineering fields",All graduate students,Engineering,"Metallurgical, mining, materials and related engineering fields",,3,6171,740,12.0,3066,49.7,609,9.9,53,0.9,1347,21.8,356,5.8
8318,r022,All graduate students -> Engineering -> Other engineering,All graduate students,Engineering,Other engineering,,3,12503,1093,8.7,4429,35.4,1107,8.9,80,0.6,4763,38.1,1031,8.2
