table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_number,field_graduate_students_all_graduate_students_percent,field_graduate_students_master_s_number,field_graduate_students_master_s_percent,field_graduate_students_doctoral_number,field_graduate_students_doctoral_percent,field_postdoctoral_appointees_number,field_postdoctoral_appointees_percent,field_doctorate_holding_nonfaculty_researchers_number,field_doctorate_holding_nonfaculty_researchers_percent
8320,r001,All detailed fields,All detailed fields,,,,1,760156,100.0,466613,100.0,293543,100.0,63328,100.0,30548,100.0
8320,r002,All detailed fields -> Science,All detailed fields,Science,,,2,509784,67.1,305796,65.5,203988,69.5,37189,58.7,18728,61.3
8320,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,11244,1.5,6801,1.5,4443,1.5,1595,2.5,902,3.0
8320,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,9696,1.3,5790,1.2,3906,1.3,1086,1.7,602,2.0
8320,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,1548,0.2,1011,0.2,537,0.2,509,0.8,300,1.0
8320,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,100883,13.3,42728,9.2,58155,19.8,20245,32.0,8187,26.8
8320,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5833,0.8,1005,0.2,4828,1.6,1743,2.8,822,2.7
8320,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15694,2.1,8294,1.8,7400,2.5,1979,3.1,784,2.6
8320,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,10620,1.4,5794,1.2,4826,1.6,1906,3.0,419,1.4
8320,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,979,0.1,6,0.05,973,0.3,156,0.2,77,0.3
8320,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,7110,0.9,3519,0.8,3591,1.2,733,1.2,338,1.1
8320,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3523,0.5,3395,0.7,128,0.05,101,0.2,87,0.3
8320,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,1632,0.2,363,0.1,1269,0.4,520,0.8,230,0.8
8320,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,6500,0.9,1210,0.3,5290,1.8,1663,2.6,533,1.7
8320,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,3991,0.5,1201,0.3,2790,1.0,430,0.7,250,0.8
8320,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,5785,0.8,3623,0.8,2162,0.7,329,0.5,128,0.4
8320,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,3167,0.4,718,0.2,2449,0.8,1384,2.2,591,1.9
8320,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,6382,0.8,2011,0.4,4371,1.5,1865,2.9,711,2.3
