table_id,row_id,_b_detailed_field_b_full_path,_b_detailed_field_b_level_1,_b_detailed_field_b_level_2,_b_detailed_field_b_level_3,_b_detailed_field_b_level_4,_b_detailed_field_b_hierarchy_depth,field_graduate_students_all_graduate_students_total_number,field_graduate_students_all_graduate_students_percent_female,field_graduate_students_master_s_total_number,field_graduate_students_master_s_percent_female,field_graduate_students_doctoral_total_number,field_graduate_students_doctoral_percent_female,field_postdoctoral_appointees_total_number,field_postdoctoral_appointees_percent_female,field_doctorate_holding_nonfaculty_researchers_total_number,field_doctorate_holding_nonfaculty_researchers_percent_female
8321,r001,All detailed fields,All detailed fields,,,,1,760156,49.1,466613,51.4,293543,45.4,63328,42.3,30548,42.3
8321,r002,All detailed fields -> Science,All detailed fields,Science,,,2,509784,51.6,305796,53.0,203988,49.4,37189,41.9,18728,41.5
8321,r003,All detailed fields -> Science -> Agricultural and veterinary sciences,All detailed fields,Science,Agricultural and veterinary sciences,,3,11244,60.2,6801,63.1,4443,55.7,1595,46.3,902,48.2
8321,r004,All detailed fields -> Science -> Agricultural and veterinary sciences -> Agricultural sciences,All detailed fields,Science,Agricultural and veterinary sciences,Agricultural sciences,4,9696,58.3,5790,60.6,3906,54.8,1086,42.4,602,43.5
8321,r005,All detailed fields -> Science -> Agricultural and veterinary sciences -> Veterinary biomedical and clinical sciences,All detailed fields,Science,Agricultural and veterinary sciences,Veterinary biomedical and clinical sciences,4,1548,71.9,1011,77.0,537,62.4,509,54.6,300,57.7
8321,r006,All detailed fields -> Science -> Biological and biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,,3,100883,61.2,42728,66.2,58155,57.5,20245,45.9,8187,47.2
8321,r007,All detailed fields -> Science -> Biological and biomedical sciences -> Biochemistry,All detailed fields,Science,Biological and biomedical sciences,Biochemistry,4,5833,53.2,1005,57.2,4828,52.3,1743,40.5,822,40.1
8321,r008,All detailed fields -> Science -> Biological and biomedical sciences -> Biology ,All detailed fields,Science,Biological and biomedical sciences,Biology ,4,15694,61.1,8294,64.4,7400,57.4,1979,45.7,784,49.6
8321,r009,All detailed fields -> Science -> Biological and biomedical sciences -> Biomedical sciences,All detailed fields,Science,Biological and biomedical sciences,Biomedical sciences,4,10620,63.8,5794,67.2,4826,59.7,1906,47.3,419,44.4
8321,r010,All detailed fields -> Science -> Biological and biomedical sciences -> Biophysics,All detailed fields,Science,Biological and biomedical sciences,Biophysics,4,979,39.4,6,16.7,973,39.6,156,40.4,77,40.3
8321,r011,All detailed fields -> Science -> Biological and biomedical sciences -> Biostatistics and bioinformatics ,All detailed fields,Science,Biological and biomedical sciences,Biostatistics and bioinformatics ,4,7110,51.9,3519,57.5,3591,46.4,733,40.9,338,46.2
8321,r012,All detailed fields -> Science -> Biological and biomedical sciences -> Biotechnology,All detailed fields,Science,Biological and biomedical sciences,Biotechnology,4,3523,60.9,3395,61.0,128,59.4,101,40.6,87,42.5
8321,r013,All detailed fields -> Science -> Biological and biomedical sciences -> Botany and plant biology,All detailed fields,Science,Biological and biomedical sciences,Botany and plant biology,4,1632,54.5,363,59.0,1269,53.2,520,46.2,230,50.4
8321,r014,"All detailed fields -> Science -> Biological and biomedical sciences -> Cell, cellular biology, and anatomical sciences",All detailed fields,Science,Biological and biomedical sciences,"Cell, cellular biology, and anatomical sciences",4,6500,58.4,1210,62.0,5290,57.5,1663,45.8,533,44.8
8321,r015,All detailed fields -> Science -> Biological and biomedical sciences -> Ecology and population biology,All detailed fields,Science,Biological and biomedical sciences,Ecology and population biology,4,3991,60.7,1201,64.4,2790,59.1,430,49.8,250,38.0
8321,r016,All detailed fields -> Science -> Biological and biomedical sciences -> Epidemiology,All detailed fields,Science,Biological and biomedical sciences,Epidemiology,4,5785,73.8,3623,74.4,2162,72.8,329,60.2,128,58.6
8321,r017,All detailed fields -> Science -> Biological and biomedical sciences -> Genetics,All detailed fields,Science,Biological and biomedical sciences,Genetics,4,3167,63.5,718,79.4,2449,58.9,1384,43.9,591,47.4
8321,r018,All detailed fields -> Science -> Biological and biomedical sciences -> Microbiological sciences and immunology,All detailed fields,Science,Biological and biomedical sciences,Microbiological sciences and immunology,4,6382,62.1,2011,68.9,4371,59.0,1865,50.6,711,53.3
8321,r019,All detailed fields -> Science -> Biological and biomedical sciences -> Molecular biology,All detailed fields,Science,Biological and biomedical sciences,Molecular biology,4,1670,58.7,405,66.2,1265,56.4,634,41.8,239,38.1
8321,r020,All detailed fields -> Science -> Biological and biomedical sciences -> Neurobiology and neuroscience,All detailed fields,Science,Biological and biomedical sciences,Neurobiology and neuroscience,4,6349,58.3,591,62.9,5758,57.8,1980,46.1,795,47.7
8321,r021,All detailed fields -> Science -> Biological and biomedical sciences -> Nutrition science,All detailed fields,Science,Biological and biomedical sciences,Nutrition science,4,3864,85.0,2871,87.6,993,77.7,152,69.1,137,62.0
8321,r022,All detailed fields -> Science -> Biological and biomedical sciences -> Pathology and experimental pathology,All detailed fields,Science,Biological and biomedical sciences,Pathology and experimental pathology,4,949,62.3,100,76.0,849,60.7,1043,43.9,382,52.9
8321,r023,All detailed fields -> Science -> Biological and biomedical sciences -> Pharmacology and toxicology,All detailed fields,Science,Biological and biomedical sciences,Pharmacology and toxicology,4,3300,61.7,926,66.3,2374,59.9,884,45.9,433,46.0
8321,r024,All detailed fields -> Science -> Biological and biomedical sciences -> Physiology,All detailed fields,Science,Biological and biomedical sciences,Physiology,4,5939,57.3,2898,58.5,3041,56.2,1537,47.5,663,50.4
8321,r025,All detailed fields -> Science -> Biological and biomedical sciences -> Zoology and animal biology,All detailed fields,Science,Biological and biomedical sciences,Zoology and animal biology,4,2140,56.8,927,58.7,1213,55.3,376,41.8,174,43.1
8321,r026,All detailed fields -> Science -> Biological and biomedical sciences -> Biological and biomedical sciences nec,All detailed fields,Science,Biological and biomedical sciences,Biological and biomedical sciences nec,4,5456,63.4,2871,66.4,2585,60.1,830,45.8,394,46.4
8321,r027,All detailed fields -> Science -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,,3,121730,31.8,102199,32.6,19531,27.6,880,25.5,457,24.7
8321,r028,"All detailed fields -> Science -> Computer and information sciences -> Artificial intelligence, informatics, and computer and information science topics ",All detailed fields,Science,Computer and information sciences,"Artificial intelligence, informatics, and computer and information science topics ",4,5191,36.0,4504,35.9,687,37.1,32,53.1,39,43.6
8321,r029,All detailed fields -> Science -> Computer and information sciences -> Computer and information sciences,All detailed fields,Science,Computer and information sciences,Computer and information sciences,4,36972,27.8,30804,28.5,6168,24.5,185,21.1,111,18.0
