table_id,row_id,budget_function_and_agency_full_path,budget_function_and_agency_level_1,budget_function_and_agency_level_2,budget_function_and_agency_level_3,budget_function_and_agency_level_4,budget_function_and_agency_level_5,budget_function_and_agency_hierarchy_depth,field_2021_actual,field_2022_preliminarya,field_2023_proposed,field_2021_22_change_,field_2022_23_change_
8455,r001,R&D and R&D plant,R&D and R&D plant,,,,,1,104,102,25,-1.9,-75.5
8455,r002,R&D and R&D plant -> Community Development (451),R&D and R&D plant,Community Development (451),,,,2,9,5,20,-44.4,300.0
8455,r003,R&D and R&D plant -> Community Development (451) -> Department of Housing and Urban Development,R&D and R&D plant,Community Development (451),Department of Housing and Urban Development,,,3,9,5,20,-44.4,300.0
8455,r004,R&D and R&D plant -> Area and Regional Development (452),R&D and R&D plant,Area and Regional Development (452),,,,2,95,97,5,2.1,-94.8
8455,r005,R&D and R&D plant -> Area and Regional Development (452) -> Department of the Interior ,R&D and R&D plant,Area and Regional Development (452),Department of the Interior ,,,3,5,5,5,0.0,0.0
8455,r006,R&D and R&D plant -> Area and Regional Development (452) -> Department of the Interior  -> Bureau of Indian Affairs and Bureau of Indian Education,R&D and R&D plant,Area and Regional Development (452),Department of the Interior ,Bureau of Indian Affairs and Bureau of Indian Education,,4,5,5,5,0.0,0.0
8455,r007,R&D and R&D plant -> Area and Regional Development (452) -> Appalachian Regional Commission,R&D and R&D plant,Area and Regional Development (452),Appalachian Regional Commission,,,3,90,92,0,2.2,-100.0
8455,r008,R&D and R&D plant -> R&D,R&D and R&D plant,R&D,,,,2,104,102,25,-1.9,-75.5
8455,r009,R&D and R&D plant -> R&D -> Community Development (451),R&D and R&D plant,R&D,Community Development (451),,,3,9,5,20,-44.4,300.0
8455,r010,R&D and R&D plant -> R&D -> Community Development (451) -> Department of Housing and Urban Development,R&D and R&D plant,R&D,Community Development (451),Department of Housing and Urban Development,,4,9,5,20,-44.4,300.0
8455,r011,R&D and R&D plant -> R&D -> Area and Regional Development (452),R&D and R&D plant,R&D,Area and Regional Development (452),,,3,95,97,5,2.1,-94.8
8455,r012,R&D and R&D plant -> R&D -> Area and Regional Development (452) -> Department of the Interior,R&D and R&D plant,R&D,Area and Regional Development (452),Department of the Interior,,4,5,5,5,0.0,0.0
8455,r013,R&D and R&D plant -> R&D -> Area and Regional Development (452) -> Department of the Interior -> Bureau of Indian Affairs and Bureau of Indian Education,R&D and R&D plant,R&D,Area and Regional Development (452),Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,5,5,5,5,0.0,0.0
8455,r014,R&D and R&D plant -> R&D -> Area and Regional Development (452) -> Appalachian Regional Commission,R&D and R&D plant,R&D,Area and Regional Development (452),Appalachian Regional Commission,,4,90,92,0,2.2,-100.0
