table_id,row_id,business_activity_sup_a_sup_full_path,business_activity_sup_a_sup_level_1,business_activity_sup_a_sup_level_2,business_activity_sup_a_sup_hierarchy_depth,field_business_codeb,field_amount
8797,r001,All business activities,All business activities,,1,21100–81000,"['612,326', '  ']"
8797,r002,All business activities -> Oil and gas extraction,All business activities,Oil and gas extraction,2,21100,"['790', '  ']"
8797,r003,All business activities -> Mining,All business activities,Mining,2,21200,"['114', '  ']"
8797,r004,"All business activities -> Support activities for mining, including oil and gas",All business activities,"Support activities for mining, including oil and gas",2,21300,"['929', '  ']"
8797,r005,All business activities -> Utilities,All business activities,Utilities,2,22100,"['424', '  ']"
8797,r006,All business activities -> Construction,All business activities,Construction,2,23000,"['1,068', '  ']"
8797,r007,All business activities -> Food manufacturing,All business activities,Food manufacturing,2,31100,"['6,353', '  ']"
8797,r008,All business activities -> Beverage manufacturing,All business activities,Beverage manufacturing,2,31210,"['803', '  ']"
8797,r009,All business activities -> Tobacco manufacturing,All business activities,Tobacco manufacturing,2,31220,"['856', '  ']"
8797,r010,"All business activities -> Textile, apparel, and leather products manufacturing",All business activities,"Textile, apparel, and leather products manufacturing",2,31990,"['918', '  ']"
8797,r011,All business activities -> Wood products manufacturing,All business activities,Wood products manufacturing,2,32100,"['270', '  ']"
8797,r012,All business activities -> Paper manufacturing,All business activities,Paper manufacturing,2,32200,"['1,531', '  ']"
8797,r013,All business activities -> Printing and related support activities,All business activities,Printing and related support activities,2,32300,"['392', '  ']"
8797,r014,All business activities -> Petroleum refineries,All business activities,Petroleum refineries,2,32401,"['499 - 4,458', '  ']"
8797,r015,"All business activities -> Asphalt paving, roofing, and saturated materials manufacturing",All business activities,"Asphalt paving, roofing, and saturated materials manufacturing",2,32402,"['226', '  ']"
8797,r016,"All business activities -> Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",All business activities,"Other petroleum and coal products manufacturing, including motor oil, hydraulic fluid, and charcoal",2,32403,"['238', '  ']"
