table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_performed_by_the_company,field_performed_by_others
8798,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['93,463', '&nbsp;']","['82,975', '&nbsp;']","['10,489', '&nbsp;']"
8798,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['53,459', '&nbsp;']","['45,263', '&nbsp;']","['8,196', '&nbsp;']"
8798,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['260', '&nbsp;']","['253 - 260', '&nbsp;']","['1 - 7', '&nbsp;']"
8798,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['125', '&nbsp;']","['121', '&nbsp;']","['4', '&nbsp;']"
8798,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['9', '&nbsp;']","['9', '&nbsp;']","['*', '&nbsp;']"
8798,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['3', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']"
8798,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['1', '&nbsp;']","['1', '&nbsp;']","['*', 'i']"
8798,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']"
8798,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['102', '&nbsp;']","['89 - 103', '&nbsp;']","['0 - 13', '&nbsp;']"
8798,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['17,016', '&nbsp;']","['11,919', '&nbsp;']","['5,097', '&nbsp;']"
8798,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['176', '&nbsp;']","['175', '&nbsp;']","['1', '&nbsp;']"
8798,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['113', '&nbsp;']","['81', '&nbsp;']","['33', '&nbsp;']"
8798,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['305', '&nbsp;']","['291 - 306', '&nbsp;']","['0 - 13', '&nbsp;']"
8798,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['16,177', '&nbsp;']","['11,131', '&nbsp;']","['5,045', '&nbsp;']"
8798,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['199', '&nbsp;']","['192', '&nbsp;']","['7', '&nbsp;']"
8798,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['46', '&nbsp;']","['32 - 47', '&nbsp;']","['0 - 13', '&nbsp;']"
