table_id,row_id,industry_full_path,industry_level_1,industry_level_2,industry_level_3,industry_level_4,industry_level_5,industry_hierarchy_depth,field_naics_code,field_company_size_domestic_employees_all_companies,field_company_size_domestic_employees_10_19a,field_company_size_domestic_employees_20_49,field_company_size_domestic_employees_50_99,field_company_size_domestic_employees_100_249,field_company_size_domestic_employees_,field_company_size_domestic_employees_250_499,field_company_size_domestic_employees_500_999,field_company_size_domestic_employees_1_000_4_999,field_company_size_domestic_employees_5_000_9_999,field_company_size_domestic_employees_10_000_24_999,field_company_size_domestic_employees_25_000_or_more
8802,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['537,619', '  ']","['5,047', '  ']","['12,994', '  ']","['12,993', '  ']",25411,,"['20,878', '  ']","['21,264', '  ']","['88,238', '  ']","['48,397', '  ']","['88,567', '  ']","['213,829', '  ']"
8802,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['308,445', '  ']","['1,697', '  ']","['6,269', '  ']","['7,009', '  ']",13189,,"['10,155', '  ']","['12,963', '  ']","['47,984', '  ']","['33,421', '  ']","['66,449', '  ']","['109,310', '  ']"
8802,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['5,239', '  ']","['18', '  ']","['94', '  ']","['98', '  ']",176,,"['188', '  ']","['242', '  ']","['540', '  ']","['1,051', '  ']","['1,941', '  ']","['891', 'i ']"
8802,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,177', 'i ']","['7', '  ']","['8', '  ']","['23', '  ']",18,,"['116', '  ']","['16', '  ']","['41', '  ']","['349', '  ']","['74', '  ']","['524', 'i ']"
8802,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['822', '  ']","['5', '  ']","['6', '  ']","['17', '  ']",37,,"['8', '  ']","['50', '  ']","['138', '  ']","['278', '  ']","['94', 'i ']","['188', '  ']"
8802,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['187', '  ']","['0', '  ']","['8', '  ']","['13', '  ']",11,,"['11', '  ']","['13', '  ']","['38', '  ']","['89', '  ']","['5', '  ']","['0', '  ']"
8802,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['928', '  ']","['0', '  ']","['5', '  ']","['6', '  ']",33,,"['12', '  ']","['6', '  ']","['182', '  ']","['67', '  ']","['338', '  ']","['279', '  ']"
8802,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['283', '  ']","['* ', '  ']","['9', '  ']","['14', '  ']",65,i ,"['18', '  ']","['14', '  ']","['58', '  ']","['33', '  ']","['72', 'i ']","['0', '  ']"
8802,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,311 - 1,324', '  ']","['8', '  ']","['15', '  ']","['119', '  ']",15,,"['14', '  ']","['137', '  ']","['71', '  ']","['16', '  ']","['2 - 330', '  ']","['582 - 931', '  ']"
8802,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['101,079', '  ']","['892', '  ']","['3,107', '  ']","['3,084', '  ']",6928,,"['3,894', '  ']","['4,599', '  ']","['16,445', '  ']","['11,672', '  ']","['32,063', '  ']","['18,396', '  ']"
8802,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['2,694', '  ']","['4', '  ']","['174', '  ']","['167', '  ']",229,,"['97', '  ']","['163', '  ']","['1,160', '  ']","['301', '  ']","['381', '  ']","['18', '  ']"
8802,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['1,234', '  ']","['1', '  ']","['26', '  ']","['40', '  ']",77,,"['67', '  ']","['91', '  ']","['159', '  ']","['0', '  ']","['772', '  ']","['0', '  ']"
8802,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['1,060 - 1,066', '  ']","['17', '  ']","['17', '  ']","['31', '  ']",27,,"['11', '  ']","['5', '  ']","['516', '  ']","['0', '  ']","['432 - 445', '  ']","['0', '  ']"
8802,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['91,776', '  ']","['837', '  ']","['2,777', '  ']","['2,755', '  ']",6367,,"['3,552', '  ']","['4,202', '  ']","['13,721', '  ']","['11,182', '  ']","['28,333', '  ']","['18,049', '  ']"
8802,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['2,665', '  ']","['12', '  ']","['46', '  ']","['25', '  ']",158,,"['45', '  ']","['58', '  ']","['463', 'i ']","['188', '  ']","['1,470', '  ']","['200', 'i ']"
8802,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['1,643 - 1,649', '  ']","['21', '  ']","['66', '  ']","['65', '  ']",70,,"['122', '  ']","['79', '  ']","['426', '  ']","['0', '  ']","['661 - 674', '  ']","['129', 'i ']"
8802,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['2,634', '  ']","['5', '  ']","['111', '  ']","['122', '  ']",245,,"['177', '  ']","['355', '  ']","['1,033', '  ']","['174', '  ']","['181', '  ']","['232', '  ']"
8802,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['1,717', 'i ']","['1', '  ']","['0 - 134', 'i ']","['31', '  ']",117,,"['0 - 205', '  ']","['107', '  ']","['172', '  ']","['288', '  ']","['0', '  ']","['660 - 1,005', 'i ']"
8802,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['815', '  ']","['0', '  ']","['107', '  ']","['52', '  ']",64,,"['28', '  ']","['36', '  ']","['285', '  ']","['223', '  ']","['21', '  ']","['0', '  ']"
8802,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['3,396', '  ']","['201', '  ']","['421', '  ']","['518', '  ']",702,,"['297', '  ']","['298', '  ']","['699', '  ']","['145', '  ']","['116', '  ']","['0', '  ']"
8802,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['16,223', '  ']","['97', '  ']","['571', '  ']","['875', '  ']",1047,,"['676', '  ']","['654', '  ']","['2,522', '  ']","['3,552', '  ']","['3,481', '  ']","['2,748', '  ']"
8802,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['1,769 - 1,811', '  ']","['1', '  ']","['22', '  ']","['0 - 698', '  ']",48,,"['0 - 583', '  ']","['57', '  ']","['141', '  ']","['433', '  ']","['0', '  ']","['0 - 1,112', '  ']"
8802,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['4,807', '  ']","['5', '  ']","['19', '  ']","['58', '  ']",41,,"['42', '  ']","['173', 'i ']","['1,380', '  ']","['1,258', '  ']","['1,829', '  ']","['0', '  ']"
8802,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['1,645', '  ']","['0', '  ']","['18', '  ']","['36', '  ']",59,,"['46', '  ']","['68', '  ']","['51', 'i ']","['1,367', '  ']","['0', '  ']","['0', '  ']"
8802,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['7,959 - 8,001', '  ']","['91', '  ']","['511', '  ']","['84 - 783', '  ']",898,,"['6 - 589', '  ']","['356', '  ']","['950', '  ']","['494', '  ']","['1,651', 'i ']","['1,635 - 2,749', '  ']"
