table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_paid_for_by_the_company_total,field_paid_for_by_the_company_r_d_performed_by_others_purchased_and_collaborative_r_d_,field_paid_for_by_the_company_r_d_performed_by_the_company,field_paid_for_by_others_total,field_paid_for_by_others_r_d_performed_by_others_subcontracted_passed_through_r_d_costs_,field_paid_for_by_others_r_d_performed_by_the_company_total,field_paid_for_by_others_r_d_performed_by_the_company_paid_for_by_the_u_s_government,field_paid_for_by_others_r_d_performed_by_the_company_paid_for_by_non_u_s_government_sources
8835,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['504,793', '&nbsp;']","['38,631', '&nbsp;']","['466,162', '&nbsp;']","['80,901', '&nbsp;']","['9,444', '&nbsp;']","['71,457', '&nbsp;']","['28,905', '&nbsp;']","['42,552', '&nbsp;']"
8835,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['299,199', '&nbsp;']","['34,602', '&nbsp;']","['264,596', '&nbsp;']","['51,077', '&nbsp;']","['7,228', '&nbsp;']","['43,848', '&nbsp;']","['21,710', 'i']","['22,139', '&nbsp;']"
8835,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['5,241', '&nbsp;']","['255', '&nbsp;']","['4,985', '&nbsp;']","['255', '&nbsp;']","['1', '&nbsp;']","['254', '&nbsp;']","['0', '&nbsp;']","['254', '&nbsp;']"
8835,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['1,225', '&nbsp;']","['170', '&nbsp;']","['1,056', '&nbsp;']","['125', '&nbsp;']","['4', '&nbsp;']","['121', '&nbsp;']","['0', '&nbsp;']","['121', '&nbsp;']"
8835,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['823', '&nbsp;']","['10', '&nbsp;']","['812', '&nbsp;']","['9', '&nbsp;']","['*', '&nbsp;']","['9', '&nbsp;']","['5', '&nbsp;']","['4', '&nbsp;']"
8835,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['193', '&nbsp;']","['10', '&nbsp;']","['183', '&nbsp;']","['3', '&nbsp;']","['0', '&nbsp;']","['3', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']"
8835,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['934', '&nbsp;']","['7', '&nbsp;']","['927', '&nbsp;']","['0 - 2', '&nbsp;']","['0 - 1', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']"
8835,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['286', '&nbsp;']","['4', '&nbsp;']","['282', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']"
8835,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,416', '&nbsp;']","['195', '&nbsp;']","['1,222', '&nbsp;']","['102', '&nbsp;']","['0 - 12', '&nbsp;']","['89 - 103', '&nbsp;']","['0', '&nbsp;']","['89 - 103', '&nbsp;']"
8835,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['114,951', '&nbsp;']","['25,548', '&nbsp;']","['89,403', '&nbsp;']","['15,888', '&nbsp;']","['4,213', '&nbsp;']","['11,675', '&nbsp;']","['1,101', '&nbsp;']","['10,574', '&nbsp;']"
