table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total,field_domestic_r_d_total,field_domestic_r_d_land_acquisition,field_domestic_r_d_buildings_and_land_improvement,field_domestic_r_d_equipment,field_domestic_r_d_capitalized_software,field_domestic_r_d_all_other
8839,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['686,393', '&nbsp;']","['32,494', '&nbsp;']","['147', '&nbsp;']","['4,060', '&nbsp;']","['15,731', '&nbsp;']","['8,436', '&nbsp;']","['4,120', '&nbsp;']"
8839,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['288,842', '&nbsp;']","['19,727', '&nbsp;']","['123', '&nbsp;']","['3,073', '&nbsp;']","['11,666', '&nbsp;']","['2,576', '&nbsp;']","['2,289', '&nbsp;']"
8839,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['18,659', '&nbsp;']","['449', '&nbsp;']","['17', '&nbsp;']","['112', '&nbsp;']","['224', '&nbsp;']","['62', '&nbsp;']","['34', '&nbsp;']"
8839,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['5,895', 'i']","['115', '&nbsp;']","['*', '&nbsp;']","['58', '&nbsp;']","['43', '&nbsp;']","['1', '&nbsp;']","['12', '&nbsp;']"
8839,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['2,001', '&nbsp;']","['43', '&nbsp;']","['*', '&nbsp;']","['16', '&nbsp;']","['12', '&nbsp;']","['13', '&nbsp;']","['2', '&nbsp;']"
8839,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['1,381', '&nbsp;']","['10', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['4', '&nbsp;']","['*', '&nbsp;']","['3', '&nbsp;']"
8839,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['5,892', '&nbsp;']","['94', '&nbsp;']","['0', '&nbsp;']","['1', '&nbsp;']","['78', '&nbsp;']","['1', 'i']","['15', 'i']"
8839,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['1,583', '&nbsp;']","['66', '&nbsp;']","['0', '&nbsp;']","['*', '&nbsp;']","['11', '&nbsp;']","['53', '&nbsp;']","['2', 'i']"
8839,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['21,622', '&nbsp;']","['115', '&nbsp;']","['0', '&nbsp;']","['0 - 25', '&nbsp;']","['84', '&nbsp;']","['0 - 32', '&nbsp;']","['0 - 32', '&nbsp;']"
8839,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['57,186', '&nbsp;']","['5,311', '&nbsp;']","['19', '&nbsp;']","['1,661', '&nbsp;']","['2,336', '&nbsp;']","['452', '&nbsp;']","['844', '&nbsp;']"
8839,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['16,653', '&nbsp;']","['270', '&nbsp;']","['0', '&nbsp;']","['35', '&nbsp;']","['211', '&nbsp;']","['5', '&nbsp;']","['19', '&nbsp;']"
8839,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['8,257', 'i']","['106', '&nbsp;']","['2', '&nbsp;']","['21', '&nbsp;']","['77', '&nbsp;']","['5', '&nbsp;']","['1', '&nbsp;']"
