table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_total_employment,field_total_r_d_employment,field_researchersa_total,field_researchersa_with_phd,field_r_d_technicians_and_equivalent_staff,field_other_r_d_supporting_staff
8843,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['33,086', '&nbsp;']","['2,847', '&nbsp;']","['1,924', '&nbsp;']","['163', '&nbsp;']","['658', '&nbsp;']","['265', '&nbsp;']"
8843,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['17,454', '&nbsp;']","['1,457', '&nbsp;']","['1,025', '&nbsp;']","['107', '&nbsp;']","['274', '&nbsp;']","['157', '&nbsp;']"
8843,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['1,723', '&nbsp;']","['44', '&nbsp;']","['23', '&nbsp;']","['4', '&nbsp;']","['12', '&nbsp;']","['9', '&nbsp;']"
8843,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['585', '&nbsp;']","['7', '&nbsp;']","['5', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']"
8843,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['428', '&nbsp;']","['8', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['1', 'i']"
8843,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['118', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['*', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']"
8843,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['294', '&nbsp;']","['8', '&nbsp;']","['5', '&nbsp;']","['*', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']"
8843,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['159', '&nbsp;']","['5', '&nbsp;']","['2', '&nbsp;']","['*', 'i']","['1', '&nbsp;']","['1', '&nbsp;']"
8843,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['167', '&nbsp;']","['8', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['4', '&nbsp;']","['1', '&nbsp;']"
8843,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['2,518', '&nbsp;']","['266', '&nbsp;']","['171', '&nbsp;']","['44', '&nbsp;']","['47', '&nbsp;']","['48', '&nbsp;']"
8843,r011,All industries -> Manufacturing industries -> Chemicals -> Basic chemicals,All industries,Manufacturing industries,Chemicals,Basic chemicals,,4,3251,"['462', '&nbsp;']","['19', '&nbsp;']","['10', '&nbsp;']","['3', '&nbsp;']","['7', '&nbsp;']","['1', '&nbsp;']"
8843,r012,"All industries -> Manufacturing industries -> Chemicals -> Resin, synthetic rubber, and artificial synthetic fibers and filaments",All industries,Manufacturing industries,Chemicals,"Resin, synthetic rubber, and artificial synthetic fibers and filaments",,4,3252,"['154', '&nbsp;']","['10', '&nbsp;']","['6', '&nbsp;']","['1', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']"
8843,r013,"All industries -> Manufacturing industries -> Chemicals -> Pesticide, fertilizer, and other agricultural chemicals",All industries,Manufacturing industries,Chemicals,"Pesticide, fertilizer, and other agricultural chemicals",,4,3253,"['95', '&nbsp;']","['5', '&nbsp;']","['3', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']","['1', '&nbsp;']"
8843,r014,All industries -> Manufacturing industries -> Chemicals -> Pharmaceuticals and medicines,All industries,Manufacturing industries,Chemicals,Pharmaceuticals and medicines,,4,3254,"['1,034', '&nbsp;']","['193', '&nbsp;']","['123', '&nbsp;']","['36', '&nbsp;']","['29', '&nbsp;']","['41', '&nbsp;']"
8843,r015,"All industries -> Manufacturing industries -> Chemicals -> Soap, cleaning compound, and toilet preparation",All industries,Manufacturing industries,Chemicals,"Soap, cleaning compound, and toilet preparation",,4,3256,"['445', '&nbsp;']","['17', '&nbsp;']","['13', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']","['2', '&nbsp;']"
8843,r016,"All industries -> Manufacturing industries -> Chemicals -> Paint, coating, adhesive, and other chemicals",All industries,Manufacturing industries,Chemicals,"Paint, coating, adhesive, and other chemicals",,4,"3255, 3259","['328', '&nbsp;']","['21', '&nbsp;']","['15', '&nbsp;']","['2', '&nbsp;']","['4', '&nbsp;']","['2', '&nbsp;']"
8843,r017,All industries -> Manufacturing industries -> Plastics and rubber products,All industries,Manufacturing industries,Plastics and rubber products,,,3,326,"['724', '&nbsp;']","['32', '&nbsp;']","['15', '&nbsp;']","['1', 'i']","['12', '&nbsp;']","['5', '&nbsp;']"
8843,r018,All industries -> Manufacturing industries -> Nonmetallic mineral products,All industries,Manufacturing industries,Nonmetallic mineral products,,,3,327,"['227', '&nbsp;']","['7', '&nbsp;']","['4', 'i']","['1', '&nbsp;']","['2', '&nbsp;']","['1', '&nbsp;']"
8843,r019,All industries -> Manufacturing industries -> Primary metals,All industries,Manufacturing industries,Primary metals,,,3,331,"['182', '&nbsp;']","['8', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']","['2', '&nbsp;']","['4', '&nbsp;']"
8843,r020,All industries -> Manufacturing industries -> Fabricated metal products,All industries,Manufacturing industries,Fabricated metal products,,,3,332,"['586', '&nbsp;']","['42', '&nbsp;']","['18', '&nbsp;']","['1', '&nbsp;']","['17', '&nbsp;']","['7', '&nbsp;']"
8843,r021,All industries -> Manufacturing industries -> Machinery,All industries,Manufacturing industries,Machinery,,,3,333,"['1,786', '&nbsp;']","['153', '&nbsp;']","['98', '&nbsp;']","['6', '&nbsp;']","['41', '&nbsp;']","['14', '&nbsp;']"
8843,r022,All industries -> Manufacturing industries -> Machinery -> Agricultural implement,All industries,Manufacturing industries,Machinery,Agricultural implement,,4,33311,"['160', '&nbsp;']","['18', 'i']","['12', 'i']","['1', '&nbsp;']","['4', 'i']","['2', 'i']"
8843,r023,All industries -> Manufacturing industries -> Machinery -> Semiconductor machinery,All industries,Manufacturing industries,Machinery,Semiconductor machinery,,4,333242,"['96', '&nbsp;']","['22', '&nbsp;']","['15', '&nbsp;']","['2', '&nbsp;']","['6', '&nbsp;']","['1', '&nbsp;']"
8843,r024,"All industries -> Manufacturing industries -> Machinery -> Engine, turbine, and power transmission equipment",All industries,Manufacturing industries,Machinery,"Engine, turbine, and power transmission equipment",,4,3336,"['226', '&nbsp;']","['12', '&nbsp;']","['9', '&nbsp;']","['1', '&nbsp;']","['2', '&nbsp;']","['*', '&nbsp;']"
8843,r025,All industries -> Manufacturing industries -> Machinery -> Other machinery,All industries,Manufacturing industries,Machinery,Other machinery,,4,other 333,"['1,304', '&nbsp;']","['102', '&nbsp;']","['62', '&nbsp;']","['2', '&nbsp;']","['29', '&nbsp;']","['11', '&nbsp;']"
8843,r026,All industries -> Manufacturing industries -> Computer and electronic products,All industries,Manufacturing industries,Computer and electronic products,,,3,334,"['2,642', '&nbsp;']","['459', '&nbsp;']","['385', '&nbsp;']","['32', 'i']","['44', '&nbsp;']","['30', '&nbsp;']"
8843,r027,All industries -> Manufacturing industries -> Computer and electronic products -> Communications equipment,All industries,Manufacturing industries,Computer and electronic products,Communications equipment,,4,3342,"['297', '&nbsp;']","['75', '&nbsp;']","['59', '&nbsp;']","['3', 'i']","['10', '&nbsp;']","['6', '&nbsp;']"
