table_id,row_id,location_full_path,location_level_1,location_level_2,location_level_3,location_hierarchy_depth,field_employees_total,field_employees_r_d
8848,r001,Total,Total,,,1,"['11,052', '&nbsp;']","['910', '&nbsp;']"
8848,r002,Total -> Puerto Rico<sup>a</sup>,Total,Puerto Rico<sup>a</sup>,,2,"['50', '&nbsp;']","['4', 'i']"
8848,r003,Total -> Canada,Total,Canada,,2,"['534', '&nbsp;']","['55', '&nbsp;']"
8848,r004,Total -> Latin America and other Western Hemisphere,Total,Latin America and other Western Hemisphere,,2,"['1,749', '&nbsp;']","['42', '&nbsp;']"
8848,r005,Total -> Latin America and other Western Hemisphere -> Argentina,Total,Latin America and other Western Hemisphere,Argentina,3,"['79', '&nbsp;']","['4', 'i']"
8848,r006,Total -> Latin America and other Western Hemisphere -> Brazil,Total,Latin America and other Western Hemisphere,Brazil,3,"['359', '&nbsp;']","['12', '&nbsp;']"
8848,r007,Total -> Latin America and other Western Hemisphere -> Chile,Total,Latin America and other Western Hemisphere,Chile,3,"['54', '&nbsp;']","['1', '&nbsp;']"
8848,r008,Total -> Latin America and other Western Hemisphere -> Mexico,Total,Latin America and other Western Hemisphere,Mexico,3,"['952', '&nbsp;']","['17', '&nbsp;']"
8848,r009,Total -> Latin America and other Western Hemisphere -> Other Latin American and Western Hemisphere locations,Total,Latin America and other Western Hemisphere,Other Latin American and Western Hemisphere locations,3,"['305', '&nbsp;']","['7', '&nbsp;']"
8848,r010,Total -> Africa,Total,Africa,,2,"['133', '&nbsp;']","['6', '&nbsp;']"
8848,r011,Total -> Africa -> South Africa,Total,Africa,South Africa,3,"['62', '&nbsp;']","['4', '&nbsp;']"
8848,r012,Total -> Africa -> Other African locations,Total,Africa,Other African locations,3,"['71', '&nbsp;']","['1', '&nbsp;']"
8848,r013,Total -> Asia and Pacific,Total,Asia and Pacific,,2,"['3,299', '&nbsp;']","['418', '&nbsp;']"
8848,r014,Total -> Asia and Pacific -> Australia,Total,Asia and Pacific,Australia,3,"['160', '&nbsp;']","['13', '&nbsp;']"
8848,r015,Total -> Asia and Pacific -> China,Total,Asia and Pacific,China,3,"['906', '&nbsp;']","['88', '&nbsp;']"
8848,r016,Total -> Asia and Pacific -> Hong Kong,Total,Asia and Pacific,Hong Kong,3,"['43', '&nbsp;']","['1', '&nbsp;']"
8848,r017,Total -> Asia and Pacific -> India,Total,Asia and Pacific,India,3,"['1,043', '&nbsp;']","['227', '&nbsp;']"
8848,r018,Total -> Asia and Pacific -> Indonesia,Total,Asia and Pacific,Indonesia,3,"['82', '&nbsp;']","['*', '&nbsp;']"
8848,r019,Total -> Asia and Pacific -> Japan,Total,Asia and Pacific,Japan,3,"['250', '&nbsp;']","['24', '&nbsp;']"
8848,r020,Total -> Asia and Pacific -> Malaysia,Total,Asia and Pacific,Malaysia,3,"['112', '&nbsp;']","['8', '&nbsp;']"
8848,r021,Total -> Asia and Pacific -> New Zealand,Total,Asia and Pacific,New Zealand,3,"['16', '&nbsp;']","['2', '&nbsp;']"
8848,r022,Total -> Asia and Pacific -> Singapore,Total,Asia and Pacific,Singapore,3,"['132', '&nbsp;']","['11', '&nbsp;']"
8848,r023,Total -> Asia and Pacific -> South Korea,Total,Asia and Pacific,South Korea,3,"['94', '&nbsp;']","['12', '&nbsp;']"
8848,r024,Total -> Asia and Pacific -> Taiwan,Total,Asia and Pacific,Taiwan,3,"['91', '&nbsp;']","['17', '&nbsp;']"
8848,r025,Total -> Asia and Pacific -> Thailand,Total,Asia and Pacific,Thailand,3,"['123', '&nbsp;']","['4', '&nbsp;']"
8848,r026,Total -> Asia and Pacific -> Other Asian or Pacific locations,Total,Asia and Pacific,Other Asian or Pacific locations,3,"['246', '&nbsp;']","['10', '&nbsp;']"
8848,r027,Total -> Europe,Total,Europe,,2,"['3,212', '&nbsp;']","['302', '&nbsp;']"
8848,r028,Total -> Europe -> Austria,Total,Europe,Austria,3,"['23', '&nbsp;']","['3', '&nbsp;']"
8848,r029,Total -> Europe -> Belgium,Total,Europe,Belgium,3,"['105', '&nbsp;']","['12', '&nbsp;']"
8848,r030,Total -> Europe -> Czechia,Total,Europe,Czechia,3,"['79', '&nbsp;']","['6', '&nbsp;']"
8848,r031,Total -> Europe -> Denmark,Total,Europe,Denmark,3,"['25', '&nbsp;']","['3', '&nbsp;']"
8848,r032,Total -> Europe -> Finland,Total,Europe,Finland,3,"['18', '&nbsp;']","['3', '&nbsp;']"
8848,r033,Total -> Europe -> France,Total,Europe,France,3,"['290', '&nbsp;']","['22', '&nbsp;']"
8848,r034,Total -> Europe -> Germany,Total,Europe,Germany,3,"['504', '&nbsp;']","['56', '&nbsp;']"
8848,r035,Total -> Europe -> Hungary,Total,Europe,Hungary,3,"['53', '&nbsp;']","['3', '&nbsp;']"
8848,r036,Total -> Europe -> Ireland,Total,Europe,Ireland,3,"['129', '&nbsp;']","['19', '&nbsp;']"
8848,r037,Total -> Europe -> Italy,Total,Europe,Italy,3,"['152', '&nbsp;']","['14', '&nbsp;']"
8848,r038,Total -> Europe -> Luxembourg,Total,Europe,Luxembourg,3,"['12', '&nbsp;']","['2', '&nbsp;']"
8848,r039,Total -> Europe -> Netherlands,Total,Europe,Netherlands,3,"['133', '&nbsp;']","['12', '&nbsp;']"
8848,r040,Total -> Europe -> Norway,Total,Europe,Norway,3,"['30', '&nbsp;']","['3', '&nbsp;']"
8848,r041,Total -> Europe -> Poland,Total,Europe,Poland,3,"['196', '&nbsp;']","['11', '&nbsp;']"
8848,r042,Total -> Europe -> Russia,Total,Europe,Russia,3,"['116', '&nbsp;']","['6', '&nbsp;']"
8848,r043,Total -> Europe -> Spain,Total,Europe,Spain,3,"['129', '&nbsp;']","['11', '&nbsp;']"
8848,r044,Total -> Europe -> Sweden,Total,Europe,Sweden,3,"['44', '&nbsp;']","['7', '&nbsp;']"
8848,r045,Total -> Europe -> Switzerland,Total,Europe,Switzerland,3,"['70', '&nbsp;']","['12', '&nbsp;']"
8848,r046,Total -> Europe -> Turkey,Total,Europe,Turkey,3,"['53', '&nbsp;']","['2', '&nbsp;']"
8848,r047,Total -> Europe -> United Kingdom,Total,Europe,United Kingdom,3,"['786', '&nbsp;']","['72', '&nbsp;']"
8848,r048,Total -> Europe -> Other European locations,Total,Europe,Other European locations,3,"['267', '&nbsp;']","['23', '&nbsp;']"
8848,r049,Total -> Middle East,Total,Middle East,,2,"['186', '&nbsp;']","['29', '&nbsp;']"
8848,r050,Total -> Middle East -> Israel,Total,Middle East,Israel,3,"['72', '&nbsp;']","['25', '&nbsp;']"
8848,r051,Total -> Middle East -> Other Middle Eastern locations,Total,Middle East,Other Middle Eastern locations,3,"['115', '&nbsp;']","['4', '&nbsp;']"
8848,r052,Total -> Undistributed<sup>b</sup>,Total,Undistributed<sup>b</sup>,,2,"['1,888', 'i']","['54', 'i']"
