table_id,row_id,industry_and_company_size_full_path,industry_and_company_size_level_1,industry_and_company_size_level_2,industry_and_company_size_level_3,industry_and_company_size_level_4,industry_and_company_size_level_5,industry_and_company_size_hierarchy_depth,field_naics_code,field_applications_total,field_applications_nonprovisional_utility_patents_total,field_applications_nonprovisional_utility_patents_to_foreign_jurisdictionsa,field_applications_nonprovisional_utility_patents_from_within_organized_r_d_activityb,field_patents_issuedc
8859,r001,All industries,All industries,,,,,1,"21–23, 31–33, 42–81","['163,300', '&nbsp;']","['112,959', '&nbsp;']","['53,553', '&nbsp;']","['89,324', '&nbsp;']","['116,651', '&nbsp;']"
8859,r002,All industries -> Manufacturing industries,All industries,Manufacturing industries,,,,2,31–33,"['117,387', '&nbsp;']","['76,360', '&nbsp;']","['41,719', '&nbsp;']","['63,873', '&nbsp;']","['74,404', '&nbsp;']"
8859,r003,All industries -> Manufacturing industries -> Food,All industries,Manufacturing industries,Food,,,3,311,"['2,212', '&nbsp;']","['1,585', '&nbsp;']","['564', '&nbsp;']","['1,523', '&nbsp;']","['1,045', '&nbsp;']"
8859,r004,All industries -> Manufacturing industries -> Beverage and tobacco products,All industries,Manufacturing industries,Beverage and tobacco products,,,3,312,"['544', '&nbsp;']","['431', '&nbsp;']","['406', '&nbsp;']","['429', '&nbsp;']","['554', '&nbsp;']"
8859,r005,"All industries -> Manufacturing industries -> Textile, apparel, and leather products",All industries,Manufacturing industries,"Textile, apparel, and leather products",,,3,313–16,"['480', '&nbsp;']","['236', '&nbsp;']","['166', '&nbsp;']","['220', '&nbsp;']","['160', '&nbsp;']"
8859,r006,All industries -> Manufacturing industries -> Wood products,All industries,Manufacturing industries,Wood products,,,3,321,"['60', '&nbsp;']","['52', '&nbsp;']","['23', '&nbsp;']","['45', '&nbsp;']","['17', '&nbsp;']"
8859,r007,All industries -> Manufacturing industries -> Paper,All industries,Manufacturing industries,Paper,,,3,322,"['422', '&nbsp;']","['193', '&nbsp;']","['155', '&nbsp;']","['172', '&nbsp;']","['154', '&nbsp;']"
8859,r008,All industries -> Manufacturing industries -> Printing and related support activities,All industries,Manufacturing industries,Printing and related support activities,,,3,323,"['138', '&nbsp;']","['69', '&nbsp;']","['49', '&nbsp;']","['63', '&nbsp;']","['71', '&nbsp;']"
8859,r009,All industries -> Manufacturing industries -> Petroleum and coal products,All industries,Manufacturing industries,Petroleum and coal products,,,3,324,"['1,003', '&nbsp;']","['478', '&nbsp;']","['360', 'i']","['460', 'i']","['532', '&nbsp;']"
8859,r010,All industries -> Manufacturing industries -> Chemicals,All industries,Manufacturing industries,Chemicals,,,3,325,"['19,525', '&nbsp;']","['10,006', '&nbsp;']","['7,207', '&nbsp;']","['9,123', '&nbsp;']","['9,921', '&nbsp;']"
