table_id,row_id,technology,companies_number_,in_use,in_testing_but_not_in_use,not_in_use_nor_testing,don_t_know,did_not_answer
9021,r001,Augmented reality,"['3,673,038', '&nbsp;']","['0.4', '&nbsp;']","['0.4', '&nbsp;']","['83.8', '&nbsp;']","['15.1', '&nbsp;']","['0.3', '&nbsp;']"
9021,r002,Automated guided vehicles (AGV) or AGV systems,"['3,673,038', '&nbsp;']","['0.3', '&nbsp;']","['0.2', '&nbsp;']","['86.1', '&nbsp;']","['13.1', '&nbsp;']","['0.3', '&nbsp;']"
9021,r003,Machine learning,"['3,673,038', '&nbsp;']","['1.3', '&nbsp;']","['0.7', '&nbsp;']","['84.7', '&nbsp;']","['12.9', '&nbsp;']","['0.3', '&nbsp;']"
9021,r004,Machine vision software,"['3,673,038', '&nbsp;']","['0.7', '&nbsp;']","['0.3', '&nbsp;']","['85.7', '&nbsp;']","['13.0', '&nbsp;']","['0.3', '&nbsp;']"
9021,r005,Natural language processing,"['3,673,038', '&nbsp;']","['0.8', '&nbsp;']","['0.4', '&nbsp;']","['85.4', '&nbsp;']","['13.0', '&nbsp;']","['0.3', '&nbsp;']"
9021,r006,Radio-frequency identification (RFID) system,"['3,673,038', '&nbsp;']","['0.6', '&nbsp;']","['0.3', '&nbsp;']","['85.8', '&nbsp;']","['13.0', '&nbsp;']","['0.3', '&nbsp;']"
9021,r007,Robotics,"['3,673,038', '&nbsp;']","['0.6', '&nbsp;']","['0.3', '&nbsp;']","['86.6', '&nbsp;']","['12.3', '&nbsp;']","['0.3', '&nbsp;']"
9021,r008,"Touchscreens/ kiosks for customer interface (examples: self-checkout, self-check-in, touchscreen ordering)","['3,673,038', '&nbsp;']","['3.6', '&nbsp;']","['0.8', '&nbsp;']","['83.4', '&nbsp;']","['11.9', '&nbsp;']","['0.3', '&nbsp;']"
9021,r009,Voice recognition software,"['3,673,038', '&nbsp;']","['1.8', '&nbsp;']","['0.6', '&nbsp;']","['85.3', '&nbsp;']","['12.0', '&nbsp;']","['0.3', '&nbsp;']"
9021,r010,"Additive manufacturing (3D printing), including prototyping","['3,673,038', '&nbsp;']","['0.9', '&nbsp;']","['0.5', '&nbsp;']","['86.0', '&nbsp;']","['12.3', '&nbsp;']","['0.3', '&nbsp;']"
