table_id,row_id,employment_size_full_path,employment_size_level_1,employment_size_level_2,employment_size_level_3,employment_size_hierarchy_depth,field_all_companies,field_core_production,field_distribution_and_logistics,field_marketing_sales_after_sales_services,field_administrative_or_management_functions,field_research_and_development,field_engineering_and_other_technical_services,field_information_and_communication_technology_services,field_all_other_operating_activities
9035,r001,All companies,All companies,,,1,"['4,865,616', '&nbsp;']","['3.5', '&nbsp;']","['2.2', '&nbsp;']","['2.0', '&nbsp;']","['1.5', '&nbsp;']","['1.0', '&nbsp;']","['1.3', '&nbsp;']","['1.2', '&nbsp;']","['0.9', '&nbsp;']"
9035,r002,All companies -> Micro companies,All companies,Micro companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9035,r003,All companies -> Micro companies -> 1&#8211;4,All companies,Micro companies,1&#8211;4,3,"['2,735,868', '&nbsp;']","['3.0', '&nbsp;']","['1.9', '&nbsp;']","['1.9', '&nbsp;']","['1.4', '&nbsp;']","['0.9', '&nbsp;']","['1.1', '&nbsp;']","['1.0', '&nbsp;']","['0.8', '&nbsp;']"
9035,r004,All companies -> Micro companies -> 5&#8211;9,All companies,Micro companies,5&#8211;9,3,"['937,171', '&nbsp;']","['3.5', '&nbsp;']","['2.0', '&nbsp;']","['1.9', '&nbsp;']","['1.4', '&nbsp;']","['1.0', '&nbsp;']","['1.2', '&nbsp;']","['1.1', '&nbsp;']","['0.8', '&nbsp;']"
9035,r005,All companies -> Small companies,All companies,Small companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9035,r006,All companies -> Small companies -> 10&#8211;19,All companies,Small companies,10&#8211;19,3,"['587,934', '&nbsp;']","['3.8', '&nbsp;']","['2.5', '&nbsp;']","['2.1', '&nbsp;']","['1.7', '&nbsp;']","['1.1', '&nbsp;']","['1.5', '&nbsp;']","['1.4', '&nbsp;']","['1.1', '&nbsp;']"
9035,r007,All companies -> Small companies -> 20&#8211;49,All companies,Small companies,20&#8211;49,3,"['393,667', '&nbsp;']","['4.2', '&nbsp;']","['3.0', '&nbsp;']","['2.4', '&nbsp;']","['1.7', '&nbsp;']","['1.3', '&nbsp;']","['1.5', '&nbsp;']","['1.5', '&nbsp;']","['1.1', '&nbsp;']"
9035,r008,All companies -> Medium companies,All companies,Medium companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9035,r009,All companies -> Medium companies -> 50&#8211;99,All companies,Medium companies,50&#8211;99,3,"['113,856', '&nbsp;']","['5.6', '&nbsp;']","['3.7', '&nbsp;']","['2.6', '&nbsp;']","['2.2', '&nbsp;']","['2.3', '&nbsp;']","['2.8', '&nbsp;']","['2.4', '&nbsp;']","['1.4', '&nbsp;']"
9035,r010,All companies -> Medium companies -> 100&#8211;249,All companies,Medium companies,100&#8211;249,3,"['64,375', '&nbsp;']","['6.6', '&nbsp;']","['4.5', '&nbsp;']","['3.2', '&nbsp;']","['2.7', '&nbsp;']","['2.6', '&nbsp;']","['3.7', '&nbsp;']","['3.3', '&nbsp;']","['2.1', '&nbsp;']"
9035,r011,All companies -> Large companies,All companies,Large companies,,2,"['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']","['&nbsp;', '&nbsp;']"
9035,r012,All companies -> Large companies -> 250&#8211;499,All companies,Large companies,250&#8211;499,3,"['17,147', '&nbsp;']","['9.8', '&nbsp;']","['6.5', '&nbsp;']","['5.1', '&nbsp;']","['6.0', '&nbsp;']","['5.0', '&nbsp;']","['6.6', '&nbsp;']","['4.9', '&nbsp;']","['3.6', '&nbsp;']"
9035,r013,All companies -> Large companies -> 500&#8211;999,All companies,Large companies,500&#8211;999,3,"['7,487', '&nbsp;']","['11.6', '&nbsp;']","['8.3', '&nbsp;']","['6.5', '&nbsp;']","['8.5', '&nbsp;']","['7.4', '&nbsp;']","['8.1', '&nbsp;']","['8.3', '&nbsp;']","['6.4', 'r']"
9035,r014,"All companies -> Large companies -> 1,000&#8211;4,999",All companies,Large companies,"1,000&#8211;4,999",3,"['6,271', '&nbsp;']","['13.9', '&nbsp;']","['12.0', '&nbsp;']","['10.2', '&nbsp;']","['12.0', 'r']","['8.5', '&nbsp;']","['10.8', '&nbsp;']","['12.0', '&nbsp;']","['9.5', '&nbsp;']"
9035,r015,"All companies -> Large companies -> 5,000&#8211;9,999",All companies,Large companies,"5,000&#8211;9,999",3,"['980', '&nbsp;']","['21.0', '&nbsp;']","['19.0', '&nbsp;']","['17.4', '&nbsp;']","['18.6', '&nbsp;']","['12.1', '&nbsp;']","['16.6', '&nbsp;']","['20.2', '&nbsp;']","['16.0', '&nbsp;']"
9035,r016,"All companies -> Large companies -> 10,000&#8211;24,999",All companies,Large companies,"10,000&#8211;24,999",3,"['543', '&nbsp;']","['28.7', '&nbsp;']","['26.2', '&nbsp;']","['24.3', '&nbsp;']","['26.5', '&nbsp;']","['22.8', '&nbsp;']","['25.0', '&nbsp;']","['26.9', '&nbsp;']","['22.1', '&nbsp;']"
9035,r017,"All companies -> Large companies -> 25,000 or more",All companies,Large companies,"25,000 or more",3,"['320', '&nbsp;']","['40.3', '&nbsp;']","['37.8', '&nbsp;']","['27.5', '&nbsp;']","['32.8', '&nbsp;']","['19.7', '&nbsp;']","['27.8', '&nbsp;']","['35.6', '&nbsp;']","['29.1', '&nbsp;']"
