table_id,row_id,rank,top_institutions_in_fy_2001,top_institutions_in_fy_2011,top_institutions_in_fy_2021
9209,r001,1,Johns Hopkins U.,Johns Hopkins U.,Johns Hopkins U.
9209,r002,2,"U. California, Los Angeles","U. Michigan, Ann Arbor","U. California, San Francisco"
9209,r003,3,U. Wisconsin-Madison,"U. Washington, Seattle","U. Michigan, Ann Arbor"
9209,r004,4,"U. Michigan, Ann Arbor",U. Wisconsin-Madison,U. Pennsylvania
9209,r005,5,"U. Washington, Seattle",Duke U.,"U. Washington, Seattle"
9209,r006,6,"U. California, San Diego","U. California, San Diego","U. California, Los Angeles"
9209,r007,7,"U. California, San Francisco","U. California, San Francisco","U. California, San Diego"
9209,r008,8,Stanford U.,"U. California, Los Angeles",U. Wisconsin-Madison
9209,r009,9,U. Pennsylvania,Stanford U.,Stanford U.
9209,r010,10,U. Minnesota,U. Pittsburgh,Harvard U.
9209,r011,11,Pennsylvania State U.,U. Pennsylvania,Duke U.
9209,r012,12,"U. California, Berkeleya",Columbia U. City of New York,Ohio State U.
9209,r013,13,Cornell U.,"U. North Carolina, Chapel Hill","U. North Carolina, Chapel Hill"
9209,r014,14,Massachusetts Institute of Technologya,"U. Minnesota, Twin Cities",Cornell U.
9209,r015,15,"U. California, Davis",Ohio State U.,Yale U.
9209,r016,16,"Texas A&M U., College Station",Pennsylvania State U.-University Park and Hershey Medical Center,"Texas A&M U., College Station"
9209,r017,17,"Washington U., Saint Louis",Cornell U.,U. Maryland
9209,r018,18,U. Illinois at Urbana-Champaign,U. Florida,U. Pittsburgh
9209,r019,19,Ohio State U.,"Washington U., Saint Louis",U. Texas M. D. Anderson Cancer Center
9209,r020,20,Baylor C. Medicine,Massachusetts Institute of Technologya,Georgia Institute of Technologya
9209,r021,21,Duke U.,"U. California, Berkeleya",Columbia U. City of New York
9209,r022,22,Harvard U.,"U. California, Davis","U. Minnesota, Twin Cities"
9209,r023,23,U. Arizona,"Texas A&M U., College Station",New York U.
9209,r024,24,Columbia U. City of New York,U Texas M. D. Anderson Cancer Center,Vanderbilt U. Medical Center
9209,r025,25,U. Pittsburgh,Yale U.,"Washington U., Saint Louis"
9209,r026,26,U. Florida,Georgia Institute of Technologya,Pennsylvania State U.
9209,r027,27,U. Southern California,Harvard U.,U. Florida
9209,r028,28,Yale U.,"U. Texas, Austin",U. Southern California
9209,r029,29,Georgia Institute of Technologya,Northwestern U.,Massachusetts Institute of Technologya
9209,r030,30,"U. North Carolina, Chapel Hill",U. Arizona,Northwestern U.
