table_id,row_id,_b_ffrdc_b_full_path,_b_ffrdc_b_level_1,_b_ffrdc_b_level_2,_b_ffrdc_b_level_3,_b_ffrdc_b_hierarchy_depth,field_total_2019,field_total_2020,field_total_2021,field_total_2022,field_federally_financed_2019,field_federally_financed_2020,field_federally_financed_2021,field_federally_financed_2022
9327,r001,All FFRDCs,All FFRDCs,,,1,"['22,737,500', ' ']","['23,514,241', ' ']","['24,921,476', ' ']","['26,524,014', ' ']","['22,338,855', ' ']","['23,133,501', ' ']","['24,509,691', ' ']","['25,962,005', ' ']"
9327,r002,All FFRDCs -> University-administered FFRDCs,All FFRDCs,University-administered FFRDCs,,2,"['6,946,262', ' ']","['7,003,132', ' ']","['6,850,276', ' ']","['7,165,067', ' ']","['6,796,696', ' ']","['6,867,741', ' ']","['6,700,555', ' ']","['7,015,547', ' ']"
9327,r003,All FFRDCs -> University-administered FFRDCs -> Ames Laboratory,All FFRDCs,University-administered FFRDCs,Ames Laboratory,3,"['33,612', '']","['32,844', '']","['34,214', '']","['38,520', '']","['33,211', '']","['32,302', '']","['34,016', '']","['38,032', '']"
9327,r004,All FFRDCs -> University-administered FFRDCs -> Argonne National Laboratory,All FFRDCs,University-administered FFRDCs,Argonne National Laboratory,3,"['810,693', '']","['859,658', '']","['856,568', '']","['962,973', '']","['787,513', '']","['840,237', '']","['832,400', '']","['934,724', '']"
9327,r005,All FFRDCs -> University-administered FFRDCs -> Fermi National Accelerator Laboratory,All FFRDCs,University-administered FFRDCs,Fermi National Accelerator Laboratory,3,"['334,258', '']","['300,002', '']","['319,051', '']","['330,294', '']","['333,460', '']","['299,811', '']","['317,812', '']","['329,131', '']"
9327,r006,All FFRDCs -> University-administered FFRDCs -> Green Bank Observatory<sup>a</sup>,All FFRDCs,University-administered FFRDCs,Green Bank Observatory<sup>a</sup>,3,"['NA', '']","['NA', '']","['8,629', '']","['10,752', '']","['NA', '']","['NA', '']","['8,629', '']","['10,384', '']"
9327,r007,All FFRDCs -> University-administered FFRDCs -> Jet Propulsion Laboratory,All FFRDCs,University-administered FFRDCs,Jet Propulsion Laboratory,3,"['2,709,063', '']","['2,638,412', '']","['2,388,355', '']","['2,417,556', '']","['2,709,063', '']","['2,638,412', '']","['2,388,355', '']","['2,417,556', '']"
9327,r008,All FFRDCs -> University-administered FFRDCs -> Lawrence Berkeley National Laboratory,All FFRDCs,University-administered FFRDCs,Lawrence Berkeley National Laboratory,3,"['872,237', '']","['916,082', '']","['966,972', '']","['1,031,716', '']","['807,967', '']","['862,965', '']","['910,428', '']","['971,554', '']"
9327,r009,All FFRDCs -> University-administered FFRDCs -> Lincoln Laboratory,All FFRDCs,University-administered FFRDCs,Lincoln Laboratory,3,"['1,103,870', '']","['1,115,927', '']","['1,136,133', '']","['1,142,615', '']","['1,084,953', '']","['1,093,081', '']","['1,110,465', '']","['1,119,338', '']"
9327,r010,All FFRDCs -> University-administered FFRDCs -> National Center for Atmospheric Research,All FFRDCs,University-administered FFRDCs,National Center for Atmospheric Research,3,"['199,476', '']","['188,484', '']","['181,010', '']","['188,238', '']","['187,615', '']","['175,316', '']","['161,163', '']","['171,310', '']"
