table_id,row_id,_b_primary_source_of_support_race_ethnicity_and_sex_b_full_path,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_1,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_2,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_3,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_4,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_5,_b_primary_source_of_support_race_ethnicity_and_sex_b_level_6,_b_primary_source_of_support_race_ethnicity_and_sex_b_hierarchy_depth,field_all_s_e,field_science_all_science,field_science_life_sciencesa,field_science_physical_sciences_and_earth_sciences_,field_science_mathematics_and_computer_sciences,field_science_psychology_and_social_sciences,field_engineering
9332,r001,All recipients<sup>b</sup> (number),All recipients<sup>b</sup> (number),,,,,,1,124948,103947,43810,18463,8674,33000,21001
9332,r002,All recipients<sup>b</sup> (number) -> All sources,All recipients<sup>b</sup> (number),All sources,,,,,2,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r003,All recipients<sup>b</sup> (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),All sources,Personal or family funds,,,,3,14.24,15.69,13.72,4.25,9.4,26.36,7.04
9332,r004,All recipients<sup>b</sup> (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),All sources,Teaching assistantship,,,,3,17.18,19.15,11.53,21.59,35.21,23.68,7.43
9332,r005,"All recipients<sup>b</sup> (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),All sources,"Research assistantship, traineeship, or internship",,,,3,30.79,28.09,30.93,44.87,25.51,15.6,44.15
9332,r006,"All recipients<sup>b</sup> (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),All sources,"Fellowship, scholarship, or dissertation grant",,,,3,26.75,26.51,33.33,21.76,18.0,22.36,27.96
9332,r007,All recipients<sup>b</sup> (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),All sources,Other<sup>c</sup>,,,,3,11.05,10.57,10.5,7.54,11.89,11.99,13.42
9332,r008,All recipients<sup>b</sup> (number) -> Hispanic or Latino<sup>d</sup> (number),All recipients<sup>b</sup> (number),Hispanic or Latino<sup>d</sup> (number),,,,,2,9808,8323,3492,1212,483,3136,1485
9332,r009,All recipients<sup>b</sup> (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources,All recipients<sup>b</sup> (number),Hispanic or Latino<sup>d</sup> (number),All sources,,,,3,100.0,100.0,100.0,100.0,100.0,100.0,100.0
9332,r010,All recipients<sup>b</sup> (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Personal or family funds,All recipients<sup>b</sup> (number),Hispanic or Latino<sup>d</sup> (number),All sources,Personal or family funds,,,4,15.27,16.54,11.94,4.54,8.9,27.49,8.15
9332,r011,All recipients<sup>b</sup> (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Teaching assistantship,All recipients<sup>b</sup> (number),Hispanic or Latino<sup>d</sup> (number),All sources,Teaching assistantship,,,4,14.61,15.92,9.14,19.39,32.92,19.52,7.27
9332,r012,"All recipients<sup>b</sup> (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Research assistantship, traineeship, or internship",All recipients<sup>b</sup> (number),Hispanic or Latino<sup>d</sup> (number),All sources,"Research assistantship, traineeship, or internship",,,4,22.41,20.56,24.48,31.85,21.33,11.7,32.79
9332,r013,"All recipients<sup>b</sup> (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Fellowship, scholarship, or dissertation grant",All recipients<sup>b</sup> (number),Hispanic or Latino<sup>d</sup> (number),All sources,"Fellowship, scholarship, or dissertation grant",,,4,36.28,35.7,44.87,35.48,25.47,27.14,39.53
9332,r014,All recipients<sup>b</sup> (number) -> Hispanic or Latino<sup>d</sup> (number) -> All sources -> Other<sup>c</sup>,All recipients<sup>b</sup> (number),Hispanic or Latino<sup>d</sup> (number),All sources,Other<sup>c</sup>,,,4,11.43,11.28,9.56,8.75,11.39,14.16,12.26
9332,r015,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino,All recipients<sup>b</sup> (number),Not Hispanic or Latino,,,,,2,,,,,,,
9332,r016,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number),All recipients<sup>b</sup> (number),Not Hispanic or Latino,American Indian or Alaska Native (number),,,,3,339,301,121,36,8,136,38
9332,r017,All recipients<sup>b</sup> (number) -> Not Hispanic or Latino -> American Indian or Alaska Native (number) -> All sources,All recipients<sup>b</sup> (number),Not Hispanic or Latino,American Indian or Alaska Native (number),All sources,,,4,100.0,100.0,100.0,100.0,100.0,100.0,100.0
