table_id,row_id,_b_selected_characteristic_and_company_size_b_full_path,_b_selected_characteristic_and_company_size_b_level_1,_b_selected_characteristic_and_company_size_b_level_2,_b_selected_characteristic_and_company_size_b_level_3,_b_selected_characteristic_and_company_size_b_level_4,_b_selected_characteristic_and_company_size_b_hierarchy_depth,field_2018,field_2019,field_2020,field_2021
9378,r001,Domestic R&D performance<sup>a</sup>,Domestic R&D performance<sup>a</sup>,,,,1,"['441,036', '&#160;']","['492,956', '&#160;']","['537,619', '&#160;']","['602,499', '&nbsp;']"
9378,r002,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup>,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,,,2,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&nbsp;', '&nbsp;']"
9378,r003,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Basic research,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Basic research,,3,"['28,980', '&#160;']","['32,239', '&#160;']","['36,017', '&#160;']","['40,130', '&nbsp;']"
9378,r004,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Applied research,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Applied research,,3,"['65,222', '&#160;']","['74,031', '&#160;']","['76,088', '&#160;']","['86,485', '&nbsp;']"
9378,r005,Domestic R&D performance<sup>a</sup> -> Type of R&D<sup>b</sup> -> Development,Domestic R&D performance<sup>a</sup>,Type of R&D<sup>b</sup>,Development,,3,"['346,834', '&#160;']","['386,686', '&#160;']","['425,514', '&#160;']","['475,884', '&nbsp;']"
9378,r006,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup>,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,,,2,"['377,806', '&#160;']","['428,968', '&#160;']","['466,162', '&#160;']","['527,804', '&nbsp;']"
9378,r007,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Basic research,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Basic research,,3,"['22,312', '&#160;']","['25,916', '&#160;']","['29,330', '&#160;']","['32,763', '&nbsp;']"
9378,r008,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Applied research,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Applied research,,3,"['53,229', '&#160;']","['59,697', '&#160;']","['60,620', '&#160;']","['69,130', '&nbsp;']"
9378,r009,Domestic R&D performance<sup>a</sup> -> Paid for by the company<sup>c</sup> -> Development,Domestic R&D performance<sup>a</sup>,Paid for by the company<sup>c</sup>,Development,,3,"['302,264', '&#160;']","['343,355', '&#160;']","['376,213', '&#160;']","['425,912', '&nbsp;']"
9378,r010,Domestic R&D performance<sup>a</sup> -> Paid for by others,Domestic R&D performance<sup>a</sup>,Paid for by others,,,2,"['63,230', '&#160;']","['63,989', '&#160;']","['71,457', '&#160;']","['74,695', '&nbsp;']"
9378,r011,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Basic research,Domestic R&D performance<sup>a</sup>,Paid for by others,Basic research,,3,"['6,668', '&#160;']","['6,324', '&#160;']","['6,688', '&#160;']","['7,367', '&nbsp;']"
9378,r012,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Applied research,Domestic R&D performance<sup>a</sup>,Paid for by others,Applied research,,3,"['11,993', '&#160;']","['14,333', '&#160;']","['15,468', '&#160;']","['17,355', 'i']"
9378,r013,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Development,Domestic R&D performance<sup>a</sup>,Paid for by others,Development,,3,"['44,570', '&#160;']","['43,332', '&#160;']","['49,301', '&#160;']","['49,972', '&nbsp;']"
9378,r014,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,,3,"['&#160;', '&#160;']","['&#160;', '&#160;']","['&#160;', '&#160;']","['&nbsp;', '&nbsp;']"
9378,r015,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds -> Federal,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,Federal,4,"['24,685', '&#160;']","['21,941', '&#160;']","['28,905', '&#160;']","['23,582', '&nbsp;']"
9378,r016,Domestic R&D performance<sup>a</sup> -> Paid for by others -> Source of funds -> Other<sup>d</sup>,Domestic R&D performance<sup>a</sup>,Paid for by others,Source of funds,Other<sup>d</sup>,4,"['38,545', '&#160;']","['42,048', '&#160;']","['42,552', '&#160;']","['51,113', '&nbsp;']"
