table_id,row_id,agency_full_path,agency_level_1,agency_level_2,agency_level_3,agency_hierarchy_depth,field_fy_2020_total,field_fy_2020_stimulus,field_fy_2020_non_stimulus,field_fy_2021_total,field_fy_2021_stimulus,field_fy_2021_non_stimulus,field_fy_2022_preliminary_total,field_fy_2022_preliminary_stimulus,field_fy_2022_preliminary_non_stimulus
9418,r001,All agencies,All agencies,,,1,167403,19457,147946,190151,35630,154521,189059,27424,161635
9418,r002,All agencies -> Department of Defense,All agencies,Department of Defense,,2,66695,1530,65165,70707,1644,69063,75473,978,74496
9418,r003,All agencies -> Department of Defense -> Defense Health Agency,All agencies,Department of Defense,Defense Health Agency,3,2870,998,1873,2852,416,2435,2537,0,2537
9418,r004,All agencies -> Department of Defense -> Department of the Air Force,All agencies,Department of Defense,Department of the Air Force,3,11683,236,11447,12390,626,11764,13245,533,12712
9418,r005,All agencies -> Department of Defense -> All other defense agencies,All agencies,Department of Defense,All other defense agencies,3,52141,295,51846,23204,602,22602,24279,445,23834
9418,r006,All agencies -> Department of Health and Human Services,All agencies,Department of Health and Human Services,,2,60006,17780,42226,76651,33665,42987,69153,26117,43036
9418,r007,All agencies -> Department of Health and Human Services -> Biomedical Advanced Research and Development Authority,All agencies,Department of Health and Human Services,Biomedical Advanced Research and Development Authority,3,15666,14324,1343,33881,33199,682,26433,25884,549
9418,r008,All agencies -> Department of Health and Human Services -> Centers for Disease Control and Prevention,All agencies,Department of Health and Human Services,Centers for Disease Control and Prevention,3,497,93,404,696,279,417,661,233,429
9418,r009,All agencies -> Department of Health and Human Services -> National Institutes of Health,All agencies,Department of Health and Human Services,National Institutes of Health,3,42664,3363,39301,40546,187,40359,40436,0,40436
9418,r010,All agencies -> National Science Foundation,All agencies,National Science Foundation,,2,6351,75,6277,6705,192,6513,7036,202,6834
9418,r011,All agencies -> All other departments and agencies,All agencies,All other departments and agencies,,2,34351,75,34278,36088,130,35959,37397,128,37269
