table_id,row_id,institution,rank,doctorate_recipients
943,r001,U. Wisconsin-Madison,1,844
943,r002,"U. California, Berkeley",2,799
943,r003,"U. Texas, Austin",3,795
943,r004,"U. Illinois, Urbana-Champaign",4,782
943,r005,"U. Michigan, Ann Arbor",5,777
943,r006,Stanford U.,6,758
943,r007,"Purdue U., West Lafayette",7,739
943,r008,"Ohio State U., Columbus",8,735
943,r009,"Texas A&M U., College Station and Health Science Center",9,732
943,r010,"U. California, Los Angeles",10,726
943,r011,U. Florida,11,714
943,r012,"Pennsylvania State U., University Park and Hershey Medical Center",12,694
943,r013,Harvard U.,13,683
943,r014,"U. Minnesota, Twin Cities",14,678
943,r015,Walden U.,15,660
943,r016,Massachusetts Institute of Technology,16,621
943,r017,"U. Washington, Seattle",17,604
943,r018,"U. North Carolina, Chapel Hill",18,542
943,r019,"U. Maryland, College Park",19,528
943,r020,"U. California, San Diego",20,520
943,r021,Michigan State U.,21,515
943,r022,"U. California, Davis",22,505
943,r023,Georgia Institute of Technology,23,503
943,r024,North Carolina State U.,24,499
943,r025,Cornell U.,25,496
943,r026,Johns Hopkins U.,26,495
943,r027,U. Pennsylvania,27,488
943,r028,Columbia U. in the City of New York,28,481
943,r029,U. Georgia,29,472
943,r030,U. Southern California,30,461
943,r031,Northwestern U.,31,441
943,r032,Virginia Polytechnic Institute and State U.,32,438
943,r033,New York U.,33,435
943,r034,Duke U.,34,420
943,r035,"CUNY, Graduate Center",35,419
943,r036,"U. California, Irvine",36,403
943,r037,"Indiana U., Bloomington",37,402
943,r038,U. Arizona,38,401
943,r039,"Rutgers, State U. New Jersey, New Brunswick",39,396
943,r040,U. Colorado Boulder,40,392
943,r041,U. Chicago,41,387
943,r042,"U. Pittsburgh, Pittsburgh",42,386
943,r043,Yale U.,43,379
943,r044,Arizona State U.,44,369
943,r045,"U. Tennessee, Knoxville",45,365
943,r046,Florida State U.,46,363
943,r047,Princeton U.,47,359
943,r048,Iowa State U.,48,350
943,r049,"U. Connecticut, Storrs",49,348
943,r050,U. Iowa,50,347
